,UKF248,UKF259,UKF275,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.08458168229129649,
BMP1,0.1235985263373034,0.012965410167972225,-0.0045276017850089875,0.016862246349784255,0.18882708078129004,0.14195826151123894,0.03961383101895335,0.072897340764167,0.1356341209332851
NDP,0.005916571757787809,-0.02661006174409724,0.0006892105105108412,-0.04164993340603444,0.1115685314080429,0.11107601835770099,-0.04406486051762002,0.023990909072940946,-0.03984652078909026
TNFSF18,0.0018699216519919375,,-0.010647509216605143,,,,,-0.01665425375197851,-0.015609692078523656
RTN4,0.029489811911642756,-0.03870739965412831,-0.06239200933238703,-0.019872131721856916,-0.09182553147433145,-0.10563240425228829,-0.002306035995551992,0.12365415534928584,-0.1164430523260563
HEBP1,0.04660330249132661,0.010355493126377123,0.0037174118373080145,0.035244432578947896,0.0170314117595149,0.051405133537734564,0.006832080540586831,0.05510416086573021,-0.008639260050866905
WNT7B,0.0204293966344356,-0.007447323389472252,-0.030520094017639478,0.013049576494861952,0.013675821342637751,0.04584517607562001,-0.0379033496066494,0.08317012735141788,0.03425998424146197
PTMA,-0.01776613910799507,-0.009462010352621085,-0.03584544825513978,0.007256519695515635,-0.1284976451551175,-0.046775834830055096,0.03768831845602368,-0.011287749386988854,-0.008145339776850004
FASLG,,,,,,,,0.056096443577281614,
CEACAM1,0.0003000179383217875,0.052392748970072366,-0.01674599539861076,,-0.06679738425732172,0.011298086916993173,-0.034800119136464414,0.018516490002730042,
PDAP1,0.00993231058426078,0.005946310959869983,0.06339316890645796,-0.029817890716322917,0.010890569638246462,0.032706638604495665,0.001859120121728058,0.02340152551993046,0.010765954052157953
QDPR,-0.024653226431428307,-0.007029108674417278,0.0031778906496515353,0.05400512608899557,-0.03049136586946107,-0.016201867256372442,-0.024457535993857624,0.037556851320669965,-0.10509447930698697
POMC,0.014336840807960747,0.015633695022110025,-0.012354527709753302,0.049950671376906675,0.03360109899212281,0.009808235847554964,0.022068083327905275,0.043005040461135,0.03637324263212025
CCL18,0.01128469278412979,,,-0.0029845498365287763,0.10334238898599947,0.19621193356284466,-0.021881967173623947,,
CCL17,,0.03956666826030561,-0.013279516999476543,,0.015530613897934907,0.14086640498023548,,0.0038788353747168476,
VEGFD,0.009510118482703559,0.029045871992040284,0.005040909776832919,-0.014329590008641932,,0.07242085993927637,,,
TNFSF13,-0.02435955704463944,-0.018285403694605587,,,0.0005312144568284324,-0.008954423436556287,-0.029604767825496585,-0.005346008217239177,0.008897290057767458
WNT5A,0.09005094471360942,-0.03476678441769023,-0.04984521209039141,0.07323584610792502,0.06305560473997532,0.01795141402955418,-0.00617862537439118,0.011590744449938281,0.06766221241647766
CXCL8,0.0051697656742065844,-0.02968140012163209,0.02253037421825186,-0.02441291927979076,0.2226385293358863,0.2429488933828463,0.05535006817684961,0.06579848246054007,0.056785273748112215
GRN,0.15020158825577418,-0.04646256261731022,0.010302536362042048,0.012622270731052041,0.09596969871236885,0.06848565017853867,0.07303994292348163,-0.02270114583233822,-0.01795799937897025
MIA,0.004582715043175006,0.021976411968334483,0.017901552923835485,-0.019433498404395597,0.05893425108497131,0.07949787030344614,0.11773297589086433,0.15353722370332962,0.040823414833989914
COL4A4,-0.029776675012241988,0.035877810735224044,-0.013864226598067604,,0.004195155174607494,-0.008703225919485734,-0.004933052565176826,0.009379779400842673,-0.047218965405091816
TAC1,-0.053101575705799535,-0.004125167663003247,-0.0162423171401073,,,,-0.060040119455075626,0.010812837347405544,-0.023755690766448945
RARRES2,-0.031925305449538526,-0.012641458477094391,-0.014729776413746218,-0.04517197613953355,0.2430726812632304,0.22370576239532305,0.02865739704001761,0.00472556068894885,0.08580082780027279
FGF7,,-0.009842425257133598,-0.03160527713316006,-0.031221447267200553,0.015125908619575005,-0.032929393568116326,0.06117991836264322,0.016485657550978965,0.003513326953953702
EFNA2,,,,,,-0.017637954343446553,,,
HBEGF,0.1094575592932209,0.04103878263802591,0.056046974574956165,-0.05491697709673321,0.04521800702036785,0.07007194363028396,0.05066338829188908,0.0016171171646393644,0.09802144145520293
CSF3,,-0.031596570014787634,,-0.021527719067625493,0.2559823499843415,0.19811619625196614,0.06476418805558719,0.0005587114432407705,0.015922404992793023
PI3,-0.013436168390404402,-0.021308454991442058,,,0.19274819733180573,0.22560718139908797,0.08598225140481243,0.021631596414680185,-0.02807569545250061
PCSK1N,-0.024546912962140722,-0.051109575131605446,0.026726039792643826,-0.012671987740071038,-0.026153917184636638,-0.18003368300868844,0.05402291614838726,0.06100781618754762,-0.08388570991251545
NTS,,,-0.01583826727519615,,-0.09249394061167909,-0.09198614575329976,-0.012823388526178718,-0.05356387357057697,
SFRP1,0.05610168090015833,0.028845621681398915,-0.029408339572626403,-0.03037122646165179,0.0560602215823112,-0.040041551666496,-0.01505995414934831,-0.04375377678624118,-0.04871586647674372
CXCL13,,,,0.0007605350955410539,0.039034475647504036,0.15866542944327616,-0.009410919371223729,,0.09917886354892834
