,UKF243,UKF255,UKF259,UKF260,UKF269,UKF275,UKF313,ZH916T1
IGFL3,,,,,0.14887971858176882,,,0.07182838976685442
BMP1,-0.005626565040458267,0.05097193760218891,0.09819201107197915,-0.008391064686182295,0.1091978295798938,-0.03539134949918915,-0.01113902562988973,-0.020469941814140285
NDP,-0.02507393354810825,0.11811788953145269,0.014713755212312081,-0.06825498302284763,0.008465527045765375,0.028929890159527606,0.07647336808539172,0.05136176176175182
TNFSF18,-0.019872593381385046,,,,-0.024026382874658914,-0.012622088374354792,,-0.01681680768763784
RTN4,0.002911249856404558,0.02418251858903491,-0.011705515331363589,0.002772768721058819,-0.09100997730138517,-0.03368040833169833,-0.03573092447198479,-0.004156927846996848
HEBP1,-0.06003576375165397,0.04253129606668315,-0.016754014702453794,-0.02878499749460721,0.05532673500988026,-0.02893236281238949,-0.06183168582855433,0.019964373561026278
WNT7B,0.004679136856724958,0.030363661524262904,-0.0227539941892686,0.020678518595087673,-0.05540330465299082,0.03963305731692862,-0.055477549757645905,0.03924268121861693
PTMA,-0.019903339199997684,0.06436267832194366,0.008383510987407526,0.0949599442579398,-0.062050213804002954,0.027405009197126694,0.05694517174759954,-0.038759797191117405
FASLG,,,,,,,,-0.015772863505480055
CEACAM1,,,-0.02627433981867308,-0.01859061971117453,0.0446734661164314,0.007690312216512887,,-0.021945622955901096
PDAP1,0.003916552418003245,-0.05522434867462767,0.01095757319289857,-0.01896320919904583,0.05320214071425647,-0.031571576903834726,0.1051040630654396,-0.03367159566864177
QDPR,0.0023081113399083387,-0.0509202549763355,-0.0027208094464643636,0.0038273633419718344,-0.08299429254231043,0.026172211019117653,0.057303875979268414,0.03094024520914782
POMC,0.026756955273070076,,-0.024467731281694095,0.004460783823583598,0.03815454312428053,-0.014645673218364328,-0.025151067829702375,-0.022491185839492302
CCL18,-0.02665078173305802,,,,,,0.004309819026585941,
CCL17,,,-0.01522893233101075,,,-0.015742201647943935,,0.10306303537413557
VEGFD,-0.010284865866182383,,-0.016966712343486373,-0.017786452372997624,0.0711274493031207,-0.01677198436214975,-0.016993078118755306,
TNFSF13,,,-0.010504576688361371,,,,,0.06865806579994471
WNT5A,-0.01504320877330544,0.009557607219305235,-0.03972326618961253,-0.021540803355047478,0.0853929871011653,0.09787168533358531,-0.025989243019051072,0.0014801906512448974
CXCL8,0.02318918930692929,-0.015213102580199806,-0.023469303845307554,0.05229836143395936,0.035644297985290715,-0.060945435578595955,0.017328701723913424,-0.053828722212577
GRN,0.016640390814636155,-0.02263790296723939,0.026718266468321494,0.01834325619500119,0.05503496226016422,-0.03748436611289716,0.04400691742760755,0.014346487772394254
MIA,-0.03280834708057202,-0.03367577484677188,-0.003312192559435771,-0.02380975200813618,0.043322481565339736,0.007004753406406529,-0.006356866682610951,-0.0012391550254041645
COL4A4,-0.030228061517966438,-0.03488265085464183,-0.028878074099966542,0.102635467017221,0.07986271230922881,0.017630054041184222,,0.01929317604988057
