,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.056508073520437754,,,,,,,,,,,,-0.019410025130275115,,
BMP1,-0.0358106031561952,0.0011609976340568118,-0.10753735443746194,-0.034510235893048656,0.06331513733223124,0.029913047292474976,-0.12328598583227023,-0.15346510997496204,-0.5594391504668911,-0.1466956394688154,0.06681738446456048,-0.14972028822065345,-0.010149796899386616,-0.17342976190375198,0.0001775576018140546,-0.08740622199081875,0.01972199388751584,0.023554830321027384,-0.13386273357206546,-0.000304840348048165,-0.03596293683663297,-0.05209470707738304,0.017277533256652034
NDP,0.07646793957781019,-0.03461065142111197,-0.012760018494726312,0.01347837045381631,-0.0022476678656756705,-0.011135296992668731,0.1296374638203053,0.03563099459629368,-0.12545762854044024,0.0699386855548078,0.008939406794958842,-0.11517824864026842,-0.031682598893517565,-0.08624634332809533,0.11076494911352545,-0.1880110248931733,-0.07566889966343199,-0.05142321647358337,0.11324140526392645,-0.11100372813547303,-0.058382549971203006,0.130321328146046,0.025015529696640768
TNFSF18,-0.02603226246885906,-0.0407853934028642,-0.002182437247606718,-0.03541000987947991,,,,-0.03432028463604277,-0.1331062304098701,-0.03642052359745534,,,,,-0.035075010759792795,,,,,0.05803527243291042,-0.020265235152099662,-0.09472349984685745,
IL36G,,,,,,,,,,,,,,-0.054023598405302194,,,,,,,,,
RTN4,-0.03174963945958281,0.291194262207581,0.043480408908407035,0.12408148554812086,-0.09036509129578266,0.1398010625254079,0.152428543059769,0.42012850430259807,0.6947520482662035,0.19959577753122618,-0.0009061482687769155,0.44119581509957406,-0.03781266663709722,0.3515123051638754,0.061354547931503224,0.06579327178507409,-0.005449766568348981,0.08092972719549307,-0.0495256265235834,0.06348736856257282,-0.03563571223120871,0.3211897359909314,0.07052456665228267
HEBP1,-0.03239291748799578,-0.01772081893518057,0.019831730151620517,0.012143641449392596,0.02083726450234135,-0.03092187485665416,0.017878437010792166,-0.12507247303933203,-0.27033131897520757,0.006399019965727258,0.011537884544287705,-0.12969130077088206,-0.05957442689071216,-0.04437190980370271,0.04700048737579481,0.02907657661602965,0.029523201764913572,-0.01671819623115314,-0.06276594715772704,-0.06433462966214959,-0.031652469563295274,0.0454771433253939,-0.06281452272784721
WNT7B,-0.02293360788193102,0.31385451544048676,-0.0018289953330540639,0.006481425970920693,-0.029688780510416325,0.08832783598962587,0.06699708517971693,0.0520063479529131,0.36047790797929324,-0.042556172417445935,-0.025317266706967847,,-0.0629238684361885,0.09582735605080808,0.003685652783641346,0.08158602875728777,0.1077461719922876,0.04775458278358692,-0.0005888447435521115,0.051797072434991744,0.04575685412488704,0.12600364179612972,0.06678092112943232
PTMA,0.044929129528721246,0.05713465753229558,-0.05149748166841426,-0.15543237272367305,0.0029493593356325043,0.025791043002805963,-0.12319092961193037,-0.4391655259302517,0.12527687663737816,0.19186479187421301,-0.07529929897937117,-0.5098824621706972,-0.04855361952692952,-0.30500231822067647,-0.0009332306725851663,-0.04781221892427577,0.016286260096163088,0.031194727659868617,-0.1969630682211394,-0.11879607189619443,0.031828075112676484,-0.13564080188341524,-0.1754572034245703
FASLG,-0.02293361436520322,,,,,,,,,,,,,,,,,,,,-0.01683430817366185,,
CEACAM1,0.02685109433612942,,0.042490285634138744,0.0016836474810784654,,-0.02181994284155542,-0.004772548962902646,,-0.15325965647716175,0.002570958277753686,,,,,,-0.023194662379946256,0.05641162004281211,-0.023033457138759206,0.016872690934387615,,-0.02342246731383116,,
PDAP1,0.1259086909871619,-0.14018956241044941,0.03275429577375158,-0.025336836641931874,0.018338894594545307,-0.029188235696500534,-0.045608197283627645,-0.2451179253459264,-0.4113936861743333,-0.01918695034869295,-0.0060008216182364515,-0.014105605597066318,0.006379366250276252,-0.15700749171433132,0.04676969747882161,-0.16559799594449812,0.03958938640381771,0.029243802010634774,-0.13331909619777396,-0.036065698276615064,0.035743058022581736,0.007465440053909457,0.015929543161431255
QDPR,0.0037696742191226816,0.025057409193879734,0.07285974602246256,0.0969008398685343,-0.033937505185418396,0.03150681518183129,0.22910828653718296,0.29769488931973725,0.29355561042822376,0.28033430329087866,0.0467721028041961,-0.3664279924538611,-0.050578821998009005,0.17017770427071321,0.028116688091365923,-0.09882285736652446,-0.06280477157747058,-0.03304712841689805,0.10146919191957995,-0.1245677933769703,0.01160838607436468,0.2625177869857083,-0.07886774889959208
POMC,-0.04509122969817398,0.11252860704125037,-0.00817241619139594,-0.012206152594406093,,0.10851757103452928,0.021223446564979365,0.05019132820922799,-0.001549444361579836,0.01999808314113099,-0.003340301653772853,-0.036485359949091176,-0.025453467583133764,0.06383744586046866,-0.028303816256697572,0.030980560658203694,-0.003211670618058154,-0.03757467603961634,0.008865561082983253,,-0.009205428384009345,0.0806262237717928,0.0069823286305858105
CCL18,,0.018733374792769566,0.024182537655824673,,,,,,,,,-0.13096186112630387,-0.0725549266145618,,,-0.03732456014582243,0.02688611340326151,0.0205083425754747,-0.054949945425109066,,,,
CCL17,,,,,,0.005311618341901159,,,,0.028974204573695282,0.012874872916696705,,,0.0635655050258024,,,-0.015465280835992736,0.06929099857345503,,,-0.015258409536345588,,
VEGFD,,0.008714090453164744,0.08876354865815972,-0.02125042796375805,,0.06913848886799344,-0.009197177107732817,,-0.12530434186404765,0.06591849937458152,0.008243647472241666,0.12231305023376396,-0.017197391616215762,-0.026171948316962006,,0.026298512906052007,,-0.023033457138759206,,,,,
TNFSF13,,,0.04941070972246071,,,-0.04083375786307265,,-0.05615464571152956,,,,,,,,,0.030228613548807758,0.009462069843287605,-0.03685384135332812,,-0.02486230477177878,0.02996203683835676,
WNT5A,0.07878549560375928,0.0005266633120741197,-0.01553534285541573,-0.017696062243072953,0.00037170373675079815,0.02473552588578939,-0.022780416337910416,-0.31977225590006814,-0.4593694938281889,-0.028034631285818613,-0.018279761764339618,0.09848293153378711,-0.05144043669214011,-0.1329864320426543,0.03575508361808105,0.015687423337114405,0.00622836351009299,-0.012109112151631855,-0.12267170029102864,0.04129478112498448,0.007187508020347421,-0.09247631582424858,0.12259479723600956
CXCL8,,-0.03028594041361335,0.062338805693778115,-0.03817662699403978,0.004071646297656823,0.025185372094509006,-0.09667363501122525,-0.04545420780602824,-0.1799322900132516,-0.0890015508549318,0.0025406036022559875,-0.16167066326056903,0.007833984022375869,-0.050548438604671356,,0.36597136497785426,0.014941733671817623,0.08290183767879887,0.03172964880261425,0.015786056930973343,0.11434403401254337,-0.12077379874725706,-0.021429907141068762
GRN,0.01633067832187576,-0.07640037351069391,-0.10963252954630012,-0.06629277553574908,0.0007617528890462571,-0.01963200804702593,-0.1263993762880782,-0.23619018399633548,-0.5434608949878216,-0.028217315624973434,0.03134607864002237,-0.3045790635044547,-0.03821612739919581,0.08914282531657788,0.14742843089054852,0.059787440286069464,-0.014232957695522307,0.006562459360561538,-0.03541246089327919,0.08073769232594799,-0.004175383353921581,-0.002418003624507212,0.027446166831341448
MIA,0.09744355024323408,-0.012892477244508356,-0.0005163780067608036,0.0030257946034605177,0.01998610164343852,0.015763287884622102,-0.04132472745063715,-0.025506564359482217,-0.16810532413947576,-0.08091519550876387,0.016425561369822525,,-0.02332275259319643,0.036818125007849166,0.09035462561580934,0.025981741962237882,-0.020519649279607158,-0.016007125425345946,-0.17270846267920154,,-0.07725924357810746,-0.0664703464306453,
COL4A4,0.044043835548519567,-0.062038374013684755,0.06919090512154673,-0.004210017312946558,0.028141040384293218,0.07989384440193653,-0.059365107235685444,-0.0440612196902966,-0.06432075500845034,-0.023331754269999706,-0.008789610448675433,,,-0.05500467198408401,,,-0.006618852721499501,-0.03688016636546682,0.029678246582673637,,0.0042566181786614045,-0.05242395354587042,
TAC1,-0.022933601887967274,0.36111530022857713,0.09338051405343017,0.12235050491245647,-7.025442717962332e-06,0.24157695807405272,0.23003535897813174,0.45101998693506157,0.5968343909147724,0.38349781757384854,0.0685419313403633,0.31971157032765746,,0.23299576735562516,,,,,0.21830572302641624,0.0405607567769261,0.021896642624742734,0.22524805277830406,0.22082823589957346
