,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.057996119199706916,,,,,,,-0.02729928840074615,,,-0.03036669665455374,,
BMP1,0.03762180377767923,-0.026650931478715435,0.04910149731182871,-0.00571431771791333,0.0669068645803681,0.018991424777437853,0.13416778615864974,0.03616665161519749,-0.02488434859769302,0.05611527142021394,-0.03261119335868227,0.10650447985906993,0.08788415930407828,0.05857725621363646,0.020896312432367437,0.05412551768898498,0.017030613094707017,0.033676389900868575,-0.03484440251047033
NDP,0.01672436012352486,0.043822834581109436,0.04256045294898762,0.0035918522731098754,0.07835371536830558,0.01836015748799537,0.09361554846843073,0.01730858231418331,0.0054877843266118,-0.008466481226061539,0.01941421565012293,0.07377481869336022,-0.028022923861161616,-0.016586216265710507,-0.017781835644530338,0.045940211053424086,0.0662741517672504,0.005690865155657291,-0.023937969248337874
TNFSF18,0.083884116707804,-0.02502207678276832,-0.029043203561369024,,,-0.0172403745746696,-0.030063704760364355,0.05192375617257715,,,,0.08895121466596008,,-0.02815327426695194,,-0.036875688351391385,0.00122909633559178,0.021502815963893387,
IL36G,,,,,,,,,,,-0.016140237098652283,,,,,,,,
RTN4,0.05273204376112241,0.02072810064807166,0.02963449953372884,0.0400586368856337,0.009527062288326631,-0.006977911440504066,-0.1281377991017021,0.03523186982387362,-0.03854709991490585,-0.062317456032771675,0.05051612912220362,-0.04481310048559323,-0.01648409092063802,-0.0032197841089532586,0.015784446012072798,-0.02656532399048269,0.030233418416666706,-0.07896327700661392,-0.038373421261649734
HEBP1,-0.035886007811317525,0.08560507210705047,0.03189621996428606,-0.030857648926816875,-0.01657395723981069,0.02783212146017519,0.06475219262744437,0.03451234284714764,0.029911833138849195,0.05239561882222627,0.030300325695045923,0.06840246165428385,-0.022028227862757564,-0.01210782995815992,0.017638533892389056,0.03879915894123057,0.12003887354541713,0.01979274720499684,0.13078550023877294
WNT7B,-0.025263787169430424,0.041008127549019266,-0.018040737749127424,-0.025578694766128268,-0.007364636377940034,0.051392595260550226,-0.09259561565598197,-0.018230722361103242,-0.019958663198152166,,-0.01773998059493013,-0.029004790235229224,-0.008398439543846404,-0.021845819191838985,0.02647071284592807,-0.036875650114072664,0.013914241000721058,-0.03564497662095955,-0.003133174380838735
PTMA,0.006127096761602128,-0.032450596785249586,0.02127688904720568,0.011767486839776645,0.010044849000618979,0.011779338564521525,0.005250351613156956,-0.05539898804350853,0.0994413968077189,0.06985285958967347,0.004149615350942228,0.008853463092076101,-0.11393156580316699,0.008485953543495586,0.012697712931432358,-0.039775621699786115,-0.019985738849695726,0.049574829869105254,0.05646650989172683
FASLG,0.02923733952640419,,,,,,,,,,,,,,,,0.08442788936130166,,
