,UKF243,UKF248,UKF251,UKF255,UKF266,UKF275,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.18699237116580852,
BMP1,0.09445412926350429,-0.005376240788871652,-0.025613894072242363,0.04561295660520233,-0.03298488912969643,0.019344954884099545,0.04381769995550043,0.09130922598547557,-0.01791723328401876,0.11475733210346117
NDP,0.11269913245763319,-0.03648194265595193,-0.08607668363735327,0.1049262927058165,0.00826968417534618,-0.00046974457260996603,-0.04755093704381679,-0.006649388351733995,0.06411971167751715,-0.014477690707483304
TNFSF18,0.04022980817665517,0.03891067907633093,-0.026010531959063908,,-0.02196283035850058,-0.021114518447800785,0.0037885446709307086,,-0.014415182000675708,-0.02359243449167483
RTN4,-0.09573314523246115,-0.01884621707861935,0.06046581087158422,0.14614486618515662,0.1767809623922537,-0.03300639607808467,0.01942940512771497,0.03483036314068082,-0.010143646979416727,-0.029647309292637807
HEBP1,0.019656923183740047,0.05209218203555721,-0.02838147779151068,0.05369150947867518,-0.033148703965436385,-0.04246305000384536,0.01825365742176347,0.0015022025976278311,0.0021927198359190715,-0.007666789848421806
WNT7B,-0.04638285972463805,0.029248325737795716,-0.016156936158824013,-0.00864202311304576,0.08814775490819353,-0.03443656913181112,,0.0246760573993535,-0.04737993031556808,0.04664956143546004
PTMA,-0.08078059279741034,0.015031325759065767,-0.01605019010710525,0.06349584343712689,-0.12781748210438545,-0.017497948163111985,-0.1751440530210021,-0.11790948656745043,-0.04132617525267383,0.06877997824179287
FASLG,,,,,,,,,-0.019252387099039984,
CEACAM1,,-0.0195060637551476,-0.012399476727623576,,,0.02757728003267958,0.09482107731169083,0.09028491163486199,0.03633495906645173,
PDAP1,0.03612619648887796,0.030101521470073087,0.023869569995159486,0.039118107859820235,0.0011103835258904585,0.0521485077415862,0.02341116672055958,0.03909456047031735,0.062072895332337515,-0.015694915129353382
QDPR,0.027206739228246044,0.0008238131622562337,-0.04136205781165422,0.02084986442672482,-0.08540470841989174,-0.006034082611667503,0.02231715677793226,-0.09658079528512474,0.06599118275929408,-0.02953009663178019
POMC,-0.037522777520304494,-0.014608535911307846,-0.022031891900261395,,-0.022378599688871584,-0.024499617510040032,0.07353204252119025,-0.03936636693973239,-0.006516962383727753,-0.03345542898003664
CCL18,0.12661612041107356,-0.02434172455496642,,,,,,-0.027042911970757023,,
CCL17,,,,,,-0.026333915374879713,,,-0.017450126484497445,
VEGFD,0.04892627004274512,0.003242827931478839,-0.017759762713164734,,,-0.028056559478727264,-0.05748206184627096,,,
TNFSF13,,0.01870377656443205,,,-0.021299363742878757,,,,-0.0284335246036116,-0.025665203509489788
WNT5A,0.010090980258022743,-0.007788508842808667,-0.0363503147312862,0.028505839564636516,0.0015536146980468302,0.05035660272890057,-0.024513289597878463,0.037761301970329265,-0.03958336812265036,0.07315632494336216
CXCL8,-0.07663116644290673,-0.034454211622219726,0.02201152029260423,-0.08867620190646647,-0.005768775563772978,0.02074947816690552,0.10539270666253514,-0.0476133042480142,0.019348615822369745,0.04468656159546944
GRN,0.008514821178349391,-0.008214969124283907,0.02114003850899944,0.07472755228617758,-0.09256430439614388,0.010220085598398246,0.14111279443198865,0.034925115956208466,-0.0693066862441678,-0.005168805834076268
MIA,-0.025381519563457404,0.011269886250398336,-0.01579429096673789,-0.038029900926534674,0.001656372896067909,-0.012687143453624051,0.009815095351607784,0.012534335587912731,0.04497248655341023,-0.025282280588516948
