,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.008361533671626209,,,,,,,,,,,-0.01660307221009506,,0.032112766472731015,
BMP1,0.04538712422924979,0.0014646755785213603,0.03346964860857576,-0.03448709363418838,0.0503403329159669,0.029434032214438684,0.09663656763154468,-0.025877524108360823,0.05876504923721083,-0.09447132400116333,0.05375285899074909,-0.03955873846592296,0.025027021516999235,0.030873447104046433,0.06887504550264908,0.0596596976789445,0.005423703528476528,-0.033338328414429484,0.014586483685758126,0.09715369420079925,0.015605655828033893
NDP,0.012006560474569368,0.003931978373380703,0.002698991772922216,-0.009947037019991192,-0.019889104230019074,-0.03010109316164032,-0.04139744215612815,0.018113084522242848,0.052631185293091354,0.0659757493187496,0.048285768460875365,0.05183620879357915,-0.03768423306758682,0.08077918098147618,-0.03216623355549622,0.03760949396178891,0.04659974074346238,-0.08927671965672322,-1.633582215709284e-05,0.08029270483148952,0.06608299421014399
TNFSF18,0.10160065867312354,0.029332077014362207,,,,-0.019423986399985323,0.038544635170368144,0.011468776944049911,,,,,0.1081748320924068,0.0480059937314928,,,,-0.017122455308836482,,0.06560027085517794,-0.04970081914870922
IL36G,,,,,,,,,,,,0.15814944713170362,,,,,,,,,
RTN4,-0.01169321793012477,-0.008957977408889383,-0.04997008938121387,-0.04860348759788804,-0.0029533538298522405,0.019611156327351744,-0.1238808950719736,-0.03812365483715102,-0.1912499584674688,0.15259128848911438,0.028087947426913562,0.041323449113560576,-0.09496946033176686,0.01110331960331853,-0.08145882838025467,-0.0032203239416340556,-0.045630684695747194,0.03933224453322903,-0.06160318364301524,0.04568635054863285,-0.005573910649365488
HEBP1,0.07062048901788118,0.013678005829628529,0.04855885678347659,0.020009908695583827,-0.07600104540046326,-0.00208527912408725,0.10394305085109833,0.05345179378533678,0.10422553063234831,-0.09298328955070786,-0.002029086170228488,-0.0004169700890668222,0.047822697492107984,0.11342754914903697,0.0016597854322010217,0.08096039449276128,0.02447756175134192,-0.027050179092586033,0.01075663962669329,0.0791432806188104,-0.016418382629268626
WNT7B,-0.0021397591321184067,0.030072038314634453,0.04313615401713879,0.013977310265212522,-0.036110217827394424,0.0539941599309906,-0.018278883322566275,-0.1357971269058167,-0.08149957546857058,,-0.02764389927824393,0.07678498364130984,-0.02977973625772574,,-0.030412166308303675,0.01405643269688524,0.05693242430850715,0.057408621250092225,0.0367811815316392,0.025210509722886083,0.11435804165905046
PTMA,-0.049962973184118895,0.0002524972504736201,-0.050500603856626566,-0.0069064534395679,0.03057109799546946,0.03215177281373377,-0.07276674261685767,-0.04190875399173362,0.18006649285871285,-0.16015886482304822,0.007486419691060462,-0.023740439506595542,0.008858132166125708,-0.0008701053252087608,-0.08981133852967875,-0.06575496640512975,0.004742771412770733,0.0742325075628911,0.03420393959023685,0.028123947973555937,-0.052750652433110334
FASLG,,,,,,,,,,,,,,,,,,,,0.016922110063784142,
