,UKF248,UKF260,UKF266,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916inf
BMP1,-0.029639242328076958,-0.011069085921909272,-0.019396886065880997,0.0003240907225295947,-0.030608590486488944,-0.06074943178967678,-0.029132497874270302,-0.025381792919144237,0.03776930413841506
NDP,-0.026192138722057848,0.08115416884476886,0.04381350217533312,0.006160659200063317,-0.020798160691649352,0.034450956620058024,0.07838686760321534,0.04305291142553245,-0.07412737943826632
TNFSF18,0.06887866193295819,,-0.04289425414789746,-0.022310401634579542,,,,,
IL36G,,,,,-0.01375290994419053,,,,
RTN4,0.00879631306090236,0.06203578543041864,0.3222209742880668,0.07938221935154037,0.06238462462899695,-0.020349695295481578,-0.03636427064654267,0.009451564998949696,0.003946440385736036
HEBP1,0.004395031319615546,0.013619691165141992,-0.11154596444818113,-0.018071393430314383,0.08188354118098606,0.07492666815753458,0.03453068455269176,0.014587758173554378,-0.06509490804692776
WNT7B,0.04235121590106761,0.10679309652669135,0.2408037099358603,0.08053189094824176,-0.015116032933254355,0.010532391298633516,0.05385027800954233,-0.00805877253542738,-0.03206988340068144
PTMA,-0.011760566348459796,-0.08375986351716105,-0.321153583253578,0.04572018773250324,-0.06437726330341784,-0.034906755143130595,-0.03432903429881161,-0.05392248774718314,-0.09395362390793939
CEACAM1,-0.015803933383520315,-0.02604576683359949,,0.0306774517427668,,-0.005666913954000611,0.016514309713062624,-0.015112339517574232,
PDAP1,-0.01818284965320002,0.005705093552135748,0.03126208685094139,-0.011748009565832695,-0.010331795634349782,-0.03487071237655174,0.034571719582301846,0.01584045701273702,0.029282338409681006
QDPR,-0.028110103614999472,0.13805878520346634,-0.12142116245509217,0.058626227335216864,0.006144332080666595,0.06226417311488974,0.05765937407568592,0.02614271312365845,0.10536859726139161
POMC,-0.01629034838417039,0.057163266063832416,0.03415010239054274,-0.004474743579543228,0.06660237360947922,-0.009812058920135562,-0.027923785107037916,-0.01287011972961541,-0.03692673256469919
CCL18,-0.019721815643362183,,,,,-0.023564730460601632,-0.010395114950320186,-0.03429712955488237,
CCL17,,,,-0.007250053360105554,-0.012563673678998983,0.013617501846463485,0.0332174571895137,,
VEGFD,-0.01972182190596236,-0.024919115043032104,,0.019112097483753445,-0.013464878220679016,,0.031229482627513044,,
TNFSF13,-0.014882719679791863,,-0.0049085003781871835,,,0.07082490052640164,0.08502437369696454,0.004918737092851479,
WNT5A,0.040697725739182275,0.00985401897306616,-0.10658231820651703,0.0005191907629982217,0.04727765746145823,0.06269985294486087,0.025310578840441866,0.013607639063647555,0.08316471232033548
CXCL8,-5.319727962814517e-05,-0.11255476913131916,-0.008668671775768948,-0.07182043543831064,0.009185934515838013,-0.10831610161348859,-0.11358571370280562,0.02277212163046386,-0.039992907136228696
GRN,-0.02648544391108394,-0.010718111716774734,-0.10307215763781535,0.04256717601595026,0.001524366646842746,-0.0208900431354727,0.028341101464512828,-0.0062562652744682125,-0.06456734892152922
MIA,0.06447677086152123,-0.06317705609686304,0.005029282065701043,-0.04266975420047611,-0.01844076778573785,0.1771140859906454,0.14341857698700117,0.024051123130236916,
COL4A4,-0.023685740352540677,-0.012909540097346326,-0.06545603244937222,0.01919021097762427,0.000873453979401355,0.007222109827431218,-0.045792526519157384,0.04583847484810137,
TAC1,0.028286807864334483,0.06457592566947154,0.13432230986247237,0.08156284296650866,0.08090241237061135,,,0.022532249694723065,0.07103009117682918
RARRES2,0.024946757129605757,-0.11933502257683683,-0.056936431851488514,0.08296739306950607,-0.06820506937292954,-0.020532781596354455,-0.017981421545475475,0.004137101750813429,-0.0231772547023475
FGF7,,0.07863404846750421,-0.022810871165703628,0.009835987648627129,-0.04010146811769213,0.03519071311428252,0.03811141080629196,0.016271314662927087,-0.03508327771993855
EFNA2,,,,,,,-0.03198062446865113,,
HBEGF,-0.053023945735609396,-0.07650764133430264,-0.1288641049747211,-0.06604910186155,0.0037892372037986997,0.020092873474518835,0.01719106427478578,0.011566721586836338,-0.07599925557419995
CSF3,,-0.025632683037719727,,,,-0.048930971588296616,-0.056654725046000276,0.01619594527621547,
PI3,-0.00457069420283244,-0.067119412143134,,,,-0.14818577057782312,-0.0875120981140752,0.01973716720738222,
