,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.026805136074860292,,,,,,,-0.01754336884174054,,-0.015714761794035623,
BMP1,-0.00045475194225422135,-0.04248599931704356,0.005062638440200996,-0.06259244874403765,-0.00800771697111885,0.05200842370518658,-0.09725830620091269,-0.035483396357811975,0.020341844329586693,-0.0030314988497441176,-0.03672801882251448,0.035586397462874626,0.000967198222342447,0.061112546187865616
NDP,0.04050606369097204,0.08878960875128633,-0.016581233038159993,-0.0018346887298543051,0.0030544023431889017,0.05760197292050498,-0.011892956029179178,-0.00530405867058897,0.0886668152582484,0.10342327819542199,0.0016471385827606171,-0.014534956385221077,-0.013690508782994347,-0.026561309326469662
TNFSF18,0.006876835812262553,,0.004161542148621304,0.0040589724744643126,-0.012622089446573373,,,,,,-0.018092166627842243,,-0.02650799363551914,-0.010253746737095597
IL36G,,,,,,,,-0.014899815672773282,,,,,,
RTN4,0.034181397532104384,0.06877555211891169,0.008916895118810747,0.08420209076636437,-0.0018666900176559414,0.04903029108233282,0.07042080354227319,0.09312630003137722,0.0018210256910311132,-0.02459940486162215,0.02509451247251778,0.06364909335412727,0.025615720669466893,0.037177034673662006
HEBP1,0.014025013554519296,0.025312799600342245,-0.030480754199165242,-0.005972749683477638,-0.022994650168843438,-0.00580083478990453,-0.04246626931682913,0.016120158349135535,0.016298462315309736,0.0056128350040412275,0.03568506599331531,-0.010714133070107365,0.03470567224829988,-0.00030027459915858777
WNT7B,0.08535942350585393,0.009638828517918425,0.005098168995897749,0.0752151596693597,0.019448118322058585,0.031042245403589568,,-0.016376614499988035,-0.012100342500033286,-0.03813395742938548,0.004384274784016001,0.01852722481974278,-0.03354183438647348,0.003979130773809633
PTMA,-0.06695927812572816,-0.06230994331567907,-0.03602524835114087,0.021359002285089308,0.005037471644020199,-0.025050179554201978,-0.08743697203147463,-0.10936903772123058,-0.052190513924406476,-0.011997631516885085,0.08424373021050809,0.034336732560932046,-0.008124518237506878,-0.050250741119303985
FASLG,,,,,,,,,,,,,-0.01362940754279864,
CEACAM1,0.02378477882755802,-0.01959943023514029,,0.0003363576062329093,0.007392751832343997,,,,-0.027123730919152194,-0.03376094892712444,0.01175810290868534,-0.01993216414730649,0.049481947008343755,
PDAP1,-0.03915248536696268,-0.07426727564310258,0.0005971667839739828,-0.025370561636377815,0.0036066806004705233,-0.02229777765403292,-0.007830253772027807,-0.006937695260979082,0.025265361257693155,-0.005973759693050593,-0.08483853465522961,0.0087775293619748,-0.01231587360011588,0.08164215177610869
QDPR,-0.037830755394401026,0.055157823041168966,0.07350778617804596,0.015717560104569206,0.03314105593239586,-0.08461631207494598,-0.04755522198901347,-0.00789302018978581,0.05031758312826018,0.008772717748383846,0.018149390415714332,0.017658531114651096,0.04195261348311119,0.06296488076518127
