,MGH258,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.02208109113365412,,,-0.04001666122870913,,
BMP1,-0.043826248947691535,-0.028623274638863022,-0.003574580512441919,-0.06929474987479858,0.10051348412165373,0.06111224764749631,0.07285254662708265,-0.03381158579258674,-0.03930390240445358,-0.11327374155022246,0.007315047755846131,0.0062000155015079364,0.03247513977312648
NDP,-0.004644140513651543,0.0002556355920328841,-0.10436296139931531,0.003544382450397667,-0.07022703784632117,0.018136302441193117,0.0248878586722708,-0.032094116574163986,-0.014086258836931435,-0.10439600879192955,0.05826953980540979,0.04322110180639801,-0.12740898311158286
TNFSF18,0.010853443584185161,-0.02518359634934663,,0.07922897031080295,,,,-0.08101229407015176,,0.027522437655070963,0.008815844644379197,-0.030514101935485323,
RTN4,0.05864791362120857,-0.03307483498598569,-0.07530573321915571,-0.02433336493225652,-0.0770150880238004,-0.03799150218200173,-0.009081685245191344,0.10423896092414595,-0.1579174127245104,0.18860960861797435,0.011622184349836955,0.04460234335719852,-0.06042748252219347
HEBP1,0.07348922234023061,-0.002925573372999493,0.023290943559991326,-0.0776665601447215,-0.006577432620912119,0.06679242451213563,0.055726069845260746,-0.007186124284521982,-0.020070562317449175,-0.1113880700150257,0.13719740074966455,0.03975698376564993,-0.13215039525025565
WNT7B,0.02846511463596506,-0.016934299574758633,-0.0443613745992272,,-0.06027247982034657,0.05530942983230943,0.059604455709976197,-0.025990837516204637,-0.047001142598266654,0.102541748206459,0.08287211743684275,0.1334492902534303,0.08900859193691266
PTMA,0.09078454273676338,0.012647778232622083,-0.074182469621063,0.004394877251685692,-0.019722000000218537,-0.0477988082586664,-0.04287903592629497,0.14551515415802282,8.970982424953917e-06,0.03217761665994468,0.05175977057724329,0.0202179220695093,-0.3340427817823038
FASLG,-0.04764126086246162,,,,,,,,,,-0.04034979897686729,,
CEACAM1,-0.004422277339359405,,-0.012141729136710832,0.012639392094741792,-0.00055334342083798,-0.03839226411204112,0.07403128473723403,0.028302002813109208,0.029944331696696285,,0.015501003421591128,,
PDAP1,-0.0762399087922793,0.016474652979585752,-0.013219179825355656,0.007760519495785359,-0.0006680092254295033,-0.024142617365608358,-0.02586789502763233,0.03087570661868905,-0.055816595076639164,-0.12425105571227418,0.04115959671116278,0.0011831615904065562,0.04107950387586166
QDPR,0.14509214060909492,0.07985682821111235,-0.09848907427108197,-0.0028361015221433027,-0.05585413803372393,0.03377156093812772,0.010766514947197776,0.1289175013229595,-0.028535373838925335,-0.0762439329035767,0.057697745199090246,0.15299280375547214,-0.25323916869101515
POMC,0.12663533830624982,0.034974794054862784,0.0004004979553110995,-0.0221399266173691,0.06357061301746818,-0.017620530693823164,0.034476957461776224,-0.046109726101663494,0.02555295782016784,,0.012791161087520831,0.07138762369825327,-0.056831655390446004
CCL18,,,-0.0884386783719156,,-0.10913019681169611,-0.0008700915850434228,-0.01843923306956855,,0.07431691860121804,,,,
CCL17,,,,,,0.09045760608155536,0.032783656006421615,-0.06733166473608937,,,-0.026394944219829606,,
VEGFD,,,0.04835680031018271,0.017312161210677333,,,0.05495208741985441,0.00352641470181963,,,,,
TNFSF13,,,,,,0.04097707298309007,0.017690379656026323,0.006732729544559191,-0.07067382747842753,,0.0016558673996237153,-0.029471883498548523,
WNT5A,-0.0641845323397657,0.0261867157649012,0.09848954522676999,-0.05102578084351668,0.013194575862667727,0.09595145639036529,0.05927350781209859,-0.05434615343180637,-0.03928643253871185,-0.06599624520164092,0.009049509683584369,0.011917426345489188,-0.008571090942588492
CXCL8,,,0.0522928951863479,0.04877512758774104,0.07218113181627307,0.0042591965533549546,0.0002256427151457744,-0.016303928814100366,0.20889525588883986,0.13561868220562442,0.06164621674695927,-0.022753475461651795,0.05054920211694851
GRN,0.01797391812642808,-0.0030714520269702196,0.0627886316421829,0.04156878159508673,-0.03305320422979958,0.04211714779216693,-0.0067196277510026105,-0.08348698743014903,0.05493141942017488,-0.17293021339519438,-0.06858758075605505,0.009806348011984564,0.043947073933429025
MIA,0.0400240433026047,0.0036804881789515567,-0.02210129769978152,0.029006227437980286,0.041901940795145816,0.05814194078324236,0.06616740977500622,0.0008360844486586836,0.18094867233943326,,0.05802486361231503,-0.0522654702020343,
COL4A4,0.014063654114238886,,,0.05331078925020008,0.0899693089360636,0.01840032446616757,0.0220476427464531,0.042172482789023684,-0.016096777604802107,,0.053047861562585896,-0.07611625219245277,
TAC1,-0.014278123653789566,,,,,,,,-0.008784751683303268,0.05109538585086013,-0.028669947611823215,0.04769248330716102,0.0056286782635770125
RARRES2,-0.1031611909021734,0.019181769665767356,-0.08664706048931954,0.06593711459426041,0.04049270045392018,0.060619134521882514,0.005137824488186744,0.11346924917274111,0.11656567383237999,-0.08937235693954299,0.06986054367432211,0.09281206287356154,-0.041770129870641305
FGF7,0.03692122260703044,0.02647098464852396,-0.016182166323228084,-0.06021323627261158,0.08543750400910224,-0.020458232963180386,0.07179972619967892,0.05003696229152956,0.02122506522641561,0.00549680036521337,0.08654390461347784,0.009269305725113888,-0.12090640388295282
EFNA2,,,,,,,-0.002813030661302705,,,,,,
HBEGF,-0.03657556211263704,-0.020906034642145167,-0.011319402028306976,0.1613351115312173,0.04897854847973716,0.08119868284598576,0.10437852291366981,-0.004212783561189725,-0.012521670955458473,0.18852972262090104,0.08612010815317775,-0.018359505845488313,-0.0664359890175962
CSF3,,,,,,0.039486312319230436,0.037566545522186176,,0.023605135659610782,-0.0780614185569074,-0.00399486693027386,0.03700368179243596,
PI3,,,0.005221979329125004,,,-0.015385246007295213,-0.00395800333820353,-0.0535618317225785,0.17884513867549362,,0.046749658347582636,0.057858806123026386,
PCSK1N,-0.14172111850811045,0.08448412241517943,-0.01970900084348283,0.012766101941605724,0.07375022834445766,-0.04649840910943824,0.0015135733311640032,-0.05745765335136038,-0.09059271545498347,0.047703957058820606,-0.03718951407618899,0.01303569290400895,0.17969605661788338
NTS,,,,,,-0.0203621622187253,0.04219863431934703,,-0.09608541620654637,,-0.0044810065767981,,
