,UKF248,UKF255,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,-0.0013138785744611905,,,,,,,,,,,
BMP1,0.030274755762558517,0.09141632668681764,0.02821074400241158,0.051691559130161664,0.23679853882515434,0.008844539164018745,0.18904330723040147,0.05565588785680211,0.08806467382865395,0.030310152799636725,-0.028910152468942015,0.09280543868278225,-0.14066630991194953,-0.11312775466539837,0.03104237810477895,-0.018086820678936955
NDP,0.004200123155830705,0.02036040264593419,0.042548398754446305,-0.00260826850545812,0.0342448491235268,-0.10212629884679464,0.032980506158260356,0.03508864326039679,0.11973670131496511,0.045688297642681085,0.14175367569941294,0.07392107905567194,0.0579506297575739,0.13379549485056577,-0.030147414477858788,0.03156739295621296
TNFSF18,-0.02799498287564929,,,-0.0208422270428841,0.10200278692680359,-0.025123695219998236,,,0.025727399396552626,,-0.07243504736515335,,,,,0.01426053992972705
IL36G,,,,,,,,0.028465053757870087,,,,,,,,
RTN4,0.01283179893013991,0.0015358226676790673,0.004351251529234166,-0.14943913646039234,-0.2729235511003109,-0.04939441040895102,-0.3574110572246813,-0.011039190699845634,0.04343853335392279,0.07847897371388513,0.07122199503546461,-0.05622216673155424,-0.13593433041220665,-0.20573519076261754,0.002744595305526136,0.12002339292886277
HEBP1,0.0110296273903717,0.021892693711852623,0.006642908922732571,0.05811263665718166,0.12932692827066347,0.03651631604641457,0.13668875431263802,0.027473437657618376,0.02458356840677027,-0.06923661525710256,0.07087689284838446,-0.027047112578489775,0.15625599464833453,0.09059873723533618,-0.038153124870240085,-0.02876847681004173
WNT7B,-0.06458345019934218,-0.009086736832690418,-0.04496242983335715,-0.03373381503093584,-0.10088096398806216,0.018065968112433273,,-0.033427243878779864,0.06900306486903882,0.003247919224989999,,0.022110284143602554,0.017940086426809634,0.042146765865546956,-0.011217698987020751,0.05189891972749851
PTMA,-0.026025247957604723,0.15567933894842834,-0.028831722584153195,0.164507073412758,-0.17386719420607424,0.06971506918402345,0.44294400565909187,0.09932199988828222,-0.00990746895986467,-0.09326945236719367,-0.11139803130616525,-0.03773487352943521,-0.00977679419995878,0.03850937752930356,0.09079956958547859,-0.06299533921578028
CEACAM1,0.017481640592546848,,-0.017425458757495845,,0.06394887587277548,-0.018295082442246847,,,,0.07223732685785832,0.023509296997733332,0.09810272307569974,-0.06157302387606863,-0.0011975195885894831,0.03611969202425133,
PDAP1,-0.06413468845620614,0.012296363781219337,-0.029211554743032025,0.049845112714187546,0.24384528098481378,-0.08168921719111581,0.08275027454992281,0.01190409388476382,0.004578667732362341,-0.066498838885017,-0.03969127727023078,0.011314613550281835,-0.1042917530555829,-0.11338362861160634,0.04113624096804706,0.02619250648543085
QDPR,-0.019665742840042803,0.08674426398304524,-0.0354166811720362,-0.08284567869851109,-0.27410850729717706,-0.08460552937652557,0.16709556596122152,0.01645705045231768,0.052159509075543835,0.049880854001614974,-0.029539553055087733,-0.1257052688640998,0.13476625424956024,0.16601232369464575,-0.022997127773625104,0.10282880562383422
POMC,-0.02376794587847004,,-0.013713414403135296,-0.01398596476743149,0.014562775621432315,-0.029151549198266867,0.1162988059885267,0.033999794454027746,-0.0023793493247334842,-0.09612931854478135,-0.04920271330288528,0.010658978424960289,0.10727772608194637,0.0796243516699045,0.046353278390059496,0.09152714967779842
CCL18,0.0419036767522533,,,,,,0.21173343280620224,,,0.05048789359494849,,-0.04549119072867758,-0.004823035415887384,0.06983247565755296,-0.08954941790349057,
CCL17,,,,,,0.0037294605518642596,,-0.015525308643146628,,,,,-0.11000514369403507,-0.07081221774842031,,
VEGFD,0.024359473945028413,,-0.028597185773113917,,0.08677890588096582,-0.033383875223482296,-0.020243933287322748,0.01735665855964198,,0.0032821985667970217,0.04902620942740853,,,0.09461290750628515,,
TNFSF13,-0.01803021985230597,,,-0.020212612297769432,,,,,,,,,0.013327078704102647,0.018719337403687766,0.04399905634428066,-0.004799568487750688
WNT5A,0.06307301494488729,-0.04370430058472319,0.03197904162661428,0.10757605548286271,0.1658549681647961,-0.004088756993387995,-0.062353569819026664,0.03289364555075705,0.09666643114037557,-0.05081497516781218,-0.046746143101090695,0.11452121415875946,-0.06658686417871672,0.004554175984615676,0.044976908415826806,-0.06930493074333602
CXCL8,0.0982104880076221,0.0033695347697457415,0.020089502446030204,-0.02875113002061104,0.13774611074064894,0.12061228963797545,0.3004066716384434,0.05849502389687647,,-0.046250408244965374,-0.017487411098427334,0.11511408978960153,-0.1876841140943486,-0.2611176976796617,-0.1271480051338173,-0.05586647386531653
GRN,0.06366837560493799,-0.03506571708332963,0.014253618942820748,0.08631199169263835,0.19495042472412058,-0.06641389569594823,0.30743828715384347,-0.0025441452283676436,0.09132250895251758,-0.10622646622306793,-0.07178395084611164,-0.01138499851901178,-0.08181703471929636,-0.12880776928730875,0.015236878902994395,0.09659833503428791
MIA,-0.006618071225593858,-0.018803712396652548,-0.0014399854286945867,-0.015920662408969288,0.10933869250570373,0.043408293362765756,,-0.02445305853745818,0.1137609988736529,-0.06201598081239756,0.029475161522103624,-0.05257473455473218,0.3817893843440542,0.3637805745811677,0.09020008209521178,0.06093977960725861
COL4A4,-0.05898140666063909,-0.03863184969382858,0.005872674134629592,0.01889575018649982,0.03934681862731079,-0.032713810941588664,,0.02024677983056934,,,-0.015356518570817681,0.1216337226198687,0.13223387701883818,0.053851031504196026,-0.024292874662455055,-0.027731830098670647
TAC1,-0.02148544657850762,-0.0029662718973457076,0.03995574807083261,-0.12197589882326426,-0.18223493318643,-0.07260620161099288,-0.20418197490274673,-0.03935022648176173,,,,,,,-0.01109731474108093,0.06887991662271208
