,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.057070678576160536,,,,,,,,,,-0.0400868911424317,,0.11863175803750742,
BMP1,0.04164902973076384,0.041339602968774425,0.2745336869405874,0.056828601352018435,-0.10027687794315913,-0.005638742679426641,0.061677517472889805,0.04336464615322538,0.2533862701222125,0.029061370222792034,-0.017758726544225226,0.06460360892691273,0.06037110044814814,-0.013082426640610099,0.023912113080838286,0.059451107481954764,0.1676012898571821,0.07439928372133967,0.12587291701065237,0.08653450635728012,0.20901844237853598,0.12247653225961222
NDP,-0.023834270429433795,-0.04946400485416507,0.03649765233169332,0.023167957248382057,0.02334396405306852,-0.011594940679025903,-0.02015105624937751,0.030444892158799437,0.07792054067000329,0.017673551186502174,-0.054951315247275374,-0.016228131059460624,0.11952401856292336,-0.033668945394579944,0.028498198950343948,0.05389804274008074,0.06853870628332817,0.10335066608752237,0.11382493729176746,-0.028292552617578563,0.05164401201735154,-0.050721857360613395
TNFSF18,-0.02493487102744099,-0.04894999604656521,0.08264709821370471,0.05632816238293541,,,,0.01101813290967571,0.10458069385113236,-0.02664041920281654,,,,,0.11186068556632939,,,,0.01176889791472207,,0.09519265664850983,-0.026889521567926452
IL36G,,,,,,,,,,,,,,-0.01823410328646562,,,,,,,,
RTN4,0.010046163933150958,0.039790660813242805,-0.01826560657410662,-0.04010578161685979,0.024191895759501102,-0.018834096374536827,0.003542921815622214,-0.07368874275822276,-0.22585866278676056,0.011990397431061126,-0.028701027590263033,-0.18755960992335552,-0.0234358534599124,0.0713360563687381,-0.025756328099530358,-0.05121957706750399,-0.062052145265804645,-0.06602038636452776,-0.19256814357704014,-0.06831903677527945,-0.018649970692422357,-0.010185480046553546
HEBP1,0.014070288577767692,0.07264473147003968,0.11206161688683493,-0.0113693571464906,0.07069078383584977,0.023840508616560955,0.017498849696047352,-0.007958255919551621,0.07073360961057414,0.03534263789107297,0.0025888625092019267,0.09269996345750521,0.033001445023321536,-0.020081897373756288,0.017141394452357368,-0.04452140558975323,0.05006044332316411,0.09072319965991707,-0.019231321151019474,-0.004691297157318641,0.08235780770436801,-0.0011311411045122068
WNT7B,0.03377206890554042,-0.032853478037980666,0.01740017307333574,-0.025119146207868984,0.032750958136602434,0.06135353882302299,0.07590624474299269,0.015686161082377095,-0.07137457026572483,-0.03540609588129334,-0.01400690201608139,,0.023168476054653817,-0.020041380835406804,0.1786436511162775,-0.03693322934733964,0.04067062963221259,0.043862490092489166,-0.0029044560705396077,0.0014895201068696325,0.029770991618830255,0.011594617183212265
PTMA,-0.025179812484051173,0.06867189785450407,0.11848074558284342,0.06177226781119803,-0.05013879896117557,0.020958986093581773,0.015265217609066831,0.10231094670305238,-0.15897287645089486,-0.0036558663048027198,0.00594172411866914,0.1782402836020852,0.10978191738280674,-0.04926401371141594,-0.019461949569383585,0.025181409112972557,-0.07679316800213347,-0.07961893091857275,-0.20733256641187897,0.028576466329923684,0.09030368553582235,0.11654019974919114
FASLG,-0.005558287824864748,,,,,,,,,,,,,,,,,,,,0.04085727047728022,
CEACAM1,-0.011704653778185518,,-0.04317935133976934,0.04742943930206018,,-0.006137278924590486,-0.0015589964186066571,,0.10429518028658545,-0.006518851505692672,,,,,,0.03323408622831935,-0.07120561779645543,0.02984273717276896,0.0986175787081412,0.03435974311020712,0.002105194105080185,
PDAP1,0.05715958740836208,-0.0527822686216965,0.0638931968023387,0.0328148495111298,-0.0023067737980908684,-0.024091837777141134,0.07270128045268122,0.05256451256697883,0.15188276922510888,-0.052149883725716606,-0.017857889518713886,0.054318047122474115,0.06340869457499733,-0.02841312200734173,0.05569334137747583,-0.03997483871279063,0.06796398312069743,-0.050923865947268186,0.009594687741988735,0.006928827959989435,0.010093548192087947,0.026154432576827737
