,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.031185472665356036,,,,,,,,,0.0025657548687123837,,,-0.023824425744559067,
BMP1,0.09627152597799214,0.14700089038808772,0.056001231557989514,-0.10351582235321607,-0.05998348101459872,0.023550803881328474,0.06736389774715047,0.09964087529051477,0.018875754144946633,0.0004404655426702575,0.24362717948067053,-0.005935888544673095,-0.05368214481819963,0.11830786973353093,0.025903188377004793,0.012894711578876368,0.008118105064225063,0.17546156713781172,-0.0073665000323002916,0.0773222921242579,0.10963037856997591
NDP,-0.03554024949313016,-0.06266338267865902,0.004898178917349082,0.011577703913517272,-0.02320279109565027,0.06623589894130301,0.024504669689099673,0.06237012935783798,0.058994438776377056,0.04454003573634428,0.1362008304121229,0.03812751036784361,-0.023740005481350145,-0.03961249838754431,0.004751241917727759,0.06656910310083529,0.016229093887647827,-0.07727324051559126,0.016900678239664225,-0.0016682559494416807,-0.020358976223350533
TNFSF18,-0.021812085825390903,0.006109116582276275,-0.017877651406984055,,,,0.07359767646492672,0.11612132973936645,-0.016604480505403856,,,,-0.011907763143415165,,,,-0.02619658453723032,,-0.03776016513680264,0.0324840892159121,0.07274287026822564
IL36G,,,,,,,,,,,,-0.018982327288628947,,,,,,,,,
RTN4,-0.0956998992805899,-0.03785366812074158,0.03149871451190185,-0.05753209481738299,-0.029187156200280596,0.05678061980117275,-0.08040638451669059,-0.12619291811632882,0.020970532346217017,-0.11877359759976586,-0.15832299228426316,0.030340499285240116,0.046866309870525286,-0.012363376154612343,-0.04427913505694287,-0.07740654576553009,-0.07891546732151723,-0.09843174646612776,-0.06987711830636893,0.004547923182015463,-0.08478993840533162
HEBP1,-0.06969777869521057,0.040007386390504475,0.017826907723773672,0.07800875634366737,0.05953210866969931,-0.013910736048001944,0.029445487337262793,0.018746637932051682,0.0029687899647609256,-0.004190053239005142,0.05164554061327168,-0.05619786159602804,0.02087577116060028,0.004059247233679366,0.07312032737400602,0.022048349572520668,0.01869448721842897,0.09570055532105388,0.09900940150510494,0.04474934587562611,-0.000891521351738099
WNT7B,-0.038527572341037035,-0.0070892670004571706,0.06093854898557186,-0.04370092824686114,0.03831026666743094,-0.07655360161942885,-0.008426920748938945,-0.04833369353111599,0.028568074176313525,,0.05568736752762165,-0.00451673718516443,0.08297865116889944,-0.034052747313501365,0.018795407675466447,0.02713445275858832,0.04549736073279729,-0.04270680318795312,-0.037760125982347924,-0.029007708981354734,0.0038041040132273407
PTMA,0.011039548054349093,-0.09373120326014338,-0.07062557511496075,-0.24947603629064447,0.08702891121559299,-0.11462867143615868,0.04796266325832639,-0.03408128834645592,0.05129830212497215,0.11767015416737649,0.4561274846763327,-0.08812646202531632,0.17363543681476498,0.002785421363737663,-0.016614258013110356,-0.020752565338097623,-0.01065775029421112,-0.012528249386014035,0.09026671609801641,-0.056527299533272506,-0.08594180225814667
FASLG,,,,,,,,,,,,,,,,,,,,0.06432061507279739,
CEACAM1,,-0.007085044247009794,-0.01763841885530862,,0.03172056757714865,0.006391351553073151,,0.009963242450510085,-0.026114892082570205,,,,,-0.030539049225459948,-0.029731867828665673,-0.02900320379684486,-0.021172894742201118,0.007760014981890756,,-0.028143261540099874,
PDAP1,0.03997830455755468,0.04614379796934743,0.07851403849483514,0.03878572596875593,0.034684806353650545,-0.07938503048341918,0.08555026934444687,0.06562660039106676,0.04671662910583132,-0.011664916235586438,0.31175041066211673,-0.016413455672848735,-0.004468935504406009,0.025634563544118426,-0.005712950535642542,0.02162334536680789,0.006576668061213671,-0.03225928178840506,-0.015560247475583851,-0.042010629307187235,-0.12701795282103354
QDPR,0.04377230109466556,-0.038251580763403396,-0.04832778031184367,-0.11488917781978732,0.018835134111262666,0.004842678161470603,-0.0413063085304314,-0.07500557192684203,0.04868338493216738,0.06859057394030568,0.26528938991368906,0.04688599256537185,-0.11887687182555688,-0.01581063971246942,0.022957354185931693,0.04259961538529554,0.042115723861993054,-0.0716897325056381,-0.05687608301032034,-0.006757157483613034,-0.04660406530643103
