,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.02030395115471896,,,,,,,,,,,-0.01821904111552393,,-0.027293825508740113,
BMP1,0.03338328319821251,0.01392402024047233,0.009062700166178416,0.034021153116327536,-0.02782789414232741,-0.052975477187268964,0.028688367345461225,-0.01653679626504263,0.00456447913916036,0.01680535207542588,0.011391922832075189,0.006756805044687237,-0.004844305912511593,0.02856936187529426,-0.030245137345435453,-0.04027424567008419,-0.011938151723207202,-0.022047335861215035,0.033093008264990426,-0.03036729143864493
NDP,-0.0175781552660719,-0.07724511001953768,-0.00916108905250088,0.034222639020281984,0.033929989684552075,-0.056246357088923074,-0.01906201287395965,-0.03357658497023607,-0.06864517901717394,-0.041099823961671486,-0.052210603030099736,-0.0007838668631840091,0.037140241298497065,0.09330167726751887,0.032890559756920644,0.04435844020428695,0.06313206910593311,0.03555082076801575,0.0623930151280511,-0.014895080694032819
TNFSF18,-0.022337929517706676,0.0338386540008831,0.026689583440328263,,-0.01612119032699005,0.007857355776798525,-0.015129093876096057,,,,,,-0.06302355583558385,,,,-0.01878897551747905,,0.0024814774904905784,0.025187310660897296
IL36G,,,,,,,,,,,0.11251120884783078,,,,,,,,,
RTN4,-0.016710913455001593,-0.04912665434643608,0.04067698056852253,-0.07130522739437146,0.0558520892866213,0.14790595698132983,-0.04418369790880176,0.013289449197272424,0.030897855217984774,0.049050307651121165,0.010744944824501156,-0.03936753626975396,0.003313415025521218,-0.028637620414843044,-0.0458993198755863,0.04660750983780919,0.10678953093536353,-0.02324836367642031,-0.04589576447845821,-0.03382974090518868
HEBP1,0.006610212100005066,0.004544313386152521,-0.030969699790494878,-0.044480402106121086,-0.0022471800953917966,-0.08579160344032444,0.009706437521297382,-0.011577110441234988,0.04199388949838128,0.011896863577616589,0.05732059168451778,0.02569510108648985,0.07410940990326383,0.05931692962769533,0.03271793759842692,-0.032597450378332116,0.07816830269214264,0.039563395371381295,0.05046732164984574,-0.029274406548967916
WNT7B,-0.05213697580650146,0.001441197328896657,-0.001017935313113441,-0.014900611640162759,-0.0053210504414610005,0.10302896174401377,0.050065551366203706,-0.01563037469948227,,0.006035103774616352,-0.017360750314829695,-0.060458569936008066,,-0.0442610664721275,0.08041238251532241,0.024872777040350305,0.10364681565782807,0.03831596402650355,0.05993657614000133,0.08568290717175199
PTMA,-0.052920730905446675,-0.023282617207088747,-0.06788181568151086,-0.032461773706657246,-0.09225999036964595,-0.018890328343932783,0.013328780305805976,0.016899036438656742,-0.024977227097629506,0.13270859805820406,-0.0027831304123368474,-0.03849193129256094,-0.10013715037838329,-0.1372155665673124,-0.07010848355902066,-0.006868806105347296,0.08680419184367061,0.010571839938297963,0.015079844120355675,-0.005482292995162223
FASLG,,,,,,,,,,,,,,,,,,,0.08111457549749763,
CEACAM1,,-0.027143950634062268,0.047457891271756196,0.03274228186840122,,-0.03967668016848075,-0.023794460401982496,,,,,0.013358061937348899,-0.053008103313882546,-0.03969403335711867,0.0027626529309641274,-0.02453249674624104,-0.026997796223023268,0.03163237024909215,0.07219555475897244,
PDAP1,0.07282497508435966,-0.08450180690239587,-0.005012072680388432,-0.027407130513043585,0.023005964348600843,-0.07677417192538942,-0.012357805865226688,-0.049186028741473826,0.03497354251887159,0.011272113179822399,0.04979724994474482,-0.0670863858231671,-0.019864000055585574,0.09567300378803797,0.018332899568477588,-0.04418627184176608,-0.007834777580470617,-0.025629433775747616,0.04967189119584528,0.06663951341420757
QDPR,-0.024038054781631076,-0.09677631585524575,0.00513878627878252,0.04029685800004868,0.03787538073418458,0.030519832216311094,-0.00254571184169795,0.03704855426454574,-0.007297322576639794,0.05118582156595211,-0.008429652272672821,-0.016522751990419072,0.026072026990193946,-0.06881233217827559,0.023324882476446485,-0.0014841351489222286,0.06651344210548844,-0.010259788005437233,0.011029973215093209,-0.009727057234862087
POMC,-0.0421777388324695,-0.028960884186714372,0.003156343709116392,-0.035526680755314996,0.05118717528279629,-0.009340169999435587,-0.017554604153259712,0.035308922369267505,0.06787890087170936,-0.03736326298795436,-0.024133731458407574,0.04478549704866519,0.09522890866132086,0.017900321139106997,-0.04022416104094059,0.048057670979041206,0.0156308741274582,-0.02623112285903961,-0.006462161487554752,-0.031256225194555204
CCL18,0.10462524607210676,-0.01320417621420469,,,,,,,-0.06388640472276119,0.058845864471250696,,-0.010726897462917117,,-0.028143722282710077,-0.0032800769703941156,-0.0235590328439042,,0.07969323171443533,,
CCL17,,,,0.04408080873455667,,,-0.01886892560759401,0.040234593407226155,,,0.07720487403698431,,,,0.08872206251290919,0.037778691248266834,0.06469256431695168,,0.05574602979391746,
VEGFD,0.0344700776475095,-0.003357183630671653,0.03145811286651156,-0.024635343831214743,,-0.03401456459244942,-0.020103244279205845,-0.014190541277807627,0.014891988163518308,0.067021006859248,-0.015464400603053598,0.028101530539047882,-0.057688110945806254,,,-0.007795588886056333,-0.025334480729236754,,,
TNFSF13,,-0.01224236283052203,,-0.015252445687776058,-0.01563419154716732,,,,,,,,,,0.05176891746286958,0.07146361860370763,0.015645791982776006,-0.018006209224566746,-0.03496066613162743,0.0004254877215971564
WNT5A,0.022195244749774894,0.03186184342734952,-0.02094868067426021,-0.03982440622530619,-0.03850943176812888,-0.10135905854510163,-0.014050528989173259,-0.0031191433793530724,0.0022364664502156724,0.09160712003301409,0.010182548473902913,0.02135115669086859,-0.04549381122902317,-0.014469719224889705,0.04362273336840939,-0.002341670398206949,0.007945535812890826,-0.0338894280539235,0.02196287463541769,0.0008090695791539576
CXCL8,-0.012724962271902241,0.1323956834643743,-0.02645119052877739,0.011502106574549894,0.011181528982235048,-0.023834924299132695,0.03064737663129444,-0.013214849063142393,0.03422516712230459,-0.008026160204416448,-0.030476856856570107,0.009949331137312516,-0.030015631767672357,-0.049551454117342235,-0.02659731405843156,-0.10275889359211435,-0.018611003630368814,-0.009303644933814012,-0.0035839462089903634,0.006958550450606385
GRN,-0.02413069529969567,0.00622152121812508,0.054449407885656394,0.023442967655717257,0.01612379912955126,-0.1230250494614611,-0.0017416935921346223,0.04620242631222881,-0.013579555583544576,-0.00510278722138738,0.04618935052378001,0.09923315437189767,0.006832722262289699,0.020488206031363042,-0.0239177463905027,0.010851493026714221,-0.04307269722211901,0.015192849606973678,0.02681963422438799,-0.032269938992160505
MIA,0.06232278488875664,0.01890862376905155,0.051574216086647424,-0.04017854429048799,-0.028269633546418555,-0.03138096573672942,0.011595825539938912,-0.016138752203339806,,-0.011734815912083406,-0.021179205321632293,-0.09949720911629285,-8.296384764078673e-05,-0.026962816580597626,0.12824026051490253,0.040857944824318884,-0.03414910659344356,-0.09922113783612116,-0.022259867931954752,-0.011215786149713698
COL4A4,0.07501058351325231,0.010603248675549971,0.05464229030162856,-0.04669709627152595,-0.014875242532045578,-0.020008036798807655,-0.019699742113819037,-0.027111820229224648,,,-0.020544614891405744,,-0.01652354882770149,-0.035582458563444413,0.022634992967699316,0.05752770679924752,0.019132771162645692,-0.0323160293959482,-0.04218156585110766,-0.049142900427618465
