,MGH258,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,,,,-0.004242305977516701,,,,,,,-0.01361413852423466,,
BMP1,0.015810304826867728,-0.02089935802973284,-0.03391577653765242,-0.06360502796772356,-0.016720841348221188,0.018052974411960673,-0.045182390022503266,0.15732815936115144,-0.03962067783002794,0.019137197342599103,-0.027765722224212662,-0.018582926538120378,0.040589762693322644
NDP,0.11742020726328987,0.05812018626841812,0.042649760648993486,0.07602807705828825,0.012169482248361386,0.04729799422274532,0.03683137240410277,0.005884169657328331,0.04275135817142448,-0.05487599080166898,0.04576806884743731,-0.016302164789190863,0.011553653284041182
TNFSF18,0.17256863318967372,-0.012145442888049522,-0.014130675043914185,0.005058858430325898,-0.013506324955319626,,,,-0.025257689482794422,,0.0743941226682016,-0.06383368549287499,
IL36G,,,,,,,,0.016752242458798645,,,,,
RTN4,0.09218726478763228,0.01533940989131625,0.030644417190034946,0.07829103559565306,0.035349399003325926,0.015547826503559624,-0.03336033905855332,-0.04174391420215017,-0.03920545997544582,0.023383238401204397,0.03610428698694229,0.07444813129735789,0.1003925099867859
HEBP1,0.006081182023544194,-0.00412250370281209,-0.056898942589318005,-0.039401573372125916,0.0771077393197186,-0.0428411105871052,0.03624173312864074,0.031112349227045595,-0.021560965050629804,-0.0118917017911117,0.036258064171366365,0.04060664772956717,0.010207633383880359
WNT7B,0.13517303368839895,-0.02696625812569333,0.07013442737278645,-0.07009815140817313,-0.038714623212185946,-0.011878753517987482,,-0.03673900396243466,-0.02780625083342248,0.0639898597786369,-0.0579790746536508,0.021708148193601763,-0.030099889546995877
PTMA,0.14842277878916824,-0.008095525745469621,-0.019552149462148644,0.18178176338612545,-0.01830923937987619,0.11313919089038557,0.10126659176746901,0.15497988993709808,-0.0371536780070159,0.046894016809409036,-0.008257135457390603,0.04314180272301993,0.00047220254788834365
FASLG,0.07307568014172638,,,,,,,,,,,,
CEACAM1,0.03445789874466657,-0.02069498120025756,,-0.020078204836115866,0.004991738817423613,,,,,0.011026636670306999,0.012046772177343696,,
PDAP1,-0.06019034662196964,0.009722226300929487,-0.09116984133995217,-0.1009241158749981,-0.003873404363088725,0.00845936785747378,0.017000036143101534,0.08710184578953631,-0.03330371963440295,0.07957180976655817,-0.03262972860420954,0.06087858590502433,-0.08993970240041962
QDPR,0.16228640877671177,-0.010172109278223113,0.02279140788190157,0.21587113516323428,0.004179354571079757,0.12164014928447002,0.2019357250383882,0.036326875225732705,0.02621470400570366,0.05091930888226869,0.06168819654561873,0.10006994009516376,0.05533921639260392
POMC,0.02594470625057967,-0.03677167986180024,-0.02713582099672923,-0.04243527212232675,-0.0156716714231342,-0.03194913371228774,0.0594793767034288,0.026114239701848268,-0.012634838156604275,0.050630548228306094,0.030295120086399133,,0.00037180109531747353
CCL18,,,,,,,-0.018588611705231416,,,0.010994386736034936,,,
CCL17,,,,,-0.01684501681998146,-0.014702566908551123,,0.018206916892099516,,,-0.00021492997937877956,,
VEGFD,,-0.01854634794932441,,-0.051204970683142836,0.04325486892054323,-0.010784510631820449,-0.06306840084503203,-0.03272592858771477,,,0.04353513948347015,,
TNFSF13,,,-0.01370380696749575,,,,,,,,-0.027810832670750494,,
WNT5A,0.00030973341486432196,0.0044541743287794125,0.018417896361640828,-0.07060855520802813,-0.03035788254631111,-0.0002413711894125244,-0.02224031029520904,0.040050539836903126,0.0078190397053949,-0.04867565115874879,-0.0621327159732643,0.0033793191979389257,0.05115259340779114
