,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.02390625611990616,0.07865423134638165,0.04263539047355531,0.05493066106684497,0.056946579278914965,-0.07137148523501229,0.016372229423168457,0.10829273775209486,-0.020763053652826133,0.10892615988758676,0.06690002117774888,0.1449951963086863
RARRES2,-0.01377470573914415,-0.04004764506006849,0.022862355891597172,0.002159447776006045,-0.11268094051780392,-0.08795022561154774,0.06369898326573524,0.00560956716256083,-0.020922085192248783,0.016889650756003752,-0.08669576837525228,-0.05010078572200301
SEMA4A,0.150106664970329,0.024854185287393075,-0.026969475092586685,-0.01933759300781344,0.09712384136974235,-0.04387424312868448,-0.004378033488011871,0.010809956958562437,-0.028141621810401547,0.04927093944371988,0.0457887017064745,-0.04755015650149752
GDF11,-0.03790363000791601,0.054177911612801694,0.025375628827744242,-0.010657165850434603,-0.0037260137935731545,-0.08859383957667603,-0.04156441564641733,-0.04740822113465799,0.0033200030783723977,0.06083422246120413,-0.038183369684962234,0.05892895087278233
GPC3,-0.006144975817413408,0.07112099741376829,-0.018936671723163604,-0.01496888234809978,-0.006795079353452019,0.018691240125352802,0.05424383547913242,0.0386669125056293,0.10152023837835825,0.11280330467198409,-0.08314368670408788,
OSTN,,,,0.14587015343301124,0.021407689281317886,-0.015698806766168038,-0.04363913909021473,-0.028259009777648607,,,-0.029127495898026115,
GRN,0.07226581102171838,0.12819108856357586,-0.03899440372697931,0.010424567547507698,0.012920768783049237,-0.09022753039152553,0.0024207867479816066,0.019456230258866836,-0.04357075714187072,0.05991716140365627,0.031550482086820056,0.034616336142438024
CALM1,-0.04152023380512318,0.014460726733764204,0.012202640165213684,0.015704147933327188,0.13252622165972536,0.07415425713922885,0.01808027543294637,-0.11570832223280583,0.03146465551381793,-0.014279726727744947,0.09293721838755775,-0.05275577401235027
ANGPTL4,0.09203055779144953,-0.005947625919763121,0.047927392767561146,-0.1004620237016615,-0.05928240238719323,-0.07591611160582466,0.023615818001283564,0.012946361006149609,0.03212120292469378,0.03305135379232754,-0.11103009782242022,0.05003548291626671
BMP8B,0.10013741111084301,0.052771048011296534,0.08980322388891243,0.06185585743802239,0.00771989358545039,0.04427175186896028,0.058239999718212365,-0.019583284479931243,-0.06167268564930597,0.02429332050540657,-0.02196131889400278,-0.03476882371312308
TNFSF4,-0.0015690934791502274,-0.006073629133120738,-0.01939992040463835,-0.022995795129702176,-0.03653370555335169,-0.024041485136649953,0.06371043516687733,-0.026505506107398435,0.03170142458640414,0.07939235129079855,-0.02972284075686687,-0.007139560345072849
RBP4,,-0.017806204957842554,0.006668524207765244,-0.01908367641107963,0.016140390902226555,0.05486799188364857,0.04902221857704831,-0.03247498355201256,0.02864600522380723,0.025352853279661417,-0.015001760451878829,0.07743870757191484
DKK3,0.031777076716842254,0.053159304423037956,-0.05975199186309263,0.04234688606981161,0.13344111314355048,0.06267994528492561,0.06331608718558715,-0.09126151734967718,0.06468536286456668,0.10590718225337832,0.06703426099386935,0.03732149130678011
COL11A1,0.044545255626820296,0.03673572389986258,0.09677709460458699,0.058862536039856604,-0.0857116824537502,-0.027536074995208163,0.03445816231768234,-0.025541499016041195,0.03956924640973675,0.11757187200292624,-0.03331322051921117,-0.0479303598797575
COL5A1,-0.0015282025702365069,0.08228004368947446,0.03925372553264236,0.002020677214032882,0.012564806433890385,-0.06722822599485222,-0.06570998562396292,-0.007962881086805795,-0.034266897244005855,0.08708107918778134,-0.08366416785137074,-0.029174351907177938
KISS1,,,0.058909095244844396,0.02321894372749162,,,,,,,,
MEGF10,0.05987863741854512,-0.014473961361028386,0.0016675040643724904,-0.026917882495813273,0.0677467470702161,0.028945197450300844,0.017107800234851447,-0.02191049553691818,-0.054184382949252645,-0.03651767907300525,-0.05815986925219764,-0.06955774220066158
CEACAM1,0.007118759183619663,0.03433371790791713,-0.013221174537054804,0.08180657744617251,-0.018932378239804846,-0.02731471479302449,0.04859105784713756,,,-0.020499854707968394,,
EFEMP2,0.011957173280694552,0.04628800698318479,-0.024967885436370074,0.012707176358986263,-0.031694870962533456,-0.05444676606685508,-0.006675289277195432,0.04397775900731718,0.005284489889104634,0.06526725752593085,0.007776787609343593,0.03586755693847765
IGF1,-0.017790209773556314,-0.03385291120080869,-0.036521977026074015,0.0017608805560480423,0.006246983763014648,-0.013118737148543141,-0.03872671766403742,-0.011651302757179021,0.06083403281999032,0.11131889549296851,0.08399045884911355,0.06418003179055261
COL6A3,0.10797067562608284,0.09337415050367263,-0.01858245533534804,0.005451704360641184,0.03507722598669523,0.008127043012827725,0.015203387846311386,0.00912907930332734,-0.006821033131239973,0.12005836678912843,-0.05074004636356488,-0.030185960498823446
RLN2,,,-0.012722255995446352,-0.012248529213290489,-0.024739567898304875,-0.01742419081977155,-0.025210285047656687,-0.027899442696589217,-0.0216445834618655,0.0717805537333816,0.09470433988108345,
