,MGH258,UKF248,UKF255,UKF259,UKF269,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.041861963524675666,,,,,0.05629871500580384,
BMP1,0.044714560554773145,0.0747151598321005,-0.041497757088216694,0.007621536177671055,0.07092948754107052,-0.13575000414151384,-0.005656633809969603,-0.00745494929394728,0.03355737169338491,-0.03273109690504798,0.03454199427742221
NDP,-0.008411992295198572,0.026288665872940466,0.030748500672984326,-0.01564167124408111,0.031177905778536165,0.13159899186717197,0.03395190986310195,0.011711340430613558,-0.00276635097139268,0.03881271762387978,-0.021545635125353794
TNFSF18,0.08228844119679517,-0.024830504610871256,,,-0.020485084144632053,0.12708371680202274,,,,0.03778289640875766,-0.03739985530271451
RTN4,0.006465507039475812,0.02875120025578507,-0.053969970911663515,-0.011290183413328894,-0.04032633830021762,-0.0892067497391494,0.10001077662222686,0.0052699606583973164,-0.0450647709799474,-0.07065995213508354,-0.07808511308123939
HEBP1,-0.08199020065421761,0.004449957297922016,0.016310978285800158,0.04987645181470573,0.03015927086906713,-0.10098203995008923,0.01119495687737254,-0.023656576199256325,-0.07151371989733371,0.04315518732137827,-0.02129390837579443
WNT7B,0.2667855353974039,0.07798195417957522,0.06927854912511038,0.0313299800016895,-0.040059537751466985,,-0.004558578818506711,-0.03932235015324062,0.013058064934895277,-0.007069281767228898,0.010530299817848206
PTMA,0.05835514713993333,0.06684554919409945,-0.029603674590994004,0.010323682245126543,-0.040520507292441596,-0.050789067012725835,-0.02716785065613167,0.06170785453097533,0.022846830142423377,-0.022175859837306928,-0.029171991866748403
FASLG,-0.01930309841288124,,,,,,,,,-0.01863551069253651,
CEACAM1,-0.026802521080965053,0.026488821132036485,,0.07640800843572554,-0.026957203991183443,-0.03445485472739754,0.00014295554225656168,-0.02203425224257985,-0.01427955182630319,0.007924794930441575,
