,MGH258,UKF248,UKF255,UKF260,UKF266,UKF269,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.07678615820098758,,,,,,,,,-0.004805607416321052,,,0.05449661217003938,,
BMP1,0.03636705885370554,0.06620996365822679,0.06810522660447273,-0.004310642509487874,0.1042278114971281,0.1158074161713098,0.021091829542648297,0.1297833160245102,0.08499510229513388,0.08501420055409496,-0.008874390038711412,0.008636999994320183,0.03506448278658379,0.029848749154378126,-0.06095214368371027,0.06739264474675168,-0.08814921220073003,0.2451670757064186,0.11099803058037758,-0.021519803498504162
NDP,0.033463126821053756,0.05691552850319108,0.05689355446016715,-0.012539884689207276,-0.03565547201448383,0.029288566998355525,0.03551390226817515,0.04124499195548968,0.056474762043529525,-0.09363708993712727,0.020549660722752758,-0.06695114520957002,0.017541532859441874,0.06401693041374802,-0.007165572687913311,0.004566506496036887,0.01798131792863225,0.0058012636542775714,-0.03080789606175621,-0.032217861236064654
TNFSF18,-0.023821690871206228,0.03095950357899373,,,0.07039234367060368,-0.024952101981651188,,,0.05479793311049578,,0.019214017379381335,,,,0.01736405871137186,,-0.03947955266932776,0.17760932680258312,-0.006094335352648009,
RTN4,-0.066280156822285,0.01847429984639407,-0.01334142434637144,0.03657679661478453,-0.22092979940702837,-0.08867369470368125,-0.06017829328364975,0.029380504185378502,0.025968571591784572,-0.021539002406278953,0.016051322385919966,-0.032949733444213786,-0.025471300589367214,-0.0913879040122716,0.06149288318162132,0.018217255418545204,-0.06817767083799627,-0.018656512799146773,-0.014200293229436129,0.050726067967040676
HEBP1,0.0237081390654739,0.027601780436184567,-0.04474580727590812,0.01922321035752455,0.11268445015621958,0.028145951930206435,0.046147405988297266,0.05638228425120947,0.04957946636182848,-0.05717159198422618,0.029695239721135615,0.03496853294617025,0.0035314060768216254,0.03492505950316396,-0.016193803175365187,0.010631622792057283,0.052833528812179315,0.0931850568912723,-0.018909148722737263,-0.02226327031807328
WNT7B,-0.03206751828115049,-0.034061710235721944,-0.017047294629638533,0.03501654993235184,-0.01247676874253971,-0.05891773266787525,,0.06130538522128361,0.10918678969573442,0.03248967480552037,,-0.005197605017372668,0.025031564542280133,0.04209748971214883,-0.04167168989703527,0.07206504682051428,-0.03947951173199733,0.08014824000348315,-0.027414099240329667,-0.029358883121008966
PTMA,-0.03493527002164082,0.07008635352426315,0.13115060236847517,-0.026219919877518056,0.2918830228269773,-0.08737419484337292,0.10590969430519052,0.14550876930328083,0.06647416006807418,-0.0017892564777393987,0.06810087028155909,0.01796850430689658,-0.05976054263033524,-0.09084231422141856,0.08990745205349762,0.07183402963215646,-0.047656045257861976,0.09872270718926486,0.09001201810533964,0.04163190931640001
FASLG,-0.016959092071786832,,,,,,,,,,,,,,,,,-0.0035526986708372794,,
CEACAM1,0.017699397432978124,0.016595928549236912,,0.013187971528888637,,0.02703351872421763,,,,0.1214104026342343,-0.051233932784474856,-0.01938964890281161,0.08646667906725135,-0.027182396288085216,0.03504187000261855,-0.017930081688822107,,0.07261906815099572,,
