,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.019648798204636195,,,,,,,,,0.15127382589461189,0.02642566334053619,
BMP1,-0.015181064597851467,0.07223110269183643,0.040264779782875605,0.015536155945741691,-0.011984483746850478,0.010208262100927226,0.05753035144445218,0.05176840105248951,0.011491029621869996,0.004791439050652635,0.050238324329245215,0.06599170570590136,-0.018031312871785825,-0.03710836559437345,-0.03981554744373661,0.017990450094267748,0.001260076183686235,0.07102188797257301
NDP,0.0859390816652583,0.09941621224464252,0.005041612305889014,-0.016035254028600412,0.08171238781754263,0.0447021048037427,0.011803937304156804,0.07769038245127609,0.009127953850122961,-0.017022062122417112,0.03589215708741875,0.01571631655206282,0.08432400521473318,0.03291056354090801,0.12403081281680702,0.011197571564861487,-0.008342405304870602,0.022055269640122003
TNFSF18,0.12876588124293542,-0.025285709924016995,0.0016995589320430232,0.051216705866552935,,,0.0809667534175385,-0.01739600668419102,,,,,-0.051826884617866345,,,0.07356025064055312,0.045686781487579896,0.04793499321385249
IL36G,,,,,,,,,,,-0.016140240690250208,,,,,,,
RTN4,0.05141310302808709,-0.10007438617165076,-0.03584585661471756,0.02090493584127243,0.03032040297956705,-0.06459462137730643,-0.0820901635709272,-0.008443238456441775,-0.050585427614374956,-0.07555434968421505,-0.0009178845637193195,-0.09566559019667956,0.07893126952644879,0.018547761333113075,-0.02149578999877571,-0.11140975759694577,-0.05758191487299595,-0.09591929533204584
HEBP1,-0.017611442457095706,-0.026788507985494737,-0.0551969206773123,-0.01707579042868759,-0.018701293476679377,0.055181418093478755,0.025019232996510807,-0.019966655626710798,0.02609807237036887,0.016132847837148856,-0.002257165014693477,0.033346020506075456,-0.021171496264313985,-0.00933408182784852,0.017518990331333535,0.06167849409097047,0.001425726817414313,0.05508035066606244
WNT7B,-0.01908306172890226,-0.05901712804285154,0.006981613212112768,-0.012004727147120487,-0.01908591604830113,-0.006209188086299842,-0.04125226223075253,0.035647238050536725,-0.01502537036606431,,-0.01773998454251015,-0.014230170291561609,,-0.038432603988614734,0.02776066733791258,-0.0438246655735651,-0.014165803041271399,0.028928630770148126
PTMA,0.04364594993878552,-0.1501382238389452,0.016782339592135428,0.01887135754447288,-0.0344225868343156,0.006257676751441833,-0.05675176271580165,0.03440639114228193,-0.008559937372709301,0.08065573783515166,-0.025016499613398312,-0.016125808158767983,0.03584520199198589,-0.09179477169719695,0.008331168070560129,-0.09004641349206781,-0.04303038172603064,-0.02921238935396471
FASLG,0.004786955095794822,,,,,,,,,,,,,,,,0.045023981213488204,
CEACAM1,-0.02649700571020152,,-0.029552608708735467,-0.019389731482355232,-0.04098717672411176,-0.018590624931160607,-0.008573080852291028,-0.017092735938743067,,,,-0.06312139618905405,-0.036443095653544644,-0.03379763251489452,-0.022250839081760527,-0.030114315106407545,-0.001176895286499089,
PDAP1,0.06726966146139328,-0.0375763251213878,-0.00503857634203128,0.04827583472121703,0.03317901337710801,-0.04337304089442104,0.12288775856917382,-0.04866533575322461,0.011858437432403373,-0.014975035498913193,0.012466245701878417,-0.041121815426212176,0.020218402698679392,-0.026729181097035874,-0.0640268880507725,-0.010487211143699065,0.030160526326153923,-0.03969272460798067
QDPR,0.040656583695669365,0.021054358235424755,-0.055423885609972266,-0.06506836597934043,0.030700643958314962,0.024193370855375176,-0.06820608261603268,-0.013688292190439509,-0.0229599301365705,0.008064049096090653,-0.07738994768193833,0.06943098652372874,-0.029433488208041824,0.12578461840487556,0.041113500547560335,-0.048968565209661634,0.056893907614012924,0.016223081904333834
POMC,-0.022679879202756072,0.0025297553995515163,0.08498894962605286,-0.0060449562147118965,-0.022634849678218376,0.012114500843279499,0.04897132820839999,0.037180526503325914,-0.003950645898499784,0.10616971265903846,-0.005574739990855988,-0.06393727440381583,-0.08214080682412549,0.053709364716549114,0.03334323700625882,0.0023279903888888238,0.015610716090313054,-0.0049547685746520985
CCL18,,-0.033910216106048496,0.002305731658754486,,,,,,,0.041317684452788224,,-0.05412329725364509,,0.025542034872334418,-0.01537214596893998,,,
CCL17,,,,,0.025252538290600195,,,-0.02169620723365551,0.028081790203128613,,0.008076527320482417,,,-0.023977784417921307,-0.005112125111849202,-0.007625920504578003,0.03769782512717779,
