,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,,-0.019110325868295832,,,,,,,-0.02052170168004267,
BMP1,0.05091065348932284,-0.026759783841216543,0.014139129060153941,0.012182790993081689,-0.03568252656319994,-0.060326602494216564,0.011543747511564508,-0.010568863283769598,-0.04975728591834682,0.04315553211249736,-0.02619529458069842,-0.05951984441473589,-0.021738161500126543,0.050215640761492306
NDP,0.03064816469965705,-0.018161456514693187,0.0410151988642892,0.027750867399357906,-0.02572947811527593,0.03416702757206775,-0.008919036745361809,-0.011384929549890782,-0.021731932822352532,0.03856611180159368,0.012057753959257211,0.0009760083751939185,-0.03905643791667432,0.06908821916223545
TNFSF18,-0.019872593381385046,-0.048031652401472995,0.04287860912580396,,-0.017104133991661965,-0.028378260206715415,-0.012089414267425283,,,,,,-0.021163668713321423,-0.03467380993355949
IL36G,,,,,,,,,,0.03866068330488275,,,,
RTN4,0.03172021873742349,0.04438938394101253,-0.04440417014418419,0.016186055007250018,0.08854979983851076,0.14220268285546442,-0.007312254208414983,0.07613008717876645,0.15666527413863668,0.019599956986846565,-0.030410654361415015,0.015260262058779261,0.05838162034290565,-0.06607785432400325
HEBP1,-0.0032382340465784004,-0.004029639265043732,-0.048702598410045976,0.03696195097881975,-0.05473895806390205,-0.0362430826642837,-0.024575354221594965,-0.03191291137314692,-0.039310889455623284,0.02060955088188891,0.015438003825779773,-0.015466132259065294,-0.01655822845015964,-0.007395756607681409
WNT7B,0.045581487527663604,0.011891233896387386,-0.003769118268715945,-0.006600969656144152,0.007104402706477835,0.12518135238790942,-0.001878843718130966,0.08006560314826272,,-0.02417909815921907,-0.004708272694695573,-0.02809573387778406,-0.04425494337580468,0.00021388043804482465
PTMA,-0.0786872262704563,-0.10161236898377157,0.006266369679904869,0.006964652336772468,-0.04087979202912348,-0.08016536675940686,0.07925038372448649,-0.019188857698542904,-0.14735915057941235,0.0201380485301715,-0.07036075625950237,0.014468816054442352,0.030881988711456136,-0.08345079479204734
CEACAM1,,0.004184436357300168,-0.015160685844178054,0.13379245854989158,,-0.037344174127191584,-0.019013768532689004,,,,-0.017930268344180315,0.13451286312035945,0.041007237285362166,
PDAP1,-0.015450249342173684,-0.02430683161847565,0.05496506884927552,0.0244250372238731,-0.05017431272580768,-0.03644206690745374,0.05043101555306164,-0.008472174131847133,-0.022996927412106002,-0.028831536302577704,-0.0021396070589411705,-0.02971946751733184,-0.012420664234069713,0.03463014850808868
QDPR,0.04308214455856151,0.0071020739089086415,-0.05547771839518743,0.03345098746499756,0.003329592579271929,0.03542920502425844,0.013425594316673908,-0.035355027395810375,-0.14168526119313207,-0.026185475652094836,0.07270714331826306,-0.004189522913322484,0.07228397505926179,0.011279479480617626
POMC,0.025674021025573663,-0.02074290284987144,-0.0025960018829337397,-0.019355758351545967,-0.035732577457755946,0.03897372451863685,0.02475506026422494,0.03280584439572214,-0.0062290030160437986,-0.00042100868147721223,-0.0022704580079051114,-0.034196955917161265,-0.032579804756131016,-0.003931767334443501
CCL18,-0.02665078173305802,-0.0013834831101949604,,,,,,,-0.004634251561453537,,-0.032812171126525166,-0.046441526989206304,,
CCL17,,,,-0.01842476615725332,,,0.0035480000445804014,0.04183910963268961,,-0.020096430092886315,-0.012720657540813444,-0.027454167807720344,-0.02705667822864676,
VEGFD,0.14502206541150897,-0.0031306220459661757,-0.02171464079299426,0.06371573860875278,,-0.032014922055150254,0.051610296965755705,-0.013641266047055888,0.0398637731547015,-0.021537966584043215,,0.06967862257600284,-0.02853644450591798,
TNFSF13,,0.04335569287419041,,-0.012708991336830445,0.028434084509287874,,,,,,-0.024409031148745014,-0.0018833018395684575,0.09222926155134291,0.054189092895091905
WNT5A,-0.031784467644389254,0.01490572958654073,0.09545279200446406,-0.01236124197227573,-0.03230495473195629,-0.08141662546995289,-0.03602170034991391,-0.02067094152769913,0.01071366349222591,0.06455349420585317,-0.02146510053463907,0.0451417783079287,-0.01336680403558544,-0.02202631207234229
CXCL8,-0.049858277690321265,0.06218574019803642,-0.020332302570753094,0.015100351130340941,-0.023594560181711608,0.001755447026062224,0.011276343475083267,0.0529387061508797,-0.03352313663031164,0.12843023259328892,-0.08043917335792419,-0.059507202621795076,-0.03841458514502553,-0.10790064229590683
GRN,0.026995062997315196,0.014841985009898794,0.01579525418993147,-0.015430525350649617,-0.12187386563479764,-0.13766178445878505,-0.06863764465613244,-0.04230687553605263,-0.116630488023979,0.02716553310902094,0.03649363579304223,-0.04045186838935618,-0.05294338051902599,-0.07556144119451638
MIA,0.03494470703037012,0.015264761322799926,-0.019311482955147643,0.016919448078432136,-0.02999329393584569,-0.014009329386208146,-0.02963572016492671,-0.015514067304646209,,-0.029497232269308504,0.09225135476696388,0.04204512125563992,0.01405423426620488,0.007855510910738842
COL4A4,-0.030228061517966438,-0.04581724903181354,0.031161459702576094,-0.011195469602262934,0.007490924712521357,-0.018831807676074036,-0.015741745363328886,-0.026062399278961382,,0.018206164362749768,-0.033611575141787975,0.010892297757291133,0.0736963130348144,-0.04215798957486785
TAC1,0.0067401958462916705,0.011120161246310246,-0.025125884658950257,0.0429980879136073,0.055050138075712116,0.1316085331757862,0.026439785308981216,0.014822609846567532,0.11040039946746763,0.02269120458548463,,,,-0.0034579343238419417
