,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007nec,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.015031579766135839,,,,,,,-0.01744647386140664,
BMP1,-0.033622784966800524,-0.04710907357077915,0.004807154544420709,0.06621140594892128,0.05555603122608843,-0.0224418112293905,0.13765991429633148,-0.00442499507617146,0.041213562899127525,0.08056501977251257,0.07641573361974682
NDP,-0.05968835801406964,0.009593046181558072,-0.031503803703984305,-0.00839049311242026,0.041163850672112125,0.050306129940275196,-0.11303301747497026,0.09590443761340357,0.020436438452065782,0.04706341874110051,0.07133803326684489
TNFSF18,,-0.011440813851246706,-0.022321444692321234,0.06138345731678812,,,,,,0.035730918640648146,-0.03005033697629259
RTN4,-0.03551206995792998,0.06055980347386767,-0.04270232968661378,-0.03371777911311329,0.001284103062224316,-0.03282160722744506,-0.04632171421634592,-0.037727299795745746,-1.341418990333977e-05,0.05100284194453733,-0.11481564450247096
HEBP1,-0.006936078406210954,-0.05328092139681001,0.03309206251548875,0.01147780213217647,0.014196320890133602,0.03389729435546608,0.004694505213903533,-0.012190176573536597,0.06105044701371603,0.030366832069827567,0.09399142931415189
WNT7B,-0.022338226922272275,0.031157041772706808,0.04364062589632059,-0.009116003685563857,-0.02161224300587982,,-0.04953164008856668,-0.030467311360866382,-0.020366673885378588,0.025333767712798536,0.03419325931419583
PTMA,0.006268879015517294,-0.10021201080871217,-0.0027793124838375004,-0.11001927686340857,-0.015663477525186063,-0.08631473645622349,-0.11926186984233596,-0.04221841204561476,-0.020125541266621538,0.006239930556174998,-0.02725921482223773
FASLG,,,,,,,,,,0.0008984687755104817,
CEACAM1,-0.03580460881057475,,0.040374532067259834,0.07742546440709683,,,0.02013040252910272,0.022487330025635913,0.04126599229897138,-0.011505915435337712,
PDAP1,-0.03586653122465587,-0.009527333251467332,0.045557980103727795,0.0482871913113144,0.001209364332659332,-0.08663700219710607,-0.03880813432031737,0.07670899640024559,-0.01573709474577061,0.020397190387133796,0.001173575261234055
QDPR,0.03859365009859803,0.04247154084931842,-0.06762144767766891,-0.05008075533237155,0.038989980105127144,0.014169169298047103,0.03652300389857821,-0.049904926396262365,-0.030702728462271726,0.06052149789647475,-0.040666819487576986
POMC,0.061046167890259156,-0.03018317444204941,0.004893905655136292,-0.010798454963908475,0.045166182384684186,0.052533825856383234,-0.024705896314586816,-0.05410022506994196,-0.02211311218353496,0.05524787130751432,-0.013440213611208078
CCL18,,,,,,-0.03598198647648045,-0.05195570570027268,-0.019372862381909644,0.022847540835919562,,
CCL17,0.05709863590951773,,,-0.02034158400255983,0.04785894322913811,,,,,0.06066221522372634,
VEGFD,0.04460942124030113,,-0.025181928235822743,0.006346202435034742,0.010950750638413081,-0.02348393682184864,-0.0585339101511148,,,,
TNFSF13,0.06814269298092276,0.02198592107612331,,,,,,,-0.015179423569579693,0.01672718494492206,0.009227513569660829
WNT5A,0.015695547998199184,-0.027357575808049848,0.021993231484548077,0.10859636757795223,0.019924651830524144,0.01800996608428527,0.018076886765669244,0.0011647587729065117,-0.08024538813611569,0.03451090090135253,0.05522979580345337
