,MGH258,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
DCN,0.07845236337892238,-0.0506369866014603,-0.006896519416857449,0.021602851186370765,-0.013791044033054142,0.0017837979201673591,0.0743297037480515
RARRES2,0.09247705561799903,0.03306660468091803,0.005666395587215417,-0.05396094121530455,-0.06591583418209583,0.026264776806300533,-0.015481683082108535
SEMA4A,-0.029838024531899755,0.010963670003064127,0.028455016655558,-0.007099030771514625,0.024587884519381754,0.049028503814072866,0.008408366832298182
GDF11,0.03307420751745452,0.06737165466793794,0.0011856757915123728,-0.06433698894760712,0.02110107309240302,0.05771293385486256,0.050147717623368
GPC3,0.014081867627852487,,,0.08130383405485016,0.042683145068915844,0.013217145021938171,0.019132924159896068
OSTN,,,,,,,0.048157602194974364
GRN,-0.06550065199013383,0.01835745880821711,-0.03156098248413992,0.0007476485979791008,0.029987243417518326,0.037902505011402486,0.01829673759762362
CALM1,0.032196549658863365,-0.03385381094064594,-0.1740649499634435,0.043249382885930214,0.012031444237367194,-0.060238039293847474,-0.01949872908461982
ANGPTL4,-0.012717387097064688,0.009872052787067856,0.04400656747629698,-0.07184608353537117,-0.04178268682683784,0.1303420347148369,-0.0011800233660448575
BMP8B,-0.04231725770257109,0.003471389519843844,-0.08988150935784323,-0.0366356678406702,-0.05866538903489909,0.07818738460092041,0.027170155551234903
TNFSF4,-0.03150692013219138,0.008480437214127778,-0.08974177222963597,-0.040309505771715784,0.0008886168107002726,-0.005536771261324288,0.104150624509565
RBP4,,-0.028479701372775754,0.018944523315161145,-0.03383903059258163,0.054649607517852736,0.05368314110805969,-0.01062890931559528
DKK3,-0.012695404285424318,-0.0558647065333608,-0.0577310481022423,0.04665392578089062,0.040687792457286105,0.03908069220804794,0.00636310640265722
COL11A1,0.047801564118031936,-0.03342363813312415,-0.04533455286717538,0.02326743901756369,-0.043766912631927425,0.024648613419488697,0.03893722431979113
COL5A1,0.07647842103838264,-0.05757825706589937,0.04505131133589152,-0.03199384046143917,-0.023018692882627298,0.00967595926074132,0.0024278647325886075
KISS1,,-0.01321069673131443,0.0926756444469803,-0.022155280337475814,-0.01729747618156645,,
MEGF10,-0.07662866982197372,0.09555513286725284,0.23530714613596973,-0.050687070283497025,0.014766350518682102,0.007083572827525463,0.04718726525719092
CEACAM1,0.06368500492534505,,-0.06110517783375408,-0.0187637893835166,0.007691416387237321,0.0329034317353197,
EFEMP2,0.01492299972986708,0.07999086868448055,-0.004478067255624095,-0.055333947402121095,-0.04285172088984185,0.06099546553566709,0.0468665626372584
IGF1,0.008510124427044697,0.03381374189134552,-0.09598177505142946,-0.006247005251008546,0.019579370884281955,0.037502620150271504,-0.015172101623808824
COL6A3,0.029674879860137063,-0.03532339416056478,-0.00483973519595893,0.030169717750600455,-0.025096857932640243,0.011447924574736477,0.06675986589271594
RLN2,,-0.011256681447684306,-0.052338402225945095,-0.014467020269730652,,0.004034180136039817,-0.022301398483457968
WIF1,,-0.01822551906574936,,,,,-0.03775641072031526
IL13,,0.005651776811902873,0.0987760114652446,,,,
PLAU,-0.03339720003326877,0.01832996376124191,-0.031120213966778373,0.04968019397168545,0.03694553184926115,0.08441797625705585,0.012247223767609814
CXCL12,-0.012285798043958561,-0.010231721789787682,0.11311820287748597,0.06093003847850463,-0.0037879984154454644,0.07316866470906125,0.036066405222824185
MMP9,-0.030251416689057627,-0.041381574576248414,0.05323035402785776,-0.078054337093035,0.0011346618645892577,-0.009406346960225038,0.0030400753425807317
TNFSF14,-0.03279112433301295,,0.012484514476476544,-0.019785884449158155,-0.0004321574018324138,0.04305753363044139,0.03249498822416148
