,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.1658013627126903,,,,,,,,,,0.07642313273753881,,0.010866840759439118,
BMP1,0.02705141907066957,-0.008411406524796118,0.03254146519280989,-0.05900185569935414,-0.02768918412467675,0.012691426646970611,0.10079645394844024,-0.010116346855176709,-0.05412796622711159,0.026373674050986912,0.015960440797004927,-0.07700522271304754,-0.12624144454772818,0.07519510714722574,0.04326120362600888,0.03266230351326954,0.06885550511622698,-0.08552031049844036,0.02423506612252984,-0.04904035621289689
NDP,0.08592767054795204,0.01132247663449806,-0.01783281273014636,-0.01582127788871291,-0.023138387817254996,-0.009332038283287812,-0.016356117324466225,0.04054143811861456,0.030053946976972605,-0.061663808439888494,-0.015926812779940264,0.036112296505337975,0.0955646790895,-0.02174686425751774,0.019942623549269976,0.048848791090503066,-0.006384226616718737,1.4652798731533546e-05,0.03868503723760182,0.009007602940130414
TNFSF18,-0.031018898588302563,0.02493852086956069,-0.01188251782405898,,,-0.028598490385234012,-0.03006313245568315,-0.01433915972666538,,,,,-0.005173210710082959,,,,0.0023765548181834974,,0.011103636860625085,0.07079276960271814
IL36G,,,,,,,,,,,,-0.024451473220547578,,,,,,,,
RTN4,-0.004128357302645605,0.007136438295785076,0.005713074967637641,0.012798183927697167,-0.03756323964562772,0.10454792109825489,-0.03107864199091241,0.02366334174422788,0.019644233126379407,0.07524961087865861,-0.06211308812993722,0.14481530919666588,-0.03580619544260919,0.03945589802991549,-0.045635063844286505,-0.04988318830161309,-0.05816337373397505,0.1155801985698814,-0.06437954861050667,0.05349041410912048
HEBP1,0.034627822988708944,-0.00028191346173418307,0.011952933131234364,-0.022175878431138527,-0.022123122349568862,-0.014388856207341543,0.018228134972948444,0.0372014051371639,0.006333045780520036,0.06474491484744163,-0.03539645636086653,0.022433901802560993,-0.06712955003557824,0.0035967424621911126,-0.04705072240588126,0.03888771818513796,0.025656973403232985,0.05571795580306122,0.02677709013030533,0.03279053632456587
WNT7B,0.021533166006263503,-0.016920456255768494,-0.015709237954485446,-0.04139646767962051,0.013692919880225004,0.02856052112965449,0.029850738805520596,-0.019081172298823515,0.03991159541044023,,0.02367527664639554,-0.01391456112896202,,0.010839266429227525,0.045162704476771315,-0.0172446317540657,-0.04510440751683517,0.07955210106943368,0.0007507584948699821,0.02730422648254419
PTMA,-0.010450428664062192,0.042239421619971726,0.019953528371275175,-0.006972207650549561,0.045284563495065815,-0.05071179789781486,-0.04998785985744577,0.013710858220019492,-0.0712018996552112,-0.10177100625800128,0.014285301075044462,-0.13350829565337735,-0.12636824033832844,-0.11539690696057515,-0.06933506748753179,-0.03335342331951271,-0.032415970791952534,0.0958996760829678,0.0035911427239225134,0.030418499957800327
FASLG,,,,,,,,,,,,,,,,,,,-0.020864246945217272,
