,MGH258,UKF248,UKF255,UKF259,UKF260,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.05203195017795372,-0.0038534389254692323,0.007734051720185052,-0.062220395888472335,0.0021310281700962896,0.013750752927782195,-0.02126908594643872,-0.02590005565318424,-0.04424313702941911,-0.021423809292980503
NDP,0.0012149966038137346,0.005380472462771312,-0.04439031958305995,-0.007159404313372055,-0.03950418597841938,-0.0207498876628251,0.06168132238343546,0.06384106625803115,0.07628202300087339,0.004278608480138014
TNFSF18,0.08543670802449445,0.0057572220347417435,,,,0.007791090447641095,-0.039151896017927824,,,
RTN4,-0.07921652758613525,-0.034652716356085224,0.01754879838026765,0.027650632472400377,-0.013010863894169344,-0.00023539367670741008,-0.07885837287551213,-0.007777488237493676,-0.0598277512936451,0.1430794379522222
HEBP1,-0.03310257403417255,-0.030817394526286675,0.008379904293907026,-0.017616560213806295,0.029102869608460646,0.021614533266994564,-0.0011030489957727198,0.006106547973513338,0.03691834426411874,-0.014814723413527266
WNT7B,-0.019736366263557868,0.025404799607782035,-0.04712969624763887,0.0335770360300167,-0.008217188957935634,0.023089339393118857,,0.08498893888874198,0.016833476928108014,-0.031475057976306994
PTMA,-0.025893866766102704,-0.009108273432585074,0.014815508475065438,-0.037938670218988016,-0.07068107028965816,-0.046810057426648746,0.0007288905326747354,-0.05009524341040818,-0.010180371264361426,0.048449106607276866
FASLG,-0.01973637184297805,,,,,,,,,
CEACAM1,-0.02740412503052801,-0.028101753046727778,,-0.0161360542446782,-0.018242959858672154,0.04014852180066648,-0.0401728952806002,-0.03952263605102309,0.015253105823710778,-0.02761994559477013
PDAP1,-0.007790877965827518,0.014907731468977146,-0.07017611131668545,0.041263266300855826,-0.051958533076909175,-0.030354652469589294,0.05137714631753401,-0.00013856043733749697,-0.047945503430130834,0.03375737470678959
QDPR,-0.028045255240702695,0.017567775337247505,0.039423326333651795,0.027923192469525796,0.05246893176799602,0.012015766275536691,-0.046108306691720016,0.06398241562840498,0.02663488251983005,-0.04600883037375657
POMC,-0.009610144520841527,0.029751564007577794,,-0.004704333631363401,-0.03670914918730932,-0.023040723296512106,0.0455716221323928,0.05848033674684249,0.08985014196398933,-0.04122045465655751
CCL18,,-0.03506833263551793,,,,,,0.036677654576466386,-0.022152620788265,-0.07550268442283048
CCL17,,,,0.02591446313477318,,-0.0021854010777877363,,-0.028039397328844362,0.018908287121951837,
