,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,-0.004108390658113014,
BMP1,0.052362135795031156,0.10297660108032343,0.2069642460126197,0.07893647295572409,0.0011107853270381314,0.05694101881006811,0.06661957026268103,0.08397877065647119,0.09783933277546435,-0.0066573056826961475,-0.029039657051209828,0.04267257675925272,0.07258908260895308,0.08718548127282816,0.0933106405029485
NDP,-0.033494321484677375,0.08642836572728342,0.02096287661857135,0.0997100874304195,0.04683123223206495,-0.005380929756806683,0.012559246361723642,0.021605516700322767,-0.003934041490535869,0.03863656770106155,0.022815876732926416,0.031180609383197888,0.025459369771693354,0.016058511046134386,0.03632825997025187
TNFSF18,0.09064470372819074,0.0316433851611688,0.015072718417258235,0.0013123467083091438,,,-0.019857198868329727,,,0.03207257330046966,,-0.021724079487039,,0.0198880632809985,-0.01903238974367367
RTN4,-0.05998254516649582,0.054152979063516155,0.05068134246826277,-0.005143235977541461,0.014258783762451712,-0.024819383837586844,0.060070262791526885,-0.013045751307080957,-0.12270216867839168,-0.018554653198357543,-0.029170075049762476,-0.040903672414580323,-0.026401754919532644,-0.004297812167087943,0.02608607705626321
HEBP1,-0.005458813320444873,-0.03280071217400436,0.05770104316533956,-0.0018169273162139319,-0.014623898522712656,-0.01539952677905576,-0.0390051533879351,0.008314011992361259,-0.05351733297023456,0.16225049321420026,0.05939039812750636,-0.019381740136855338,-0.07005657612650698,0.011893001332889445,0.06860557485503596
WNT7B,-0.025605752124831807,0.034670841909899774,0.027112028782023956,0.07972864862764965,-0.0388168406902016,0.0383758972923914,0.035373015001115775,-0.011246855396774986,,0.05705435162585899,-0.04191926128253222,,0.012414619123569875,-0.001655524863189987,-0.009312180569907373
PTMA,-0.062127308897988995,-0.05704649349514257,0.027851043176621747,0.0216492261429335,0.0545754173381405,-0.0547639669203225,0.020678034317714252,-0.02065064481252448,0.06507615263888258,0.13383051619212,-0.059373010536393205,-0.018779630379887016,-0.12017270731416446,0.03819553326340884,-0.0819851550288727
FASLG,-0.02560575936351234,,,,,,,,,,,,,-0.027025874138654826,
CEACAM1,-0.03555382096983355,,0.009416252451342394,-0.010672267599793069,-0.024351221185280304,-0.015405853362008793,-0.0037746908178472607,,,,0.004262581030647476,-0.030603842339149787,0.012867728178630676,0.021589125164448157,
PDAP1,0.028223768501390443,-0.09665854612275787,-0.06308021075901463,0.019383475328093085,0.0003728083707191596,-0.04288221742433317,0.07695578432359848,-0.019357355609219758,-0.00046868699469171756,-0.03846207154913572,-0.05660269570441354,0.04381966578144435,0.051768945875771605,-0.00442703268375346,-0.02892666683937193
QDPR,-0.05509491842525552,0.0764549888319649,-0.12911983647116032,-0.031907166643806106,0.026421649689733727,-0.03140224354786054,0.015134053180318493,-0.05879799682542398,0.02242856412416712,0.009581830492352303,0.0010286161491384403,-0.04682546297702819,-0.14503212043337854,0.06563800369921484,0.0407675300884734
POMC,-0.05742971111597235,0.022549870405440948,0.10674528142765866,0.07512668818479222,-0.0349989091127639,0.0195793338354097,0.013894884085679907,0.016367889262814888,0.050888219389189956,-0.031394270080773556,-0.011800389742281285,0.0390110530379812,-0.032434824518484916,0.009463540358839317,-0.009939094686670369
CCL18,,-0.00791650126942848,-0.02894777986103927,,,,,,0.06923365077112992,,0.07215053576349664,,-0.034507013329200614,,
CCL17,,,,,-0.0031790172732390053,,-0.002483423386867653,0.027107953820545885,,,,,,-0.024495919370806314,
VEGFD,,-0.04383176624538502,0.05361270472776876,0.06903518053558398,0.021558624029104752,-0.014739448245721917,-0.004284101462035819,-0.010210821482018302,-0.02101247736048667,,-0.04485653603046216,0.006672834551625995,,,
TNFSF13,,,0.062098523908866325,,0.07748947308533799,,,,,,,,,0.025422291570221026,0.015760874186376825
WNT5A,-0.025159439374737205,-0.02840779730942081,0.11343608359807585,0.013607139696609795,-0.015388561495799412,0.028542087989555705,0.08959744737691056,-0.04667170681010691,-0.0500161534562124,0.010935802306524819,0.06565438327093415,0.07710825847715756,0.027509050972737984,0.0392008574779623,-0.020736162717693716
