,UKF243,UKF266,UKF275,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.017771216058552964,0.011689925181309048,
BMP1,0.10157484139827044,0.06441387278487196,-0.011921329673578868,-0.01708487419573341,0.029445040878707952,0.06875532651508925,0.01752037188882813,0.06932363404990727
NDP,0.10195167183774763,0.044570809429025686,0.01924876905012465,0.024166419203904107,0.026575140044307756,0.010225273286164013,0.06365835492870817,0.06184905327561365
TNFSF18,0.02063303080681222,-0.013633040558065999,-0.010492885523657954,-0.04352263844139992,,-0.018327141440801345,-0.02930761535474944,-0.010266277816465415
RTN4,-0.09229753552794497,-0.06198186626107497,0.04568115205150924,0.04685365553842103,0.04869984542346242,-0.020476122981022644,-0.043195593098761954,-0.00507324688295995
HEBP1,-0.011965531877526095,0.03938740939359712,0.019773517597876846,-0.08077988229215277,-0.008955475109995156,-0.02014733677002669,-0.02669887376034013,-0.03210874045970092
WNT7B,-0.014202737104451918,0.0006059559871745408,0.00920557530794185,,-0.019027678311579106,-0.024367119595244117,0.04336841403579043,0.0026947789391558773
PTMA,-0.04358750081415691,0.1222714066036293,0.061606535651211936,-0.04418119460626412,-0.01609425083244278,-0.021444409945700644,-0.09185357349744695,0.0058132273153452384
FASLG,,,,,,,0.00021330100708081128,
CEACAM1,,,-0.01650280916623148,0.16029108580041082,-0.02362118489924983,0.048196477415231226,0.10651396400692471,
PDAP1,-0.030526951172692312,0.01902809542063712,-0.013412404808453548,-0.03511665325723975,-0.03165040435681069,0.009827987853194178,-0.004846197545596322,-0.006201193143591469
QDPR,0.09887234546863342,-0.013379988280791006,-0.05501603672403165,0.039624309004006854,0.000490816310948025,-0.03257483561782694,0.03356944007103373,-0.008579755611868953
POMC,-0.022401924207156976,-0.015396663703717986,-0.012175114603810995,-0.004555471472317097,-0.0225980151417423,0.18217866263490218,-0.006609099456602195,0.02726154051727566
CCL18,-0.0001311968053197867,,,,-0.043226478614138635,,,
CCL17,,,-0.013086671150063069,,-0.016758087388531344,-0.023430321818567034,0.027036205520366244,
VEGFD,0.038315974407351995,,-0.013942741224517424,-0.04160519714147341,,-0.004673454080972229,,
TNFSF13,,-0.013221205328632817,,,-0.03215625259524873,0.055440114513267816,0.039426213790326445,0.020634375508856106
WNT5A,0.047932873587378494,0.08505112457049892,-0.003091838616501295,0.04789088444407018,0.015332687675674642,-0.018650434450562765,0.027977508354434216,0.03634722245228212
CXCL8,-0.09048595312440044,-0.01880630706376664,-0.05586591480361772,-0.014158694707976958,0.0949213408549984,-0.01854390432483261,0.0033004837866593816,-0.002686936266811675
GRN,0.009418814179638028,0.011992640578787819,0.013691193140365111,0.0710097375123294,-0.041430339948355766,0.011444188587893823,0.04575695148091495,0.009743616934543457
MIA,0.07045884671471181,0.007717947341541667,0.02198243881862137,0.004346948937047935,-0.1353131623548162,0.037328497467067734,0.08618251210716527,0.03328947092710238
COL4A4,0.025038484435538865,0.016283663578729148,0.026424230473150224,-0.03257768874415465,-0.03339531422567778,-0.005605668028061681,0.0011682131848556102,-0.0035542204495056253
TAC1,-0.035753349731516886,-0.016548805060960573,-0.017487302469012728,,,,-0.024350140074004708,0.009959921173996831
RARRES2,0.06048868670849549,0.00887482861360908,-0.010055007344306982,0.013429073154592807,0.0605120353555414,-0.03155274218322057,-0.0009373133761832597,0.01917471271277721
FGF7,0.022085694915181756,-0.015999900034016478,-0.01112149496913896,0.05244408570334762,0.06296992192803014,-0.04216889788817302,0.06977805335415706,-0.0065214889457449465
HBEGF,0.02318080787405004,0.0745361700027398,-0.10870056557500409,-0.05840816394474187,0.03401721037593752,0.006194388116517437,-0.012783228810779233,0.04125477085910403
CSF3,-0.03810618114511341,,,,0.11780369453658994,,0.002287139848016154,0.17006806329569588
PI3,-0.01787882709061431,,,,0.10300368666426142,0.029354066724596374,-0.04237067129848881,0.025590633620664757
PCSK1N,0.04271372554371048,-0.06853685333720913,-0.0009180574088120613,0.16769311401365775,0.03236866126592371,-0.01723789706665562,0.06416093470161846,-0.042379863812344716
NTS,,-0.015356580409097783,-0.015608263118716414,,-0.01651567177638351,,0.04557956362854615,
SFRP1,-0.03781623014535683,0.03754487736179113,-0.028981270107302733,-0.04593376179553253,-0.03056116014821669,0.03972092943888123,-0.028208246007976567,0.01156926037235525
CXCL13,,,,,-0.012285381265483541,,,-0.011796008378881331
MICA,0.02565624638098525,0.062488538448792035,-0.015284590794374851,-0.024468353075569115,-0.0591927582561918,-0.011637188389236433,0.04745312889459211,0.0757230122945414
