,UKF248,UKF251,UKF269,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,0.15084933602728945,,,,,,,-0.033292197180368514,,0.04037898474084202,
BMP1,0.031230794737668904,0.008209972865459231,0.06928853070801753,0.12537724056848343,0.06706868051572556,0.07503901025348596,-0.07422630410807929,0.10407571958344972,0.00862419059809998,0.08400306210173847,0.06090386425383129,0.13280450972857602,0.03176570842939417
NDP,0.043510508589803557,-0.012171717849339493,0.029179501518364036,-0.04180337431543517,0.029028869420585114,0.044847253147450944,0.11739388600948757,0.013595505499279334,0.03157383405037776,0.06001248535645145,-0.004335447131359262,0.008819944461843341,0.02058003968324271
TNFSF18,-0.028831489985916704,0.036365151490094935,0.02256734345465781,,,-0.023736424227479482,,,,0.014010663377166293,,0.07183600141720907,
IL36G,,,,,0.03476318636038831,,,,,,,,
RTN4,0.03506579495687625,-0.015282787162364505,-0.09170063418516872,-0.03134276632722971,-0.0232789764063198,0.02900286624060509,-0.07271407942473357,-0.01996048192750441,-0.012811107158414768,-0.16586829912231554,-0.02227997558195725,-0.034724059910804454,-0.08887230254911624
HEBP1,-0.02182796440528027,0.021154942559008093,0.011732217302281954,0.10591554882616962,0.02249697196831806,0.035641012948031396,-0.10042646320361637,0.058311464087425297,0.011769523638399873,0.01383788343036316,0.03827410823532769,0.0381959829135279,-0.1559308518869788
WNT7B,0.04301177693527116,0.010789616744526095,-0.019664808657943032,,-0.015116032933254355,0.08930406796284862,0.16108164067729167,-0.02081363084490232,-0.04000709920585201,0.014700177544704948,-0.00589565427281435,0.07381402311965486,-0.041926200203288716
PTMA,0.014449366116663087,-0.048886055634232796,0.015392033165450413,0.09250268842759903,-0.0015114608542158975,0.14671840373314698,0.028708920074262487,0.04256254850290567,-0.017388684654313796,-0.1734063926840753,0.008959424677023946,0.09708807201084683,0.022379655148715788
FASLG,,,,,,,,,,,,0.06939995318774071,
CEACAM1,0.05577209489370234,0.024986708598207945,0.01500021287459756,,,,-0.04037133614186428,-0.023177921218989636,0.1494320488284354,-0.009077589998272285,0.007773246010458126,0.05581056644479194,
PDAP1,0.016368966415698415,0.004620428233354412,0.011787449754776943,-0.05230043409517862,0.06984298796252984,-0.051061827612685635,0.12492356597199963,0.0024617137632833457,-0.04544826293298399,0.032857230337928776,-0.08723940196549029,-0.0601897053698082,-0.03708130348460205
QDPR,0.06496828657306264,0.03078490339386862,-0.0035433248601470383,0.07976703024414725,0.009377040491864181,-0.01674169141247126,-0.026319877808365606,-0.10898879337139097,0.05975009072821614,-0.05598875042277246,-0.05908374384262451,0.0007457979129762176,0.06936315666225497
POMC,-0.004641993278427072,0.02165121691221863,0.056111598071184966,0.026873632550761906,-0.029465756960951908,0.029373842548279513,-0.056823364362111994,0.036246040392286315,-0.03575978984325819,-0.01952011758934089,0.04599180521771727,0.015669407602652403,-0.04272629002101883
CCL18,-0.022899631805015523,,,0.016289938505018597,,,0.029936975144243632,0.021937549360917886,-0.020043921812231573,,0.014907793856130683,,
CCL17,,,,,-0.012563673678998983,,,-0.016443613261951935,0.05929808829362318,-0.021536269519974182,,-0.026780042053539024,
VEGFD,-0.022899639076721177,-0.036687507848510326,-0.027632072949526874,-0.024001514174580584,0.08460445913337371,,0.08015167045825518,,-0.019381576984841793,0.013291571698987715,,,
TNFSF13,-0.0172808024924013,,,,,,,0.07760556198958173,-0.03041169810013524,0.06432240184494559,0.013761067851662569,0.06559218870900604,
WNT5A,0.052845928376618244,0.05390827656287836,0.03639892196241192,0.01851260391601542,0.008196851601326853,0.13627579570126572,-0.038896785463665956,0.04250483960381026,-0.012048796210079184,0.014439770518851106,0.07858644679233252,0.06070488272049349,0.0037301041848027605
CXCL8,-0.06771931636040406,-0.024371345910914916,0.013772431606112938,0.011139628953669661,-0.040483736661955524,,-0.03368349087880912,0.0039290279821801,-0.062450918554783234,0.11401912318604199,0.04377981682731676,-0.021102286569133506,0.009678412679907777
GRN,0.050484865465033744,0.011722207753899726,0.0651890395473052,0.06556122231680697,0.0425801646185559,0.04227947853725278,-0.04865930256861701,0.03303831912564367,-0.015220242770912258,0.11361747564278353,0.12210275015560677,0.07830552286344723,-0.08243830022351532
MIA,0.02438003097901237,0.05791230673309148,0.04641551539200028,,-0.01844076778573785,0.14381374853015233,-0.06898795462798439,-0.015252018778172045,0.04229324643168018,0.00578562063063182,0.0032618480665605847,0.04122384134790438,
