,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.01672140014081911,,,,,,,,
BMP1,-0.027403130714414137,-0.025242411155737308,-0.04913995477638404,0.013507605463322647,-0.02393633746848387,-0.20198155610267315,0.0018249965451459967,0.07730880797388338,-0.05825113979191091,-0.1536320378878124,0.06135767914650127,-0.027391364454532025,0.00876918017925928,-0.044175594948021514
NDP,-0.07384959160837597,0.028672157297075587,-0.0566413219716744,0.1477156374951825,0.042208116335619744,-0.01975391621986153,0.0913877376002176,0.027536510444034126,-0.012314615703403432,-0.07085464308450998,0.032676506506754154,0.06864029229094654,0.0008929153409848844,0.014942923555078388
TNFSF18,-0.020443920670591413,-0.025885694506427342,,,0.05022349188720342,-0.04386342828883316,-0.019246031555748444,,,,,,-0.046567694371682546,
IL36G,,,,,,,,,,-0.02026530188510048,,,,
RTN4,0.2216113678123364,0.0849488664280761,0.09700213982929573,0.0738275325612714,0.05285784323347634,0.23942303461743591,0.04719390096294478,0.007369158776650702,0.18193776382631704,0.21657947529832164,-0.06379814447794112,0.060025329600860135,0.12517244950198791,0.16221451738387987
HEBP1,-0.06705435315916769,0.0015079743381858116,-0.020364810275274273,-0.017336738241226987,-0.06284504783289002,-0.06715222177333609,-0.0007453903770866436,-0.027007118180845533,-0.08593514910732533,-0.005626798497272512,0.06594359724910206,0.001432669819713692,0.0005368962540951031,-0.07621815228685754
WNT7B,0.1855445974023509,0.06029721953243308,0.09002050920928237,0.0024529659457150324,0.03563824912590772,0.1445218572407032,0.058955426725883914,-0.02525942094086479,,0.007520294845610507,-0.03771680505150974,-0.028125671296236016,0.1152755986004651,0.03164640661476219
PTMA,-0.05235009679671444,-0.02159381644668527,0.008479591439075496,-0.06276792222410497,-0.06803662677138812,0.0549335486883679,0.01647860793909414,-0.08419069907036682,-0.23607059369077196,-0.23413633278685755,-0.024171241431325874,-0.0399997546481117,-0.021225177287439594,-0.146663773853362
CEACAM1,,-0.016475535137839406,0.01953133370144129,0.005317877065810825,,-0.057721773354031815,0.006162202510841098,,,,-0.01827203609456338,0.0018353866439627712,,
PDAP1,-0.02794665904581296,0.006386672534519302,-0.006944668424583589,-0.010602506711316104,-0.05662536706599032,-0.1434205079193456,-0.007786381547642588,-0.03538498878596942,-0.001260149523006197,-0.11258756276280722,0.0034017760691488416,0.0003317925157330856,0.011588234971326146,0.051204585822323276
