,MGH258,UKF260,UKF269,UKF313,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,-0.023564790050357443,,,,0.08764371734443097,
BMP1,0.033798854580067296,0.04350850527290231,0.12074452181925603,-0.03118059005375344,-0.003199916472370145,0.1289785182088264,0.0906592527442896,0.05292898913938757
NDP,0.015833890172531125,-0.04892217647239933,-0.0428888549937453,-0.10679714983297804,0.04891199591726631,0.011770909380857446,0.008940789127575932,0.08936335075302718
TNFSF18,-0.012560492299408844,,0.022811777999234006,,0.0765558324089373,,-0.030863965247065413,-0.00037997449682274906
RTN4,-0.04260109414997657,-0.010077937230770719,-0.10233609429861501,0.02789037009055508,-0.07204697107034977,-0.04415246946277921,-0.03835304050909179,-0.003924359498536882
HEBP1,0.019720154256359014,0.05828634060428464,0.06502462765853445,-0.10440379998092085,-0.05267868452060578,0.03871326549942537,0.035327344728668594,0.02180019021927236
WNT7B,-0.02526377844887074,0.004828824704489973,-0.06864339842645573,0.16389919047794094,,-0.04493808339197642,0.09906002631887152,0.08198978741192814
PTMA,-0.01889899156288899,-0.017753068776952773,-0.04795170194008881,-0.09519960962509139,-0.03365034158979834,-0.2034877142102137,0.02829843074682828,-0.04524128944946543
FASLG,-0.02526378559087619,,,,,,-0.013149751408509023,
CEACAM1,-0.03507898739368076,-0.0217870210639064,0.060434655408475285,,-0.06207724950907732,0.02959370026111796,0.07352190356539741,
PDAP1,0.00900782276690271,0.06931670970879569,0.09284850051123049,-0.05614898336526511,0.08928635783422066,0.022972313793839932,-0.04949106818788438,0.05710970502939796
QDPR,-0.031109181977018244,-0.032201323896101364,-0.09965061882195311,0.026369121376327995,0.010960181415518367,-0.18536066934227668,0.0380672451470869,0.0006720333376476248
POMC,0.01904704448853662,-0.04384063840395931,0.003101298157567255,-0.06113214688198256,0.12159636829142523,0.030979521807330775,0.06060492785739428,-0.02060375977518897
CCL18,,,,-0.085841071237373,,-0.02857420843434681,,
CCL17,,,,,,,-0.008015979426132028,
VEGFD,,0.05045662631454279,0.01034974194682079,-0.04130334960593384,-0.11654971921972376,,,
TNFSF13,,,,,,,0.06403609430932097,-0.0351341751037099
WNT5A,-0.02171079320587798,0.040802273488070716,0.07245484200887105,-0.01757491005717053,0.1629792011936611,0.045413100014733296,0.031716427761384704,-0.0033994537190937374
CXCL8,,0.004973522069184199,0.07524258482219576,-0.1020515889220339,-0.01029855599443176,-0.05030939276443027,-0.055841662516769745,-0.09187841973231539
GRN,-0.05665257523651095,-0.031060680478240166,0.04567238539421552,0.01005744804647556,0.05605704309161822,0.04848778023971306,0.026873006526685242,-0.05425240224728243
MIA,-0.0047616881956185735,-0.010815154414669455,0.08236070911232755,-0.04070319309470596,0.03595063562842703,0.06359557525534945,0.08886620944894456,-0.019632998053244755
COL4A4,-0.012180992661834828,0.02224895966446732,0.010296348045351787,,0.06233362479649599,-0.036126727565919656,0.0871703850515979,-0.03926776061955634
TAC1,0.06673479251802111,-0.03073891496050266,-0.06311873213228535,,,,0.021029544929708058,0.009466374197324656
RARRES2,0.059102595169010105,0.03225776934662717,0.09781600419553288,0.04762131999599714,-0.136393118581962,0.04874428494621937,-0.03299405765112088,-0.012309572173686268
FGF7,-0.013107130820724894,-0.02083144916101654,0.10260657041102504,-0.04697991003189087,-0.08537802844638752,0.06650133305277228,-0.06851228887796482,0.05823613311005005
HBEGF,0.07131612184523943,-0.003437772383178703,0.040111319457467765,-0.016694795212001123,0.016716996099270718,0.10794650112572161,0.039546005276578595,-0.05588870930057816
CSF3,,0.00027132530466838877,-0.024567742925293325,-0.0620511058817609,,,0.02236595367972043,-0.04130519131616759
PI3,,0.04329841673022165,-0.02766360279298891,,,,-0.057893802750529154,-0.026222738123933567
PCSK1N,0.006765193959999987,0.01297429462283283,0.015589077811021918,-0.0029730680011954506,-0.030411561036650974,0.07169981525674347,-0.005045223107823806,0.009674161947926982
NTS,,-0.014971782197013854,-0.03019671134251194,,,,-0.017377377444642256,
SFRP1,0.06896925428941841,-0.023780065351290354,0.004967630055828337,-0.0141990703030948,-0.02379600564942142,0.04186892540397076,-0.03854276036411164,-0.03157006591301558
CXCL13,,0.008552334092855258,,-0.04699533471552744,,,,-0.033504121010101154
MICA,-0.005591728239367477,0.01666761115511604,0.04903821305362973,-0.002296272695142417,0.029449131116648493,-0.02051909628340794,0.08174211374836948,-0.010470101224362852
TG,0.03550116150260296,-0.012398631686231181,0.07485071479589032,-0.005304724559064363,-0.0008855805355337054,0.10573464795857512,0.030017787870346185,-0.008708828362850822
ADA,0.004807901313042822,0.012106078793054652,0.03912966963667776,-0.12135409510274413,0.004469573859395693,0.09675427725986499,0.08182437307093182,-0.07155807784542487
LAMC3,0.04249087383395905,-0.0274190573336659,0.042842415541341376,-0.03144411091456197,0.023688401335383184,0.11858378153882289,0.10145497519336713,0.012187740254253097
CCL7,,-0.03124462705588617,,,,,-0.02792285771964277,-0.02159068571931109
NGF,,0.05630858801334667,,-0.03480373883070627,0.06284338127776506,0.0405254877619646,-0.03421698200149871,-0.0010458501147623139
