,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.029253420254557887,,,,,,,-0.021872561919045415,,,,
BMP1,0.04215573662720303,-0.0016004548200709106,-0.031354962738000584,-0.07135565035243575,-0.013067854666209182,-0.007765926695318703,-0.1635650889214475,-0.06545828906796589,-0.11080681524718143,-0.06287249718579388,-0.009658068336286772,-0.23711151356733343,-0.33787214886570655,-0.04485300100986305,-0.04135385794706291,0.04096235807851373,-0.09998144717874811,-0.23072913874858955,-0.17373629483612588,-0.0377042039098734
NDP,-0.0285374389489344,-0.05465844407861455,-0.05507712126271663,0.02995277131494403,0.0660360670191289,-0.03815589061579917,0.1546573678586215,0.03740235797581665,0.014792225216214193,0.03556169660796194,0.02760995957846971,-0.10955494136376992,-0.042581335799781114,0.07977691548735844,0.049602049244776146,0.08620919660772344,0.06869215418696599,-0.058634787996438696,0.07613476947348313,-0.10125334549602423
TNFSF18,-0.023591417297447907,-0.04413995472989161,-0.0030795359602472988,-0.0439584272921505,,,,0.025073916613295093,-0.043440450866276764,-0.00878248902464288,,,,,,-0.02255678703372149,,0.06296238818610105,-0.1624220570359592,
IL36G,,,,,,,,,,,,,-0.04002439183940251,,,,,,,
RTN4,-0.006898373135153757,0.34502742288627153,0.03205103047341268,0.07348482661797999,0.05771574667163108,0.01992125169616565,0.21169627575275793,0.13999555360706492,0.12404272632321077,0.08867002786847816,0.20141081780087458,0.5616077878579372,0.5045250592545295,0.05459019979177856,0.036595388134221,-0.12300435435907991,0.028697464579475192,0.03453458327793795,0.5866984002478641,0.026964699435209936
HEBP1,0.019305038484431162,-0.1315543884575729,0.028703131590097557,-0.033121803355436935,0.008066197447303029,-0.003116984329082393,-0.029483490439112546,-0.03769089788259055,-0.0498854148253963,0.005888438472918464,-0.03432838483802217,-0.25073183210028066,-0.04790002695976455,0.033888658681714416,-0.004119175542364496,0.06517131342670048,-0.04284141456947374,-0.08604504707425961,-0.09464926327025305,-0.10116952853045186
WNT7B,-0.020783299735314464,0.35505423815468173,0.021512969842261212,-0.03134564806680788,0.14635085135389267,0.028133604578272995,0.11551277434638875,0.0889926254751969,0.0819095603002424,-0.01541359067819417,-0.0028444338629892304,,0.1405321992268044,-0.02241208131699475,-0.013991703491048132,-0.023939809899105997,0.07492310676565603,0.04197017903974296,-0.010814981200559657,0.095901807170028
PTMA,0.03336624558983699,0.0032185529807189977,-0.01761526801995454,-0.04887429605179958,0.1165681193174512,0.027294318344389248,-0.18866125760575791,-0.1608218860213736,0.05857308890145347,0.07326059207366546,-0.25349986691436255,-0.7227861111912859,-0.4841699259171467,-0.057221584176115226,-0.025036491886282593,-0.08746273089240358,-0.16340209738243372,-0.16078729098724706,-0.31633797242440875,-0.3080461536739096
FASLG,-0.020783305610700062,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.02885780172944688,,-0.025429363393752628,-0.02405589957749469,,0.007455310350906975,-0.020987154025057596,,0.012485642306055724,0.023345567266404917,,,,0.007203807400095246,0.007996088290226333,0.05896562255422927,-0.019758695461852212,,,
PDAP1,0.027820177879239422,-0.16820068896417303,0.05236645035767846,-0.04549615617584161,-0.013179538737083971,-0.003907168267895745,-0.07021826292147826,-0.09414647215384782,-0.06829243735944922,0.017695788117936574,-0.019798247458970825,-0.03230521399563109,-0.2752387441265545,-0.024650774618316728,-0.06656042757323742,-0.029402616258785184,-0.06325323968452792,-0.029199931784666087,-0.09478101573567044,0.0991603995592758
QDPR,-0.04285734457642529,0.2638458556345125,-0.00480184063500796,0.06439834831188283,0.058172437464399276,0.012099581040083658,0.25218958867556485,0.06291140252142917,0.0007723595473347885,0.07673186931188902,-0.036002486401713406,-0.42291294581594374,0.12837598870589986,0.06512183805577898,0.12344901245852719,-0.13643409053924202,0.05426203616271635,-0.20760598695867521,0.4853348191473232,-0.11999845689184464
