,UKF248,UKF251,UKF260,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.015612176520561015,,,,,0.1121658944449135,,,
BMP1,-0.014442859316685116,0.05809729969314592,0.02976775094623015,0.13595075850299637,-0.023473924780638023,0.09172245135555633,0.0170455864802239,0.008922344778561903,-0.037549069967578126,-0.04951564517956962,0.037415623649462666,-0.039322404197074654
NDP,-0.024302750427289018,0.003254462039978885,0.07483847528368741,0.03834253579838554,-0.04082247980531524,-0.07271308003848935,0.05234767084001053,-0.022880674673258352,0.005849352355530227,0.018325143179200663,-0.008798531112866683,-0.02050708746428454
TNFSF18,0.0019365462418365026,-0.01878923244833689,,0.13927963709993588,,,,-0.026346379459928904,-0.033086338274938766,,-0.032296674789956514,
IL36G,,,,,,,0.03431823407547852,,,,,
RTN4,0.018041364106005268,0.03582153480303245,0.04390104169445829,-0.1645295153931089,-0.0076731209603593566,-0.04767582234856262,0.04471187129641963,0.09383072020238295,0.0628236602054859,0.038848440208303754,0.03591851483531252,0.021301386813680066
HEBP1,-0.03322436956995388,0.022925741184696705,0.00127412042369521,0.06216778497296818,-0.04403552027812365,0.08520546597988048,0.0012920516031647289,0.05036912943700975,0.03536166425972031,-0.028509977846750276,0.01799437005435456,0.0481942918890897
WNT7B,-0.0008188132466600874,0.011958393041288895,0.052846720563412795,-0.05080103770915278,-0.02439076645469347,,-0.015116034573743229,-0.029004792236216118,-0.004887456654738868,0.015992351066026676,0.06390878020982277,-0.06931892005747714
PTMA,0.037319487315509624,0.0611036169762349,-0.01490108914686505,-0.09125273241629872,-0.055970349977146554,0.16613576082882844,0.041164286480161724,0.03871619396841292,0.13502265991765444,-0.02266022980644306,0.057086030484832545,0.04287398963773178
CEACAM1,0.04625999308537199,-0.030749422310979286,0.07322843504524655,-0.00738358000639184,,,,,0.04086653600574854,-0.013517655370567795,,
PDAP1,-0.012813386347825898,0.02415973336462898,-0.03113030348483243,0.14078948214072842,0.015889353590207413,0.07480932208883644,-0.01722293000377261,0.02766389340858392,-0.0013516933973510498,-0.025823894275479473,0.033213695563317235,-0.10889947990812021
QDPR,0.08051934925836435,0.012763662438050797,0.013394113477328743,-0.1091596718627551,0.011862283830735391,0.08049736173648084,0.06804502531199975,0.05794299617803412,0.03834237289579699,0.014423546581069526,-0.03092422291740307,0.07838933708348578
POMC,0.007104606799333038,0.039703493641920135,0.06776376179653852,0.011445924753698586,0.034262884721329434,0.035568123407099334,0.018517382474019253,0.007342011799246381,-0.033941028744940996,-0.02211310843091437,-0.027395445940183966,-0.07084021470213554
CCL18,-0.025033663973036288,,,,,0.008308404684327907,,,,-0.015143899947570693,,
CCL17,,,,,-0.030188931457156024,,-0.012563675042489455,,0.03116609942041808,,,
VEGFD,-0.0116334430711896,-0.03588117158028889,-0.015506872953334102,0.0005657647153572323,0.030675650023882006,0.00541576873340762,-0.013464879681973988,,-0.010442444874125201,,,
TNFSF13,-0.018891212158460683,,,,,,,,-0.04536042947987449,-0.01517942099361404,-0.03513417538391556,
WNT5A,-0.04318178807571227,-0.025416764143243186,0.03939355660990405,0.1443455203838785,0.006763084414456896,-0.027526246510511432,-0.032167074087728044,0.005557557358930719,-0.003598359031160176,-0.02303188442932649,0.045525155249523476,-0.008393785112461692
CXCL8,0.01641517384611157,0.04333539410337981,-0.06231724908007741,0.028306887486949928,0.006563139501139565,-0.03934885068772358,0.014909477209664975,,-0.0029064144356119232,-0.0653165625007732,0.06148405237785938,-0.0053217320121786245
GRN,-0.06742304191032596,-0.0760363856756588,0.013897899929989277,0.14543151465768148,-0.0013549283758854196,0.0706042612872947,-0.027576912504623984,0.011151002494140168,-0.09636378588598517,-0.0455252169337225,-0.09628811378471068,0.0391732246441894
MIA,-0.027198433505544465,-0.02024741462451947,-0.047053210622199554,0.03614636683200944,-0.025184075457568487,,-0.01844076978704828,0.06271330478626401,-0.05974290906318761,0.015198509584849048,-0.0242413740563963,
COL4A4,-0.030065227038954544,0.010854696744392498,0.05465688035434598,0.029678378291066575,0.0743331403672024,,0.01921519343021303,,0.09006964941928666,-0.013134896215306715,0.028012609242152573,
