,UKF248,UKF251,UKF266,UKF269,UKF275,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8812bulk,ZH916inf
IGFL3,,,,-0.013609672923005274,,,,,,-0.028816005261521907,
BMP1,0.00887242679779907,0.05199879977274394,0.26131522598402807,-0.030623093756284418,-0.0033622794460323817,0.126801407358038,-0.01356798652484819,0.0775208243318215,0.07108194056693634,0.07224817708738952,0.08871150686859251
NDP,0.009744315864590037,0.058801248990602205,-0.03742198243893709,-0.06712155769923416,-0.011604928800548642,0.011432295398293447,-0.029404766886332413,0.07198955309139105,0.06687187660877116,-0.018158544691558996,-0.06041905244271979
TNFSF18,0.08317331070524449,-0.015944707099957805,0.10009080010224028,-0.020209955717085528,0.00481075705115397,,,-0.024124909093459882,,-0.011904285422395196,
RTN4,0.015852769956749883,-0.09444457138182798,-0.3746012092553303,0.024740540963461923,0.05689411924650325,-0.2764061852635382,0.042736083759129254,0.059970489558370824,0.05259573663089405,0.1038161952144579,0.04980477535247826
HEBP1,-0.01926906340235454,-0.015939148133868736,0.17019642868306,-0.009610142723576237,-0.03391844845105294,0.08600087095606417,0.11711176404782966,0.050548122027291593,0.022394822152899112,-0.020563032188533236,-2.7015833273836377e-05
WNT7B,0.023197737726351433,-0.00240942552769731,-0.09334505532659235,0.039321301804630684,-0.04110186655760528,,0.019781123368649973,-0.02655917019025934,-0.008477905255585711,0.028322203368440244,-0.041926115967455053
PTMA,0.10949213545216384,0.0810374563635224,0.5060628608663852,0.016662617808905544,0.026958738553558324,0.31339972926355786,-0.06539779333822039,0.08119750299699487,-0.0045302367846448205,0.053831924121460505,-0.1274052391178391
CEACAM1,0.023968555542650455,-0.0020202368119637,,-0.012104834908528171,-0.022552082174129753,,,,0.02225711594313512,0.03124360368458789,
PDAP1,0.07555089383728981,0.030257776667730777,0.1483274413508795,-0.036963413591012705,0.017233794341269818,0.07191562586200195,-0.09454680258255035,0.01238936285204045,0.03248193381874883,0.045968403574196806,0.014534198750667682
QDPR,0.04681180148774143,-0.11620283107459031,-0.11307763231824722,-0.042350800500800756,0.008747454412673591,0.10587463223671867,-0.02860028217828962,-0.10771763772148611,-0.013523785604609661,-0.015212699331191076,0.009668815463362344
POMC,-0.021755998218856196,-0.04219515506599838,-0.041785530793946396,0.06662483386312312,-0.0001079334447809668,0.020163203408528174,-0.052803574102842955,0.007311252373865122,-0.02349192789927631,0.10350747121251885,-0.006124230214583903
CCL18,-0.05845518935018872,,,,,0.16534059090449754,-0.05275029128826231,,-0.019964862357955068,,
CCL17,,,,,-0.002744147884496941,,,,,0.018519732614951823,
