,MGH258,UKF248,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,0.0929978950665352,,,,,,,,-0.018186165389186333,
BMP1,-0.013345184222724927,-0.004753030479103178,0.1181525090796448,0.051293090579336044,-0.006515309869178881,0.025941272133657826,0.06884128756857862,0.03402699287720473,0.07597666198398448,-0.026209933408683824,0.07056954189883978,-0.0075596766782716944
NDP,0.06083812207335557,0.001779313342749601,0.06235632165053634,-0.028567818693089695,0.059625077244284896,0.033780997979280726,-0.022910122840106493,0.02002227887686089,0.04351454745491404,0.04573416726672447,-0.01696413295642678,0.03512968035325461
TNFSF18,-0.019279987219288242,0.03638500919761878,-0.030036162429502498,-0.012622089446573373,,,0.0036188146552876017,,,,-0.030676809658929594,-0.025005816316847375
IL36G,,,,,0.07257941705021781,,,,,,,
RTN4,0.015614640778344794,0.04560649476445964,-0.24232139119028848,0.011821914633390145,-0.04686835196189836,-0.14003443274859054,0.007002339045495778,0.004890491121396419,0.008447996960294942,-0.07878745093321371,0.03475313205286776,-0.01739856692316198
HEBP1,-0.053897768279911176,0.0234145472175291,0.05498518609781328,-0.045868669374113505,0.022698806295842564,0.07481060434990136,-0.07166647777781669,0.005273794713563495,0.01141083552886927,0.03808425410278916,0.037460197458352974,0.027755454751182348
WNT7B,-0.01698506487420097,0.04433185589029671,-0.036850796067616313,-0.03618004443778265,0.06460726837475057,-0.053612189969372774,,0.06529695278436679,0.011892359108085577,-0.0019129288242772787,-0.03881683703539318,-0.05437040813577818
PTMA,-0.0266654073234107,-0.010306824289108686,-0.08274163219633278,0.011800233428721801,0.054602358736401985,0.030745001727983404,-0.030832470444559147,-0.03396676445183632,-0.007816986605156347,0.07048234183749087,0.014099426170495501,-0.007186472439098581
FASLG,-0.0169850696758353,,,,,,,,,,-0.01577285503774133,
CEACAM1,0.03715830050535079,-0.03131618231335216,-0.03838196453716185,-0.01985153968813039,,-0.040371323471407074,-0.02968949827558839,-0.026535766424703375,-0.027712756963829056,-0.013517656594014087,-0.021945611174286346,
PDAP1,0.07622872769212596,0.0005931009682311826,0.14173011616869852,-0.022369898058076786,0.03360770883946523,0.043519540041841456,0.03435382380821025,0.00910940803745826,-0.0006171585173208394,0.01941986616591582,0.0045344720005749545,0.022477566786282457
QDPR,-0.06842268426616652,-0.0005370631817509775,-0.1824409920506253,0.035884827392896446,-0.018767123240374942,0.03795938188380466,0.05039009300162445,0.00954630503330727,-0.06340008341650014,0.027041504733631302,0.016266557161456908,0.015305584895748724
POMC,-0.014535172193126911,-0.0695028019545697,-0.009635825627932722,-0.014645674462481979,0.022282643159228236,0.14576977694852888,0.051726743497542124,-0.01977307174758714,-0.03141514630902286,-0.022113110432311782,-0.020318511406884177,-0.022461556665562616
CCL18,,-0.02017808362172099,,,,-0.03461629926913645,,-0.029987266187428162,-0.0016443129677290364,-0.046551371902163255,,
CCL17,,,,-0.01574220298520926,-0.01377866979936349,,,-0.018825841911129435,0.05819539546673867,,0.09935657221863885,
VEGFD,,0.006564031585315633,-0.009646769906940005,-0.01677198578689285,-0.01476702719535766,0.12629090378124538,-0.04036222229510933,,0.06448653022429729,,,
TNFSF13,,0.06503343821264733,,,,,,0.07134577919406572,0.11082781258436358,-0.015179422367462229,-0.0232946626035366,0.04510158240239448
WNT5A,-0.04208012145780542,-0.010649426590486495,0.11580463735979793,0.04255258024443942,0.01738596786479209,-0.07700123440604403,0.016101008543643845,0.011184136304179798,0.021196935266333296,-0.01799322825674009,-0.024469997769021912,0.04532918174382028
CXCL8,,-0.019667286824729163,0.049004809814640865,0.001779414173399243,0.013062258378615294,0.03687342002989467,0.1476179096318939,-0.016630885293532262,-0.030186438388574943,0.00950498084964089,0.05346576109209001,-0.05176505417763225
GRN,-0.04993493695219427,0.037936484156026726,0.1787233069457859,-0.016651389376069844,0.007049270346610701,0.07855620211338678,0.07380131427204485,0.06835456939351917,0.04875422369002444,0.03350175286027163,0.012760741537052214,0.00842236214790802
