,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.014025698459679568,
BMP1,-0.039280001000198315,0.025261619820557836,0.022366467444095612,-0.05326234529259872,-0.06111043183163855,0.06614965960934553,-0.00535154908054432,0.05461687461372665,0.036110265875599255,0.05023371301046307,0.07440282122642065,0.01273152383533161,0.03441661737673669
NDP,0.016493406614075043,0.04518367314247504,0.009600218598685742,0.013216948156613789,-0.009609230299574296,-0.05344111484252492,0.029650515108840852,0.017507480773386434,0.07886606644383005,-0.03689571697033117,0.038120131947809735,0.01293099332118413,0.1033190504340601
TNFSF18,-0.019872599663920746,-0.014935387150715749,,,,0.014084941553842696,0.04503037580366079,,,0.03938755479968576,,0.05215603117281074,-0.011887336979709189
IL36G,,,,,,,,,-0.022225655723275436,,,,
RTN4,-0.0486085647649874,-0.04571656822883402,0.040249912991740744,-0.08062694442277178,0.004694391579948409,-0.03535432996581918,0.02738418189595363,-0.05355156026063602,-0.11701150511644218,-0.01448768503975922,0.029600395308397563,-0.0026948390163736018,0.005529606653918011
HEBP1,-0.04496681158737236,0.017976198949907898,-0.009873585048813424,0.06334215149424184,-0.047778501661157026,0.03583076605432183,0.004323224834608485,-0.03488912835512764,-0.012394253927170496,-0.0005772441854944232,-0.03073892223066819,0.008970487021499449,0.01734615163528499
WNT7B,-0.0337857030944083,0.044450641081394376,-0.028314753258714756,-0.037965103233192736,0.00897883073577156,-0.039514439227343094,0.010692494934035329,-0.02089145658515139,0.06275091103027987,,-0.03093602627052985,0.02019324919482007,-0.04499969198076157
PTMA,0.05169041807562808,-0.024851582230957757,0.042603455002881034,0.018426658328790296,0.02744772508896322,0.06708715013789988,-0.005295509141747713,-0.020701339474049025,0.05124232543781388,0.018650225989265988,-0.06445304127640297,-0.029948152830406756,-0.02806625003999632
FASLG,,,,,,,,,,,,0.044377832729279976,
CEACAM1,,0.03457877525200678,,0.026571697650781934,0.08283432325688964,,0.09513493038815618,,,-0.04649082676392518,-0.02774392387251681,-0.023116675541968612,
PDAP1,-0.0024592935323336238,-0.02168879888986016,0.032345140887434315,0.010729294158224338,0.01506924913397324,0.02432029754462794,0.06690318375677008,0.04024745092890586,0.05100450879333575,0.09026634698536486,-0.0001649622648609396,0.022647623002782887,-0.06328963927851763
QDPR,0.010727608244539954,0.035973397046300135,0.0442467610622538,-0.00999371881652527,1.425198189045941e-05,0.0257232077209675,-0.007120167089504116,-0.06381636256380298,-0.04259322394738286,0.06847412940001533,-0.10361372707499618,0.04302787798551606,0.00412103212479385
POMC,-0.004878121517661069,0.008071400508909166,,-0.010283439723801479,0.03935814083538333,0.017500306764901673,0.03437558656489924,0.006995993034207533,-0.005263942979537176,0.07488335990767522,0.031930817369450554,-0.026738507671479027,0.011775006693284643
CCL18,-0.02665079015845497,,,,,,,,,,-0.019670898179479982,,
CCL17,,,,0.021168165817455384,,,-0.02229306134522416,-0.003609952160951337,-0.008122321284857272,,,0.04999488605439396,
VEGFD,-0.030027650888936528,0.004626859880168371,,0.05224095879186434,-0.026695919706058745,,-0.023751371290265427,-0.018966984651681864,0.02034275106762959,0.01486156848322226,,,
TNFSF13,,,,-0.02286186770005584,,-0.012890039652290257,,,,,,0.0066063479983064855,-0.015999167207720752
WNT5A,-0.006402664993348896,0.03207756552074277,0.05409067865800509,-0.022030874461938847,0.026193192505351067,0.08609867441825911,0.01092038880738757,0.045028584336444855,0.06032659346881768,0.05624985490840897,0.009211880918001571,0.04736954623608529,0.04029350341322232
CXCL8,0.043281370285221166,-0.03150663024407972,-0.011248713229391857,0.0639554624641187,0.011222667541244085,0.021571421087147033,-0.009893341032212694,-0.01766288081955658,0.0773556478971094,-0.041608689149645,-0.014465677273797614,0.05536816919056242,-0.03510056979210516
GRN,0.007369964927662415,0.0428616273818905,-0.05449298327050203,-0.056137562113274524,-0.027649392404921008,0.050745662693270674,0.00778017851125772,0.009605672397610046,-0.0017469521795595514,0.04551578726635874,0.06399701319788947,0.006068963435476277,0.017464156084756564
MIA,-0.04491733314267781,0.013195919538369173,0.006258826108545016,0.08923252567360669,-0.013882135844537454,0.026977490497819168,0.05293708501029138,-0.02157095063151351,-0.04457549203942569,0.04592342323976676,0.017072657588796655,0.023468023399239243,-0.04038027426903474
COL4A4,-0.030228071074287145,-0.010874193162274084,0.039879823444405965,-0.009179462947273639,-0.03553069474913378,0.10581365849068129,-0.023274645762115655,-0.036237481580146454,-0.004023949122953346,-0.03676617793046941,0.030464405073265366,0.03226146286295102,-0.0071669010570691504
TAC1,-0.03785830241094893,-0.06230747878179253,-0.019751661277005925,-0.04009988191013402,0.021069707688103706,0.005022155253620497,-0.02929995670944111,0.036204811314651565,-0.055308789013487784,,,-0.030116269938500046,0.059050798756421566
RARRES2,-0.013681807545031201,0.012122415413517678,-0.006803417155229979,-0.02892568711244248,0.009857221879794993,0.017426514561108074,-0.02004934331694415,-0.07205698615017106,0.11257987993995906,-0.04936421957727539,0.03992536443912533,0.10734545236106513,0.0495857161438467
