,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,-0.015533288179775135,,,,,,,,-0.016190493408280673,
BMP1,-0.051828167375894546,0.12756458129167442,-0.079585639058802,0.004578278876151657,0.04739119059141237,-0.008935732270116369,0.003183182497987663,0.055129426455042874,0.010634466354908915,-0.022196787482430827,0.0053200100936694975,-0.09184149162668599
NDP,-0.07130343411784029,0.0375168391598298,-0.007428180283647725,-0.011926009274785685,-0.00011731378710672427,0.03191018874648964,0.048139231713056216,0.0923174899053645,0.0312850311996392,0.014513688359293404,0.01958331409377221,-0.06870107374580826
TNFSF18,-0.010019246974359415,-0.012213188077879586,-0.02306646662487628,-0.012622089446573373,,,,-0.03626867267415078,,,-0.027310467816668318,
IL36G,,,,,,,-0.01883487123083088,,,,,
RTN4,0.04216738562805802,-0.03708359682230374,0.09643649385866462,0.00710453707410343,-0.016089715121846565,0.063075466670808,0.023019188995720887,0.009695119977012223,0.01244195135012749,0.04119532685630368,-0.027692691156829784,0.014027189379736307
HEBP1,-0.036386555981521525,0.02022765921431162,-0.02545573470422763,0.045188889438448676,0.020743475334088175,-0.09682927526485356,0.06353704653654485,0.011566023269444387,0.03626392438056038,0.03804266977151877,0.019664222117964283,0.03849216456298904
WNT7B,-0.015013793671402716,0.06254805732157022,0.03299759829755949,-0.03618004443778265,-0.012332312690747553,,0.045281053784557004,,-0.009696988533987433,0.038656557925383556,-0.03455724341567515,0.1604135690970114
PTMA,-0.0022846258140985657,0.06619159917301162,0.032933822311375864,-0.0038311057462967002,-0.002778224267311166,-0.07388398732595691,-0.015608383472189591,-0.078678231041526,0.006464993151986677,-0.018260355511427007,-0.027910137198947974,-0.13611803616259135
FASLG,,,,,,,,,,,-0.014042009409535188,
CEACAM1,-0.011522183623918587,,-0.03035415631063219,0.008410127518075837,,,,-0.0387161416504865,-0.016268860583190263,-0.012918325679058902,-0.019537393697587547,
PDAP1,0.002901654861864302,0.0012367945535079606,-0.03661588810780547,-0.06014946629124701,0.031696720366675736,-0.004090104234661843,-0.021001698055249946,-0.01966669601205925,-0.0802097665827103,-0.06062955498316955,-0.034073753683062306,-0.043964719729829675
QDPR,-0.0118908164171391,-0.009407256212842758,0.07824870878528624,-0.014660321794722915,-0.017823931052173704,-0.0847962405999543,-0.06159439206676372,0.027332354705631296,0.006762471697125921,0.02194734273971531,-0.017813597908802964,-0.06856384386764716
POMC,-0.02047308202059823,-0.00876906934514693,-0.028121500358638925,-0.014645674462481979,0.04418491146395481,-0.06104558250061319,0.020797297853722474,-0.08014101987404086,-0.027520245582659433,-0.021132683786929236,0.02916815876380191,0.017820902332306512
CCL18,,,,,,-0.024566212702685393,,,0.01211174749064094,-0.010143844721444093,,
CCL17,,,,-0.01574220298520926,-0.015263946019111355,,-0.01720618959117695,,-0.023485121601692634,,-0.012727504336597873,
VEGFD,0.043518002671815964,,-0.0260224244088222,0.01646970774991731,-0.011196288998412855,-0.018886362901598824,-0.018440406317968908,0.02476646954049285,-0.016268860583190263,,,
TNFSF13,,0.04951127754085021,,,,,,,0.10084451240445741,-0.014506413918644928,-0.020738405994863544,
WNT5A,-0.009415736672469742,0.11864691898248124,-0.0857367417589427,-0.022975289137999347,-0.009054812221822375,0.032679999252420835,0.02474541113238635,0.005493434427429341,-0.013703908426056118,-0.002563333996217338,-0.016164482085547965,-0.022495043663827454
CXCL8,0.005431187341098769,-0.01684766976536603,-0.04347850629919607,-0.039211821804485465,-0.010426471146152526,-0.0430357060144955,-0.049185098402897184,0.09075369515358024,-0.07486913679113544,-0.00973685564689434,0.04388065559292137,-0.09618486088053234
GRN,-0.020063381333670055,-0.009306283024094452,-0.07807807274082212,-0.0038810684584058342,-0.005600486811588757,-0.12698247849770491,-0.0540291357528265,0.030823631475930105,-0.025595131650091106,-0.015927597619069794,-0.039310410368900844,0.008467500934185579
MIA,0.05256238847207079,0.08026856305042607,-0.005238115788865415,-0.02105741347835909,-0.012733420819186759,,-0.02525498153129002,-0.0015239931586201844,0.0939582443716555,-0.00026303365590528633,-0.004774631632309185,
COL4A4,0.017991773973805903,-0.011269275473026833,0.08589621213908415,-0.016435346959405277,-0.021391134320868723,,-0.024498269022396428,-0.04121325982052266,0.03584659990259727,0.0036723177464762086,0.03468735068761331,
TAC1,0.002179463599918755,-0.02598757492258651,0.09765668475106623,0.013381314841418055,-0.031409760559517996,0.09977239016541722,0.00820407368030232,,,-0.022287792001193355,-0.01673159863757129,0.15236952809171592
RARRES2,-0.01770066931782301,0.05131773680276325,-0.07088002211107078,-0.015956307915741586,-0.0365495118808739,0.019534020362371243,0.06545518259715191,-0.08549640749744743,-0.011835459072757607,-0.006576641133899938,0.01889813381272234,0.07136393237005215
FGF7,-0.018626931229819347,0.026227734600244208,0.01635747828651026,-0.037466474725971616,-0.00645183945238437,-0.03030072759297147,0.05257650706382034,-0.04694625544221767,0.07002478166977864,-0.015917546527712143,0.004239234452841636,0.0019316885893098695
EFNA2,,,,,,,,,-0.015462463222109946,,,
HBEGF,0.0032690476179992253,0.1292124168766611,-0.08517204276815148,-0.05459715954548961,-0.01811029319677289,-0.032054192799883516,0.04542647951167076,0.04011491035067332,0.012035617369538912,-0.04035657464405842,-0.01524515456142445,0.08268009456162062
CSF3,,,-0.016194408266303414,,,,,,-0.04510079372924985,-0.018520184486984188,-0.01340009861715009,
