,UKF259,UKF266,UKF275,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.055460903344548534,,
BMP1,-0.09456945488531479,0.16792181166938325,0.033259724613829436,0.024280424556659214,0.09279640057097184,0.034709071134758115,0.027399732155014102,0.08790368065894982
NDP,-0.039376687718605974,-0.015145570283234882,0.016539079291950174,-0.013344882827871586,0.09453764721668685,0.05050820209415048,-0.0018021877232034657,0.030932832413382925
TNFSF18,,0.04916811212565434,0.032723337098981224,-0.012621566812973882,,0.0018414134739773796,0.006621453713412016,
RTN4,-0.0366400118797377,-0.26037978557441976,-0.0770176708017423,-0.020525694603223274,-0.09222293710904043,-0.010143307444901464,-0.1463760557347193,-0.07653979970632292
HEBP1,0.04139891675364441,0.041037161527342186,-0.04329420181376365,-0.028103673591394294,-0.0517436101092602,0.0999282613578452,0.12372272261511265,-0.012725499474596868
WNT7B,-0.018979002266970066,0.008643319647304217,-0.05496528237313659,,0.02328603721854535,0.043530284535583316,0.07564418956088119,-0.059505124407794895
PTMA,0.029252875552830213,0.2904449751076095,0.007448071058227544,-0.00719443997025081,-0.2069259635404382,-0.0103085691991366,0.05625778991329665,-0.00412906820263898
FASLG,,,,,,0.011733512321148014,,
CEACAM1,0.0022118191133357937,,-0.035507070806169584,0.06977085956640396,0.09738584082714524,0.03050199911653363,,
PDAP1,0.0548546483180493,0.1295852169393952,0.020857425362005907,0.10051543455402559,0.00490521488824534,0.1096444075854821,0.02621371905424027,0.06039056824649047
QDPR,-0.014748300254927418,-0.06899769741785369,0.04690699655670421,0.07118310708006226,-0.18414659787905036,0.06979717033754568,-0.11327609014546297,-0.07937572941056546
POMC,0.008175782627222112,0.05153873909754413,0.04396081106780546,0.001283393047031352,0.03800238573358861,0.044922768977394015,-0.01218706285356354,-0.030640438157014317
CCL18,,,,,-0.08444781663114873,,,
CCL17,-0.03177740801906364,,0.0024210265363598274,,,0.017610893820811553,,
VEGFD,0.06993469726264226,,0.007680666874972219,-0.015145384606631288,,,,
TNFSF13,-0.02519655327889634,0.04014198978753313,,,,0.033999471129214975,-0.022287036073096334,
WNT5A,0.018318452297764555,0.2783413979141518,0.01463989156497351,0.018846684679110517,0.051515381362778556,0.06718376700988625,0.06333491411096515,-0.02018581489272254
CXCL8,0.12541515994474492,0.03422331949597942,-0.08245447137274735,0.02900364850974227,-0.007150892214620345,0.09667389132867933,0.0741949487908529,0.07562818781487496
GRN,-0.003027523449158908,0.11543646218252965,0.007026188739075301,0.05485937898226646,0.09855393617316244,-0.06415445805012374,-0.07119133509041589,0.03170208091076793
MIA,0.011418718562231141,0.011687616591300585,0.023173319794176087,-0.06651999248449006,0.16880458053145259,0.15001422148545845,0.05409747362850064,
COL4A4,0.0031348585379009346,0.05189065474758688,-0.002054867479514775,-0.0337194885453974,-0.008902210307822695,0.02829462140600016,0.058584314575219995,
TAC1,-0.01899052915792729,-0.17445450607237722,-0.001272617289975209,,,0.07641256713044757,-0.077643624923441,-0.04913644858208043
RARRES2,-0.027295379939889224,0.16646856036194038,-0.0016736830377285057,-0.025090357115402858,0.11382795599952536,0.07702262605531691,0.1270212232970619,0.020814027167196214
FGF7,0.011194663744226292,0.10654126766920428,-0.005005234982650399,-0.05084989559986793,0.1330065513800794,0.14131775129172608,0.02414270382418706,-0.029071141168970114
HBEGF,0.05132137899577198,0.12742241226739182,0.033141584058022075,-0.01711796674480096,0.106611739779125,-0.037366557324252446,0.10354868069354757,0.058256121606238616
CSF3,0.1015062592059398,,,,,0.0034201360351406745,0.04958906379750739,
PI3,0.1211254208503627,,,,,0.03073735876221559,0.03540057810803917,
PCSK1N,-0.10983429569938245,-0.10026110698503633,0.00046526642479064167,-0.05251834306927617,-0.028543388299327337,0.02665676010430001,-0.17300031560131782,0.0423878883661781
NTS,,-0.013482423155939175,0.006605244415902501,,,0.07659980290227315,,
SFRP1,-0.03371216814190577,0.04258694710337828,-0.046315318187756964,-0.009068778555517902,0.043324318519193855,0.007490954855415609,0.025969698956264525,0.004368972840025577
CXCL13,,,,,,,0.06293873685162289,
MICA,0.04672793135604119,0.035248556649009166,0.014888140960791824,0.044726450273695074,-0.011338200384811094,0.045262126435592145,0.055720012769208904,-0.009106586004745922
TG,0.03574023753745244,0.013210063602700039,0.00548720797480055,-0.051004299991932664,-0.043295972836041134,0.061537599845355784,0.06670913760238084,
ADA,0.0246697238460899,0.07329950434976094,0.09498172272266098,-0.07857247176396477,0.14863128028939843,0.01400712650788906,0.02651983154795437,0.13003340595578902
LAMC3,-0.0544789572781312,0.11104790884688429,0.013545089770203125,0.019109325887741255,0.11382477211460201,-0.035425505351083714,0.011211789290576821,0.016705716810774894
CCL7,0.0049483794695796834,,,,,-0.04738202701065614,0.09243098962268488,
