,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.0012723625307241632,,,,,,,,,,,-0.04319064495454316,,
BMP1,-0.043066678964525554,0.13446733242439324,-0.0033382487941844142,-0.008827446569779785,0.005365572385209654,-0.008220498565390482,0.14645759083335394,0.011569503338438971,-0.023863182470657912,-0.003009581942384725,0.05681326193313256,-0.04945004691413651,0.12051599142945424,-0.09328783035264447,0.055983327201567096,0.026904511987830705,0.07289617603472746,0.20929951323921925,0.07759234327754579,-0.024470402468900854
NDP,0.008192920012425777,0.0014946303034736096,0.02507009734743655,-0.06279932653047596,0.06663028967352623,0.01181448049069503,0.023588290517530856,0.03452845677084406,0.02810515280529043,0.012747893247115153,0.04269761964178876,-0.005017622763857362,0.06068192681502288,-0.11242313532397637,0.011657647621551198,0.04885287709784826,0.023408709028743133,-0.004183511103584328,0.021822623915577773,-0.020368053912676543
TNFSF18,-0.01958114266770355,-0.006411443879026609,-0.020563155426203673,,,-0.031081080006935467,0.16955981349086802,-0.019597320926178538,,,,,-0.019077713860327174,,,,,0.03730293153853265,0.027910715217136256,
IL36G,,,,,,,,,,,,-0.01868634074843133,,,,,,,,
RTN4,0.02850326760247752,0.04732059038749682,0.041734176348108484,0.07876333845018228,0.04405228628344318,0.04514735011133789,-0.13160901699481636,0.04689450362938304,0.09246187620231236,0.1053820177001191,-0.04014545249287737,0.09940600632371681,-0.014674345210317883,-0.0038844474522587357,0.03610842655109113,-0.04749196375847666,0.07403803335324238,-0.05510530784090633,-0.1219446512769376,0.030541948158682452
HEBP1,-0.05657878402011126,-0.023451113617082596,-0.023375270247371762,0.01422663327365588,0.040351642757736526,0.05142152130706628,0.046574933660243144,0.015107581192322129,0.0001609870124173247,-0.05452711410754916,-0.005079510926360467,-0.0009518693747445969,0.04417037840909103,-0.009559262360880089,-0.0004264019555493648,0.03178078858769619,0.021991151158732663,0.05062198086794236,0.016958053713872625,0.026979660866027003
WNT7B,0.05777131270797421,0.0009830501259712164,-0.02014336108691966,-0.02487472989283125,0.01640833943295584,0.015502289249514415,-0.03961568828325444,-0.03563241324946922,0.12285985658599449,,0.10024110071284781,0.046386667759317324,0.06225379732009358,0.10399715196206498,0.12395034693716706,0.12493078756980182,-0.02790977605785214,0.02791168472974547,0.034370538608282986,-0.039964869885351875
PTMA,0.03092493621142197,-0.057500453417535895,-0.010415809423730953,-0.02201732411828775,0.004845669678832144,0.004299506576396312,-0.1050983011776088,-0.0023836769671075173,-0.05982747069729358,-0.17623553713449538,0.07568879727613853,-0.07186043543465256,0.054686557190158164,-0.050408422835266684,-0.055738762507727316,-0.048502196905351305,0.013837902965259058,0.0850945076135819,-0.079325824634512,0.03515643788412318
FASLG,,,,,,,,,,,,,,,,,,0.07288024902447705,,
CEACAM1,,-0.031683371311969334,0.047649876513599566,-0.03894239734760189,-0.019762965761217277,,0.0899229080997915,-0.030821917067991995,,,,,,-0.05851262551721683,0.038882759447665914,-0.03215912651387583,0.005363035954029698,0.034209210557692986,,
PDAP1,0.008591983855630507,-0.01281496054048453,0.04211814033472894,-0.005859834362558549,-0.020911011786959616,-0.061125288321331635,0.08450253068501645,0.061268384415261654,0.03423932917165807,-0.0034091000878803523,0.07199263251436858,-0.05297198850632119,0.020819456207774027,-0.04115702123034961,-0.021162394802163413,-0.010789549920035196,0.0336790277218413,-0.04452602820644715,-0.052151131652115934,-0.018350902165480083
QDPR,-0.011364283285792209,-0.00435803047986036,-0.005413497153903677,-0.0005432395468864932,0.106969312999826,-0.049279698548854965,-0.16974972951029788,0.029376978007243225,0.009122279393091818,-0.14163353051184896,0.08591755862793928,-0.019351752576287743,-0.0763254053362339,-0.07781222417278708,0.007625002258267241,0.06755515005852113,-0.053127437094677994,0.010439866109495193,-0.02666945574314264,0.03321791273567372
POMC,0.0751613974111931,0.033730428838200495,0.023205706861315324,0.05814869920391779,-0.0022427353941767967,-0.022707289089673618,0.042496725975668045,0.06397696213425283,-0.00591060667419058,0.003429517215678526,0.05077195515802984,0.03330848901649871,0.09723365916053145,-0.021953217270290596,-0.04208392685256081,0.08036529839240451,0.02100220884904662,0.04928396876006601,0.10432642268387252,0.003191721646951722
CCL18,-0.026259922361701618,0.012135083445705167,,,,,,,,-0.024429713555776052,0.11057238760084359,,,0.04338181969734131,0.09799481343938658,0.06386745015781255,-0.03768688676735996,,,
CCL17,,,,-0.022571495158652182,,,,-0.0005705397656746723,-0.031552055836674975,,,-0.017070502778725998,,,-0.025097425623641555,0.09008724949077147,,0.06199090545070617,,
VEGFD,-0.02958725712669328,0.03838698433371522,-0.03378423770977241,0.09199128032225802,-0.018908086697603996,,-0.02287846880177847,-0.01514878778274614,0.07916265149849037,0.016989397719433613,0.11482224232861613,0.019170559368961518,,-0.05652382253381161,,-0.005882912061700689,,,,
TNFSF13,,-0.006799650890528943,,0.003691624807846484,,-0.0053334983639306425,,,,,,,,,0.06325937146312079,0.009356350339146375,-0.0025087336180927757,0.09244534136025205,0.09282205689751534,
WNT5A,0.05322625727987993,0.05172548971522254,0.005157820853832124,0.04753865216870477,0.027072732567449905,0.005824458013142361,0.1695797047794167,-0.032127071825211996,0.007331183118471527,0.06584374472744298,0.09126190755910268,-0.019360765136066577,0.08432975237290258,-0.08980140100356226,0.05241205645980262,0.06009776398172415,0.05855678731091354,0.14434122901228144,0.02372150448010085,0.030999093858260423
CXCL8,0.011287531301962021,-0.028689559252250696,-0.03163355773579988,0.031298017848665864,-0.06926496149918761,-0.042875272907340875,0.09174118936574001,-0.0063927111418679025,0.006281931567778224,-0.0420981396457215,0.045772522315838525,-0.005445680086146337,,0.15379781909601295,0.009622565260801972,-0.08669234080443003,-0.008809852585009782,-0.04021991946612159,0.03889396258356586,0.12306288687724255
GRN,-0.007844421271868216,0.1006761765169872,-0.0695991780545806,0.04503843532529868,-0.003661570519242114,-0.05977961864745266,0.161859347662983,-0.030191912711073757,-0.07775729180929994,-0.04071316936634368,-0.013657092353512939,0.027091055863196815,0.051122962620180255,-0.13217303805211883,0.0528496750264496,0.03911381173423412,-0.054694198869752235,0.19015289794651874,0.01687603879259388,0.013896437011698692
MIA,-0.055903235486627796,-0.01839888695942482,-0.0300453383919395,0.07163051777700097,-0.03133584465612067,0.06345291610692315,0.08690352523141129,0.057687194360312576,-0.026321214984370758,,0.061731214774823844,-0.011635142929578906,0.107000724446034,0.07730521174821113,0.06149701445429048,0.11937027967292431,-0.021880573824571592,-0.005400835939205297,0.1190663859447274,
COL4A4,-0.029784737894645492,-0.015024263209068061,-0.030627405620736747,-0.025506236499504443,0.013066630798041705,-0.002062561890500883,-0.00921760440968405,-0.004324072752012633,0.10315979656220133,,,-0.024305077379551843,,,0.11574805800888065,-0.01046021185701406,0.05117980590784619,0.10001726011683544,0.009750726611195932,
TAC1,-0.02036951045983933,0.04495579605979846,0.09715185948654341,0.021509430854161894,0.050308795067243464,0.04551065800279145,-0.09564779618486763,-0.0007282349579323881,-0.01649202792959951,0.10805055349687416,,0.10473222267439336,,,,,-0.0011193286824685736,-0.0063139686828237625,0.03959701881729012,0.05822069167297815
RARRES2,-0.052800041002016095,-0.028613044419452307,0.021185053188570772,-0.026006016164380818,-0.07860091119182408,-0.06207736336470031,0.11428569037439684,0.031616341887402304,-0.05241490240921025,0.007812659515924822,0.007651761295811005,-0.08415239621404513,0.0603408322165707,-0.025564500834302884,0.02552026465621259,-0.010908646098633571,0.0012515403201122056,-0.013303974941336977,-0.06863174108384067,0.00785597148648019
FGF7,-0.04554529225199157,,-0.0036517095724662393,0.020109643827433205,0.013976837269575222,0.023401621563859498,0.05560448585604561,-0.02720472746924467,0.025540521116509316,0.022388203092738035,0.03439700151359438,0.024220933021047587,0.06971860379704553,0.03829698036435722,0.005979217831230546,-0.015578263884571947,-0.010382479372388275,-0.005263618515624081,0.029837948621921333,0.06030398590373708
EFNA2,,,,,,,,,,,,,,,,-0.030565097563733327,,,,
HBEGF,-0.05073959168166568,0.09865953934897723,0.07204118569383636,0.06459495776298183,-0.02144340955136445,0.041439073139838585,0.11718479611291925,0.013659839755708152,-0.027157771784394484,-0.05445873481456787,0.03200714211574873,-0.016550252359886452,0.09274511578164617,0.11296292974541064,0.011839926902063218,0.0454624038273617,-0.012270298006072261,0.09065259589711358,0.05948742764427945,-0.004832666642723516
CSF3,-0.029784714313979527,,,0.0169292366745244,-0.009954460470835138,,0.1183273120211541,,,,0.04164248890154617,,,,0.05050545803419314,-0.016947060160516454,0.048179045763638365,-0.022758986684351352,0.09493628784792345,
PI3,-0.03528443563079519,-0.041595489208987285,,0.015080324185486889,-0.04472901184967682,,0.07373479047921322,,,,,,,-0.021664139857871655,-0.006617810816284082,-0.11682685185643676,-0.010596267790712238,-0.07766599744382793,-0.0251437660836888,
PCSK1N,0.05621701186879747,-0.02375857283884982,0.03625751862781817,-0.01488325193372657,0.02223664432463852,-0.024114676737279402,-0.039146618611660536,0.026482236625998943,0.05892910905585953,0.18787279412091662,0.05194408762288143,0.09285564105761618,-0.02794593966365975,-0.02668534457122605,0.025079438742699058,-0.023387466808057526,0.03412538845909088,-0.0860556454728033,0.003199865058143621,-0.04120562561725021
NTS,,,,,-0.022001754410331375,0.0001358220535613978,0.05521274712537564,0.07011732019053261,-0.045434150791407495,-0.029565904803342133,,,,,0.08745919841469493,-0.025700747432545436,-0.009032559752609507,-0.05293618863734683,,
SFRP1,-0.020530510136049025,0.01272684616846576,0.06710147742048315,-0.01969450199525461,-0.02157085247948974,0.022220892439105723,0.021125482890887833,0.007751905718819668,-0.01281986822277892,-0.021734506207439695,0.01275641960637889,0.023207270939567304,0.02141763030377489,-0.04507760983117792,0.08991346491840721,0.015648633379613287,0.0025591753659716054,0.014974598827763252,0.024582386499450833,0.10123511283915722
CXCL13,,,-0.01911381432284734,,-0.021376990279544258,,,,,,0.052954298606708826,,,,-0.04865527242288366,0.052001270134253055,0.019630177610398918,,0.07421492499645409,
MICA,-0.029521828680121247,0.12344772674034162,-0.0029002237606757294,0.03111373794177094,0.0035625346998307468,0.07657239078313936,0.09721125538494635,0.011583163152938156,-0.005626255050422542,0.010987065434026253,0.058192292707007695,-0.023219177933683,0.12185275898051605,0.06305831039111236,0.060794764878746195,0.15344961446674404,0.04087913338494521,0.11084512931702706,-0.016998646646459968,0.14589958765735134
TG,-0.023743171299564953,0.0615626247993611,0.02031343777060796,-0.021253487936405524,0.06664573456399378,0.029145515728055488,0.038519465816894416,-0.0012282323592693956,-0.02283408579037735,,0.013662703641294613,-0.025642303871755166,-0.02009680093566285,-0.06336859681600027,-0.03334820393779831,-0.008531032613459173,-0.02999372943837461,0.03583558977702014,-0.019009586663713714,
