,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.0008958764452230977,,,,,,,,,,0.04465757579752817,,,0.0173147043924652,,
BMP1,-0.03022294821242316,0.021088641478422276,0.004470387155317304,0.07920012744531789,-0.021232305686338535,0.017804337570543758,-0.06342292697482936,-0.02291832564242713,0.011327506208657898,-0.04130760004529253,-0.04480628727333685,-0.08201048555479581,-0.09143262448564671,0.001015880164868526,-0.0766281291794969,-0.07415529848241208,0.11980991522460169,-0.04148619620285618,-0.08514887875892886,-0.03016181798748688,0.16075635823949194,0.033310082016885526
NDP,0.025854760529378403,-0.012698566656480625,-0.028227042273705392,0.051143769938136664,0.017887238808725902,0.06858881882636936,-0.07981665536515926,0.005722410957161124,0.022534331079377218,0.0071116855934254715,-0.043908789840198297,-0.03907561105537593,0.06263312572613604,0.05099756302379903,0.03135150797812061,0.09631473122888533,-0.03359031905168041,0.0056758533782537614,0.11852565589472122,0.12983743512132537,0.03262464145331422,0.019654539251665673
TNFSF18,-0.027743626834396493,-0.05203426416660669,-0.050462356194590566,,,-0.021183773437320814,-0.02817520556333089,-0.03190864020973019,,,,,0.012672241223489537,,,,0.059432525207359733,,0.025450264923173583,-0.018092281846728817,0.035539178596145006,
IL36G,,,,,,,,,,,-0.03333501877803664,,,,,,,,,,,
RTN4,0.13498465220235006,0.03987564154403305,-0.04519454947517601,0.023408222729852886,0.0007839579403676359,0.06296631048472484,0.11112891361179882,0.056255137419627184,0.05768188913854358,0.13519535722590664,0.058311341328152785,0.07823302681613127,0.04489483188534286,-0.09838661168227834,0.09757235816761253,0.0568180775456158,-0.03521471160168016,0.21198781603677044,-0.10743408304825906,-0.007867192101542048,0.010187009527137813,0.11738794923312823
HEBP1,-0.02845498611295636,0.043501726321270126,-0.02592561929749366,0.014895992066744327,0.00947934455425145,-0.024121659096297862,0.01619000771081388,0.07388744439811425,-0.01476889490834813,-0.10854295648619311,0.007581385492466538,-0.028467086117992944,0.04767175065267835,-0.05776891664460197,0.07185273257291082,0.05470059858261296,0.03828641901973623,0.08701099667364566,0.026393094147133065,0.07106775092883613,0.01055299022815077,-0.010614733263700668
WNT7B,0.2573880423799723,0.03898003035918102,-0.009512323772826823,-0.0357238577784271,-0.009420558457047864,0.062830324227477,0.16962629651199906,-0.0057896830244180235,0.031062924282361952,,0.06332577555541823,-0.03189734503596705,,0.026741101680246647,0.012862546502024638,0.040721544582300415,0.023470596578949635,0.05468465362145192,-0.01912334155391964,0.011280979747217349,0.030603120319005517,-0.028647840658486298
PTMA,-0.06888085504787494,0.04009238352133248,0.040760604413671006,0.05913518126132851,-0.014893129251736633,-0.05829280423223421,-0.014155245229320856,-0.006217074441427385,-0.08182983069408124,-0.16541012429889018,-0.07534362033319421,-0.062346489631616285,0.05221063045855031,-0.10830837932105145,-0.021652558083778906,0.019364753490899483,-0.048478068899638675,0.018722459371775347,-0.05727756855623569,-0.10015699207466998,0.038393071733762114,-0.1455392287568598
FASLG,,,,,,,,,,,,,,,,,,,,-0.013475224511297195,,
