,MGH258,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,-0.019781362468823557,,,,,,,,,,-0.011457292817481179,,,-0.017760871147233414,
BMP1,-0.007205701101365237,-0.03767007251411583,0.17638624283195453,-0.06503420004791759,-0.007032398984765296,-0.021130090130645783,0.0568920288966889,0.03378910696180598,-0.017648763840312713,-0.007931369401774479,0.01100675007437776,0.05448483941416963,-0.0027048362927504298,-0.025690844111881845,-0.005732725643210027,0.06496088925790532,0.03653573010646192,-0.02193854897574445
NDP,0.029443047658851383,0.05346972474289287,-0.03278882940191405,0.051066709399740076,0.045903656880146464,-0.017742265727822393,0.08518390746165512,-0.08066341911230905,0.056376676866908844,0.020603893751583092,0.08221702444488772,-0.047867364356506355,0.062403630178707724,-0.09644898673136283,0.030060226839892235,0.01063428319653433,0.023478198814454346,0.028847827024510775
TNFSF18,0.14278029073996967,0.026753167811253652,0.011767706306052988,-0.029374729413428297,-0.018341876101236606,,,,,-0.029071095158096215,,,,-0.027949334629994618,,-0.05121592664262179,-0.02995941430756069,
IL36G,,,,,,,,,-0.021609741229854044,,,,,,,,,
RTN4,0.13264022057112287,0.006078439220001938,-0.22962203047507362,0.017181846203945677,-0.017686190350984222,0.04870859185984009,-0.1905321375716213,0.1329943263884399,0.06525153706366221,0.12642275890396967,0.0692361664049296,0.005358854421273576,0.010017538730581583,0.05245975453475646,0.043826113486004875,0.039066504736456585,0.03750133355032535,0.09517989033208993
HEBP1,-0.017169552035196562,0.014056958645782856,0.13270485708259847,-0.04582008659828887,0.029360346896735383,0.022977280346181756,0.13774265095181515,0.11563857401396545,0.02547948458357635,0.08037088818132555,0.0023570668171591876,0.049205664108169005,0.04207550690278866,-0.025023690003027628,0.05890877764689049,0.07353259827813143,0.024869118447263427,-0.014178205864785347
WNT7B,0.06271169026584972,0.007170978628857843,0.016941839411016825,-0.05713233926823802,-0.011265377389725531,0.005852612636833634,,0.044042426741304305,0.035851504423511676,0.06160357404207155,-0.0049351722696198115,-0.0008396725003045587,0.02350045516159464,-0.0553550373025877,-0.003044470907827566,-0.051215873535553194,0.06949192447193528,-0.06094879189190618
PTMA,0.057032022126855555,-0.023370155058977632,0.25457749685320813,0.0845316374963645,-0.06776004601753523,0.020145334223332124,0.27742170615532885,0.04783607583868936,-0.010707343300803201,0.039486004814001614,-0.00526918785101098,-0.03981271760403525,0.023493036723368586,0.08293263635113408,-0.034845455877881217,0.10344222413800822,-0.03628181649651448,0.023081703470449588
FASLG,0.021146052282319774,,,,,,,,,,,,,,,,0.03769087465286965,
CEACAM1,0.04442868325118203,-0.005337404625547515,,0.00163953409581955,-0.02884740144804773,,,,,,0.008200047374955296,-0.027700653207209103,-0.015399744224654443,0.016312472939552618,0.0006688808840931065,,-0.021432400067446237,
PDAP1,-0.08398400808261647,-0.005873170949601064,0.06870639670047816,-0.06665950919787056,-0.009488868233714653,-0.016279373386449848,0.07153731234548806,-0.0678736719796487,-0.03801634312043893,-0.02847885653832363,-0.03097783377968033,0.017515183739607584,-0.01963684519086075,-0.03306412290717812,-0.028833374361007018,-0.044532917470338086,-0.005383324525851907,0.050777507985283805
QDPR,0.1269067466145965,-0.044025773769604454,-0.06192515916407825,0.1434100314833645,0.06729670760202132,-0.05154979031566558,0.16342638984843302,0.14633379382153597,0.025486151934882836,0.08348314872987173,-0.03156781084033156,0.0009309057956072272,0.08317100637754499,0.10270630996967645,-0.015705779613029786,0.08765621333191126,0.06978248270447024,0.13333062054410544
POMC,-0.007624052299308858,0.011019812277660685,-0.009719094991992031,-0.049829044973247846,0.00594032583360545,-0.013334254883819724,0.058686129978661745,-0.0014228979306836768,0.043928666676841185,-0.027166551896386767,-0.0077190130212833824,0.06458095626598742,0.03802130519048562,0.037139049038165825,-0.03147211383293363,,0.07901413254900334,0.06783441466331226
CCL18,,,,,,,0.15622201550004935,0.039073384222609135,,,0.007303415865629333,-0.005840239849933716,-0.03760515563128296,,-0.04216808646663433,,,
CCL17,,,,,0.0012225195507186096,-0.026418418965850905,,,0.047867796517630457,,,-0.019652272701212115,-0.0222304975755132,-0.01696982562524209,,,0.015268334093711615,
VEGFD,,-0.04123680560416764,,-0.009606316892370745,0.054377620629512416,0.06760879453714334,-0.062406655867781664,0.014216575653876316,-0.004904595702150417,,,,-0.015399744224654443,0.050202753879280776,,,,
TNFSF13,,,-0.020166105882107956,,,,,,,,,0.04058865620117085,0.01051088992570578,-0.047484598302152944,-0.021603858495134676,,-0.022749903130524718,
WNT5A,-0.0014841261090462238,-0.05051801243403345,0.22716819509410788,-0.029338009973385197,0.04331783983547594,-0.06357603590729244,0.008527623702657361,0.0418045142909095,-0.03894598607405812,0.032549109212158346,0.056045903625163665,0.02465378035245242,-0.00507525541686261,-0.005432545717267693,-0.0028362780812349365,-0.046035855441030935,0.014002261032839783,-0.046348159585482746
CXCL8,,0.02231986983859775,-0.018962324941130506,-0.03400529349395241,0.036045020647816985,-0.018045850183794704,0.14326240374298363,0.023984130442482536,0.02580968774810986,,-0.06331325073926293,-0.0750920553237749,-0.09551721011413143,0.03161238758267864,-0.01173467833106168,0.05292462613770226,0.03795406633168988,-0.01316645849355782
GRN,0.12319562669285883,0.018523596448800757,0.13121563212730802,-0.018501255014612163,0.036472404244577095,-0.02580193834494253,0.18015296144447643,-0.053419405460865314,0.04557226513046007,0.008894453199908762,0.05860819010790542,0.026487978609949184,0.03850658377847756,-0.10647325659501619,0.022098013698129457,0.04530056917328362,0.012875849440349599,-0.06850121314502444
MIA,0.08295462078496864,-0.0009329571273516422,0.05723110776149849,-0.004408633478533786,-0.007305948381133226,0.03023800939330377,,0.12423278178276723,-0.0043057680854820726,-0.052871588283616634,0.05280047268594212,0.09795420297553013,0.02454068839228156,0.008730590049670382,-0.037324422260805755,,0.032544403259416134,
COL4A4,-0.007595495455403114,-0.03927546096581974,0.07865399848595932,0.0005651156134952273,-0.011855528865807303,-0.037023188364000974,,,-0.028107505895063254,,0.05433150209851258,0.07152609773994086,0.12609077574432154,-0.003876805946141287,-0.0002123341865658724,,-0.041001985920500826,
TAC1,-0.021979638757199105,-0.03806076844934354,-0.1873044179680796,-0.026767188697302914,-0.001012917653945527,0.02557861079991811,-0.15172304633210168,,0.03166705171562581,,,,,,0.04940441314846517,-0.08180706468214022,0.07154915566141085,-0.006233954252525791
RARRES2,-0.10594155494908516,0.002518369127033213,0.14449467753277223,0.012330559745927283,0.028621495086054983,-0.014159528806821002,0.09175244834742298,-0.09382609377970678,0.026361496447093923,-0.043594113084332496,-0.02894904170109669,-0.0329723297128285,-0.0065372907662137715,0.050619223413498476,-0.020816207602792805,0.013965144606877027,-0.011066785588276931,0.07246480781315554
FGF7,0.002742588048745895,0.048246303044434405,0.04562242818970713,-0.05555226566747712,0.003342930200612874,0.009527767501376913,-0.0160014515714608,0.07906428938411811,-0.01940667037099389,0.05844062570442177,0.06943353912744021,-0.01646240099137395,0.0023010550064879644,0.03438693961354155,0.028305836921438263,-0.012940894920891642,0.006561921910848416,-0.0650970206046094
EFNA2,,,,,,,,,,,,,-0.014636426287262787,,,,,
HBEGF,0.02765249789371394,0.05564467737814551,0.13696809630205417,-0.04490930329871864,0.04160791329134017,-0.008158324023167116,0.1612476106782936,0.0444248458251126,0.0013347262245291972,-5.4033161711658796e-05,-0.017561486150498115,0.016977892805548157,0.048295365051559916,0.021221053140366073,0.013714075162690898,-0.00930421670801617,0.023160081545598146,-0.02541091969336497
CSF3,,,,-0.020623286980599738,,,,0.010071985089068132,,,,-0.03658656423741014,-0.045538111799592565,,-0.027581416551635905,0.0014618432783017727,-0.014699825317102379,
PI3,,,,-0.023222093338080587,,,,,,,,-0.07595547849510383,-0.10956215151345897,-0.006460376668477601,0.01980737282594986,,-0.031937836875855434,
PCSK1N,-0.12640014495251858,-0.024312385948642025,-0.09596427569032297,0.02491251451773532,0.027053735859506545,0.0049677860268872295,-0.2308881666600819,0.047712571834939564,0.019122394297571812,0.05080837916002664,0.03319463231259167,0.08140639967804703,-0.04032220185857384,0.024465182903654296,0.025857370812122298,-0.06735371875559348,0.06958897787776057,-0.0673684322236412
NTS,,,-0.037295782769053445,0.02183907149524897,0.03440397290449339,0.008119689738925564,0.10825078623715337,,,,,-0.03665233228225202,-0.017831707972664833,,0.03611872205631501,,0.016424872406218528,
SFRP1,0.16227247935945466,0.001973542216563729,0.1634148402016833,0.08884771746379178,-0.01588608199026865,-0.026418419231906087,0.20409793677872792,-0.0032621985711665954,-0.03853353335474043,-0.019781041800969467,0.045536122288379506,0.035508821966599775,-0.008832873260524433,0.06087719709826863,0.0555277940096609,0.06940901991371509,-0.021262593486190237,0.10582682447068348
CXCL13,,0.013875721248811536,,,,,,0.07162681359964042,,,,-0.04414303376738023,-0.03760515153878903,,-0.0004517907989472247,,,
MICA,0.027877848964510704,-0.046648770005224535,0.005446350269564258,-0.05162086453828765,0.03166203969749319,-0.022375276489635356,-0.01989904398859565,-0.0876702036126602,-0.0030484516704215718,0.016685297723084008,-0.02924869853852207,0.01694035540407995,0.012134776281916046,-0.013409687173069436,-0.012887390294707125,-0.03732289695261368,0.04574485957754032,-0.03756267738595124
TG,0.047027515642677334,-0.021223940470457513,0.05275925392508587,-0.024890462261852257,-0.023046594027357342,-0.019118895080401915,,0.01692676086669809,-0.018353178009886274,-0.03725596589626065,-0.05855129576853131,0.006988827130484536,-0.021961697666923352,,-0.0064598671796387685,,0.04677287377776455,
ADA,0.026270223748548472,0.046069469859678615,0.09522810827670866,0.007229359205282837,0.021392449112509006,-0.031050623153138442,0.21330777385031993,-0.00540932427581946,0.017605456260303427,-0.05161424856067671,0.07138850645633833,-0.014363437213002914,0.036499557237115746,0.014489127461712874,0.01259485823088098,-0.012114569900285928,0.05537442224589228,-0.026841759821331072
