,UKF266,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
IGFL3,,,,,,,-0.0352199610283057,,,
BMP1,-0.0002650217113312842,0.009228267111636943,-0.06391677941877466,0.007268323074356271,-0.015582423560007913,-0.09387018223218005,-0.07485226615070731,-0.003681288634155386,-0.04137047580130515,-0.015578454215604562
NDP,0.01070690212418349,-0.017925124243691765,-0.009150700906652213,-0.11581088016252776,0.011771283358625262,-0.003361488663051386,-0.05448825848625909,-0.008464038646016907,0.12203969797536915,0.1332476114606334
TNFSF18,-0.017104132855909972,,,0.07146691637120013,,,-0.07385823699674632,,-0.04839727789612796,
RTN4,0.05334144867714908,0.01161817411939864,0.0238678463877404,0.0057599698224585225,-0.011886998907834082,0.05555672643031816,0.09761762690819888,0.06539195488544543,0.09637382800543173,-0.04873990393715982
HEBP1,-0.014109371081813841,0.012533575384875626,-0.005991087732422681,-0.05955867304921932,0.06393826207983586,0.014390639863309495,0.07500498952557395,0.013619957869820528,0.02964440554308726,0.11541058587000186
WNT7B,-0.01074200642030814,-0.01986326617161433,,-0.07064889677927579,0.07245377133399089,-0.03693321303814373,-0.004586081853898924,0.08535004191975253,-0.048397227711786374,-0.007989796440876074
PTMA,-0.06721718081782738,0.030551070229924388,-0.026812109634137524,0.09074928996355311,0.06720890027772057,0.08948607320078034,0.0956793346877138,0.04492020093782851,0.10806707324911528,0.06324093229812824
CEACAM1,,,,,0.05862721987544891,-0.0331222970247418,-0.03554458428835817,0.026298836129166874,,
PDAP1,-0.018823245085362525,0.012280608282038743,-0.05651623074656129,-0.04565690652799538,0.10955057582901327,0.03799781041486462,-0.031516806786731216,0.051246251263076074,-0.051263126320464834,0.06131091259429445
QDPR,-0.002883100989483608,0.12375454676450792,-0.02858781299302272,0.017183175964794517,-0.08075946155947154,-0.04250046224579764,0.1317423075325091,-0.023873960794407144,0.1778587620996623,-0.04492308422522291
POMC,-0.012493840297542943,0.04245531623421528,-0.022605425998791142,-0.03556106130118848,0.15841836979570334,-0.05588511199816293,-0.07697723366861199,0.024989036499456736,,-0.0954336414934915
CCL18,,,-0.04915771054470531,,0.01030316179071535,0.06983141743449432,,-0.00791495853555165,,
CCL17,,-0.024585155291613286,,,,,-0.03540709937338565,,,
VEGFD,,-0.018033508725143328,-0.04150582256592006,,-0.04234183767059883,,0.015407292727417114,,,
TNFSF13,-0.01658744074684105,,,,,,-0.07027717921780142,-0.011314336551021202,,
WNT5A,-0.03459825484608927,-0.02669519302872981,-0.028743692214936195,-0.05945819424747911,0.04545567511899103,-0.0030704762202728277,-0.10464559727083739,-0.022719354847814885,-0.06138215743239925,-0.08071215998154672
