,MGH258,UKF251,UKF259,UKF269,UKF275,UKF334,ZH1007inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,0.04144742113342992,,,,,,-0.026703419433326735
BMP1,0.05122904530635793,-0.026544916771301334,0.026103325149196593,0.052667965003580806,0.021841265026834637,-0.010543530976348092,0.04481395890282603,-0.005861209949403975,0.008668851480733134,0.06007290857653354
NDP,0.012409463336055323,0.022226797263317152,0.010632593966468195,0.014881590525922748,0.021358625377969738,-0.024473260508029657,0.09585860632092627,0.046918433483847936,0.005299952983491256,0.08311603016993455
TNFSF18,-0.03443720901007147,-0.015098961062372795,,0.016856176496871874,-0.010015229968259862,,0.011291200735687216,,,0.07315079812786374
IL36G,,,,,,-0.014714569778302834,,,,
RTN4,0.003782186170905712,-0.040848322771024806,-0.022879187692185266,-0.11987065188089736,0.037413812505539996,0.02360519031416994,-0.08093246198528588,-0.09016804663218118,0.01953461596025912,0.023937473275923323
HEBP1,-0.027696634869285235,0.015751577267414305,-0.06527332795469694,0.0317198584852994,-0.009536010788572594,0.025941103045818804,0.023645440731649463,0.023757183692178153,-0.029883573746299245,0.01789409720778801
WNT7B,-0.030338102534493035,-0.017227635528266325,-0.022088080827883057,-0.05032650853951215,-0.01935578030640034,-0.01617300791396889,0.046015517523128616,0.029535168762589634,-0.019769039206917804,-0.0013989863502458333
PTMA,-0.026931790115874862,-9.239315203318045e-05,-0.04463675901463938,-0.08829957824078015,0.016277882579246176,-0.04470533559663283,0.006958161880030573,-0.014976700311963445,-0.003959192119529889,-0.0742917804500169
FASLG,-0.014398358051016812,,,,,,,,,0.08582534734514644
CEACAM1,-0.019138770857382435,-0.013221174095439842,-0.0143104657509345,0.06064089857486199,0.0016187619843358008,,,-0.019200743031098828,-0.0131209988366157,-0.018548545740777012
PDAP1,0.04204178121049106,-0.004141179443009798,0.04408213689615012,0.06710893882498065,-0.004961367700741025,-0.008635802439834181,0.10710730111667156,-0.018816004747994886,0.08380992383357662,0.04672639436242264
QDPR,-0.025122827035885528,0.007487741087430942,0.05907039698373732,-0.08979720268578048,0.03295101376243374,0.01270201070457224,-0.04675298000311628,0.03276463668564404,-0.004337537015305092,0.03764960702849024
POMC,-0.016927458802450765,0.03166254931804954,-0.023751664069593125,0.021404994040423175,-0.011620880869438622,0.002568571697645706,-0.05305067062221744,0.07789890989015358,-0.02146423044840482,0.011768046949993024
CCL18,,,,,,,,0.062169921159788734,-0.04518538345186433,
CCL17,,,0.024705309115175864,,-0.0124909416758015,-0.013442177238974007,,-0.011977952690172506,,-0.020991817733351563
VEGFD,,-0.018936679335939496,-0.016470168292611942,0.12634270098246259,-0.013308041857183905,0.1042039390377399,,0.15026974924143227,,
TNFSF13,,,-0.010197152070323188,,,,,-0.0301279509307596,-0.014734002290912367,0.016843514213431967
WNT5A,-0.04203611745039142,0.01068000029855884,-0.03465571976417894,0.047368128345553616,0.02065931712076889,-0.023788682670523243,0.08064995171878252,0.024743502589195485,0.03274673848230549,0.003944896380489693
CXCL8,,-0.017731184117393724,-0.04603761028797008,0.0034005805887974043,-0.005976233903651339,-0.009184401316601335,,-0.04865562152260747,-0.009569088968693101,-0.04237531689773377
GRN,0.0047923503043133765,0.08118545583019854,-0.0670620072815133,0.09960615517773111,0.008666445340965799,-0.02392016289912398,0.018391991569015415,-0.016769577124265814,0.02861185661561004,0.050091142936240514
MIA,0.01058251643267766,-0.016840958305931335,-0.010811162943710522,0.0007869473308243551,0.020548370227566115,0.06571601762033069,-0.014136347681837642,0.15865143028966114,0.04413714241045241,-0.006635712529509063
COL4A4,0.018641085911075498,-0.02832147584950722,-0.02696100289705889,-0.013593903615061501,0.008207675056485288,-0.019139047172651403,,0.011028654744364935,-0.012015250062942665,0.03148342078186583
TAC1,0.031193675043856894,-0.0107482491201516,-0.008793009320086951,-0.04427980500475073,0.041080863733332786,0.0693822277419712,,,-0.006205806088940929,0.01918892938463854
RARRES2,0.006033079599604682,-0.016837106513168217,0.06548289919686416,0.050471728124203835,0.029424251602796728,-0.014339855378714676,0.007357082159876241,0.01771195207792778,-0.007292076470203683,0.004896656779780886
FGF7,0.06500292862040545,-0.021373544172825193,-0.01511256450973029,-0.009306843001677516,-0.009069504644121502,0.041483152727133654,-0.002313201339109847,0.0372374875232881,-0.011835101811851845,-0.0033870319559448823
EFNA2,,,,,,,,-0.0182490212782517,,
HBEGF,0.01969911660007507,0.06412726628243096,-0.024363650819361236,0.08045194585924412,0.02047887967770149,-0.053369960677619156,0.10789460520900167,0.027962324572538447,-0.011434346019998196,0.05475970726065122
CSF3,,,-0.017620339956533455,-0.01438208837458146,,,,-0.011476268845846054,-0.01881074414322479,-0.022101145703112914
PI3,,,-0.030407387018798616,-0.01619442133279872,,,,-0.07792922219195435,-0.039596153284748616,-0.048018447227009146
PCSK1N,0.011352330325975823,-0.026079574205720164,0.03771721621020701,-0.023441964584485612,-0.011119822456694961,0.025996652543690765,-0.002655991624823468,-0.039524476027467594,0.020917048366706353,0.01862828497679718
NTS,,,,0.06899620329429948,-0.014897746114412816,,,-0.022232969430790426,-0.015123203694024553,-0.00671732829378276
SFRP1,-0.021070371053395903,0.02246212241601882,-0.012898953356042102,0.051017542665397014,-0.027661989091796145,0.02157208155635625,0.01844831979244857,0.06368247310751142,0.04997345452852599,0.04560949649569151
CXCL13,,0.011304059565217477,,,,,,-0.02698391066944135,0.0553326557428571,
MICA,0.018105462079468542,-0.039548904723887016,0.05023076175406082,0.06842658508857474,0.055856692009978066,0.04267112772234565,0.007023409267901643,-0.015618776747799596,-0.050576682766052906,0.06537553314431857
TG,-0.02100843283091632,-0.017978132910721777,-0.01392001430708704,0.06998150474693976,-0.012584151037501903,-0.02019204694365112,0.023713849555974328,-0.027382332282777908,-0.015481531486694143,0.027005158498561378
ADA,-0.010719901295103338,0.0024475300123275256,0.016283633176468516,0.0071014541079602415,0.006490475613124662,0.0422590479955452,0.010837804295579876,0.020538505479193503,-0.021365982155894796,0.05549288054484658
LAMC3,0.0974183697203629,-0.010504826101565754,-0.04062746980908537,0.0904402180260752,-0.028844305795923807,-0.04399247050356912,0.097432174358632,0.03661595810362505,-0.016171721317915735,-0.001629371011072873
CCL7,,,-0.01006414810360913,,,,,,,-0.023159858329148988
NGF,,,-0.010295022709802532,,,,,0.25289764294547185,-0.03229393700330592,0.0028280246160650733
TNFSF15,,,0.03966221917865789,,,,0.01677951961676513,,-0.01168114917231185,0.03426232859369338
HMGB1,0.038157377348188734,-0.015284667355035848,0.013412951389081003,0.08677735174009439,0.006159830439697468,-0.031371506643995024,-0.022314153090958425,-0.07833508388584236,-0.023568854819563625,-0.04170592535161574
ITGB3BP,-0.04137398006841766,-0.016445299267621,-0.005113677311392743,0.07423589567981732,0.05041644337592153,-0.021221350587562967,0.039270095942720205,-0.03496006399959368,0.03179408844477255,0.04824327942887858
AANAT,,,-0.010197153158645817,-0.012973032920805632,-0.011317000570033034,-0.018031395007942933,,-0.024558239972784023,,0.04505022318542934
RELN,-0.029128030074007737,-0.03421121054101738,-0.017699974281520408,-0.03806694900905227,-0.002303559336461309,-0.019962310627326518,,,-0.01410956228682361,
IL15,0.050047694422975,-0.02290386627885976,0.03664584182653142,0.014084079069860594,0.052842008826655754,0.06407475716977164,0.07740503346846944,0.052787735984924346,-0.028493917949119773,0.06929646939051322
UTS2,,,,0.02436007235650639,,,0.08470980606826062,,,
BSG,0.030114358630474694,0.011110944350513538,-0.021658460495075988,-0.007946678162396147,0.008955884318217991,0.00298705433137242,0.07295772029325089,0.00983334499872731,-0.02025467883415869,0.007620294470111267
ADAMTS3,0.0493535375658665,-0.03158888296763952,-0.050008256658769665,0.07463483721484267,0.005886393299628411,-0.015102224267412694,0.05828139703594642,0.0038793786933714602,-0.023369187571125764,0.07184841673003876
CD34,0.05622205039937842,-0.04503953000668166,-0.012671301932988068,0.0997668309552059,0.04906464991880146,-0.029711289577778053,0.03915363674032224,-0.04865328409682276,-0.04437601855688837,0.023997291175801093
CCL23,,,,0.010839529945657605,,,0.027267771791137558,,,
PLAT,0.00566552990607166,-0.007132094102653424,-0.006786775985782824,0.07526855107341125,-0.003503414188329112,-0.003527368328694075,0.035171340669672244,0.03522364522163775,-0.005766141144327461,0.05212279769853302
NTF3,,,,,,,,0.043534855551383055,0.053728231676218534,
LTA,,-0.013221175452169122,-0.01289895275260879,,-0.010899450964852477,-0.01672328753667694,,,,0.08429834317614456
CKLF,0.01031791895852146,-0.0002604929733535658,0.05171360309124448,0.09369029331284937,0.012002883772222873,0.011530682701941894,0.003383178044154418,0.025270472198320886,0.028638611867771068,-0.02043422559956212
CD24,-0.005350244913413497,0.03161420287355314,0.07130473991618434,0.0267365272183666,0.00644545813388198,0.040429491439077724,-0.09553451785654957,0.046744737557068816,0.02334760012217348,0.05729680494755892
HSP90AA1,-0.06574197315590415,0.00756246902371375,0.026026483093897844,-0.07863093325202739,0.019108318138754805,-7.769198415540009e-05,0.05930924701182786,-0.11549870198403865,-0.026088989246357695,-0.10398513022982049
BMP4,0.031300215225492166,-0.014015221004679545,0.03357814578429903,-0.039736842373429615,0.04028135198968141,-0.014249968236393953,0.071769705051771,0.08928246588582936,0.0086833484945585,-0.01650974672970403
SCGB3A1,,,,,,-0.011669288886864845,-0.046300484390791305,-0.03493331633191186,-0.007888209936265872,0.05706021962711965
IGFBP4,0.03281176866665498,0.007706496909696446,0.027269517631667933,0.1028376718018852,-0.0021093533210805233,-0.02435879603504751,0.02094133954657282,-0.024015803293644087,0.0025994260567663375,0.018694168704650318
RSPO4,,0.009001232669699806,-0.0197441070895783,,-0.012676725013808721,0.06646911386417069,,,-0.016336771659289914,0.11558934395608973
LEFTY2,-0.03478782971338983,-0.013383551602387888,0.014220442554716765,0.06255956867836183,-0.03121834539237504,-0.004561065870988387,-0.0880660114050158,0.09754261466348765,-0.022216930153950577,0.06252534625051336
PF4,,-0.012026456019435494,-0.008780770944858605,,,,,-0.016726491440118667,,0.016529463018959505
ANGPTL2,0.0007888173940269703,-0.008245477172289854,-0.016181171666045054,0.08498424492331375,0.018315436330608264,0.05029107266329939,0.0954661425268627,0.047781665937435464,-0.035223182500885956,0.032226771126844536
LRIG2,-0.03229083248571315,0.012597136038380757,0.00023157545336842495,0.040279608048284926,-0.010350322416998112,-0.020066758371568235,-0.011846506420317112,0.027823781017649398,-0.05222649954944903,0.03299136125109087
ICOSLG,0.10107017483888295,0.042247110881036,0.015708675490735863,0.008380361710948657,0.0066843458410431895,-0.010772670339993146,0.05513441855149982,0.021299259088280058,0.0432108373994864,0.02341180649322054
WIF1,,,,-0.024530252717980205,-0.009782328436271448,0.08033580023608984,,,-0.015186611668152036,
NPPC,0.05499927425696015,,-0.013621141130011453,0.03229136568956675,-0.004384205864425651,0.04729823099159724,-0.03314862559242407,-0.03164764314878386,-0.008941213392321163,
LYZ,-0.05969218615968156,0.01047217842565488,-0.015231501591976695,0.0723394659014084,0.03548238221865045,0.019394913349368676,0.025010627402282534,0.0011603774275523327,0.018921681511090117,0.01628388433664374
EREG,,,,,,,,0.0394727849284193,-0.020347724540767182,-0.032535887775942504
SPTAN1,0.027287367596641576,-0.05864339451209206,0.0381365671860129,-0.020853840920855446,0.020057160894465693,0.04695897304754305,-0.013502973483424585,0.0032607183922639103,-0.017309478526729944,0.07344924382612276
PTH2,,,,,,,,,-0.011425086575196863,
LIPC,0.040792120313321856,-0.018100459058062242,-0.015779699356485575,-0.03393078588042616,-0.02370042838185441,0.01379006127779522,0.07086449632194648,,,0.06216812900493278
COL8A1,0.015827460877051735,0.017687738281827823,-0.015227682147750648,-0.01132940545324412,-0.011145252253103895,0.022574678012003878,-0.003435361676870071,0.07277175292133714,-0.013328983004440262,0.05106218408003404
