,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,0.018982620220694902,,0.037945031743020885,
BMP1,-0.05667761365311413,-0.14938530206928685,-0.1091773762246689,-0.10202140146885025,-0.07941553482812216,-0.01912663672230605,0.05724633414853889,-0.07547279180289204,0.09904078223390184,-0.12983666801145094,-0.04839342501921767,-0.031133512814699445,0.0779071221862854,0.06259178128656062,-0.006737987459830799,0.06357004547361332,-0.13545768341424463,0.02468741546322879
NDP,0.16872645574216827,-0.08285913896086908,0.0025498620596197605,-0.13381805412560063,-0.06568207451752198,0.030712040887810058,-0.1005494898827846,-0.09702737553879966,0.06241841593134226,-0.18678844566154543,0.22473375418073038,0.031087640179530612,0.06207381149711078,0.053073346551232796,-0.013803993935334238,-0.08701864647141423,-0.07640064791720205,-0.10338340263861567
TNFSF18,-0.038134985037800835,-0.0419140385816229,,,,-0.016121189240489858,0.025533539508649308,,,,-0.09166932053434008,,,,-0.004586863687663827,,-0.010513278430647489,-0.009914689196426235
IL36G,,,,,,,,,0.029680968558004367,,,,,,,,,
RTN4,-0.3087915308604794,-0.023467136225870027,-0.120735756267824,-0.06402594739407076,-0.10294823930830649,-0.059643336658892834,-0.08622511983508205,-0.03098664820331401,-0.21438980825350298,0.02080256884348327,-0.01379965022783055,-0.12612422863167477,-0.06679229706340849,-0.15625564301828776,-0.07560666798306483,0.07517908574617624,0.1760887908392608,-0.1998009484259931
HEBP1,0.03921230773615563,-0.06976651743378914,0.14362750306761313,0.06146150040907846,0.026562035723875443,0.09640943722204624,-0.07759130979769822,0.005287531130349404,0.08210431151426058,0.00017034774943445032,-0.06020487169331253,-0.01578151157777416,0.049339562864340734,-0.017572871234269098,0.010801970460812545,-0.011772639416528593,-0.0076494690775327605,0.06156022024611773
WNT7B,-0.13891310936773973,0.011077717389782455,-0.008448515699096966,0.03136747475046537,-0.0767581877539437,0.02430883950906451,0.13656424341855647,0.01356305932153707,-0.037401912676207474,0.09209689547510905,,0.0042989820712464166,-0.01511363882971677,0.10271590095685482,-0.0029874469473058184,-0.006608542253425796,0.17222990368964175,0.1460525322215698
PTMA,-0.023260994634228645,-0.1681861979319511,-0.26057844554870974,0.08636165270823541,0.07644691317131445,0.11481013747679347,0.027551324711188204,-0.13322016575136608,0.27347624154589545,-0.09409204998241465,-0.16688840779176778,-0.09465153552135201,-0.14354192575408445,0.09122887560499338,-0.07569449448078526,0.05935253298471424,-0.1155575815412134,0.1630577066060283
FASLG,,,,,,,,,,,,,,,,,0.0322782710063701,
CEACAM1,,0.04561899917384564,,0.029166717463723294,0.00900797653182435,,0.02166772821366559,,,0.015024989029968985,-0.0255163167218714,-0.0009234659626273086,-0.08065953308262835,0.06118327022292463,0.050410925291581775,-0.03991699300541048,-0.025787662975392967,
