,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.047621561131830595,,,,,,,,,-0.03783761679217275,,0.25418918476515545,,
BMP1,-0.016361814408474246,0.0761602771328615,0.0027085170956173015,0.0023189559324373653,-0.08156614840220522,-0.0006713439838881277,-0.011822463952863257,-0.040287627400457104,0.08519982723980765,-0.04870671943318819,-0.05567192243390601,0.026911394366625107,0.1381739120340275,-0.03320884230111934,0.00844293770594963,-0.08431014887337221,0.15233029437635162,-0.04397301513957592,0.025644789266643403
NDP,0.06773986422292406,-0.08845460156299195,0.03676930616892185,0.03248659090704127,0.00502570092580862,0.05682782762785086,-0.013262710148613391,0.0006321867765837518,-0.020759207886897738,0.02378178300745361,-0.07808748058057381,0.07352856862384781,0.13199203752311614,0.03826251063716476,0.015131377632492601,-0.03357519826907224,-0.024422151683362016,-0.046285626387307134,0.060620950291870396
TNFSF18,0.028255462740137734,0.03929512400130208,,,-0.020001430423791804,-0.018777282901708405,-0.014568918488428362,,,,0.030750230706838043,0.005031498627938865,,,-0.03902126632461049,-0.037760144190801925,-0.016060861894417796,0.01200332838367668,
IL36G,,,,,,,,,,-0.011351503684605656,,,,,,,,,
RTN4,0.10214933223811516,-0.03345283068173272,-0.0564835955592351,0.03768627215959989,0.021897835931434052,-0.035910149915152886,0.005194694325096451,0.009667680594674776,-0.03689878244252207,0.13907839886007,-0.08438281114805725,-0.04866070290266491,-0.10061775820843809,-0.06783428296541238,0.08656175227648527,-0.010545239276453865,-0.017328237757424432,-0.02250740315714457,0.03603129079669862
HEBP1,-0.010982833209364338,0.012776242661963925,-0.005554214913618117,-0.009265945670024327,-0.01661712872240415,0.042383751772144485,-0.022144843510621934,0.0009185021994119034,0.011469828307253278,0.0022779929725394387,-0.006296922470513579,-0.08542338620002263,0.0007038463471951644,0.02132906035555551,0.03370380548935674,0.008910129647107776,0.05033253833776514,0.04261049193786073,0.18342563275337903
WNT7B,0.03741628110650828,-0.004915284882615516,-0.026126253124054283,-0.07407529531360534,0.028491538596920364,-0.05233681157738601,0.04360026263024218,0.04239635093401818,,0.010669812996549254,-0.029779746421343647,,0.03810094295329787,-0.009233664966243896,-0.06265788426013867,-0.03776010503636893,0.04659907225722629,-0.029140233920722743,-0.011702775564953577
PTMA,0.03463610853005134,-0.05158606917012029,0.04817006188882735,0.00744071141832568,-0.06366611329380749,0.01752325464958785,0.0811133491763508,0.04939520084247784,0.04158259621593557,-0.07078044868925361,0.0028634792932585155,-0.05589964412982545,-0.15786060866629129,-0.013645156361631949,0.03609518080106007,-0.036082493926854996,0.06855033773948432,-0.02040740093806323,0.11753545163762628
FASLG,-0.016985067559718677,,,,,,,,,,,,,,,,0.023627108401507974,,
CEACAM1,0.01505723643120122,-0.03082095512135585,0.008751275028037346,0.001053916775748756,,-0.024709834824581643,0.001840048822417893,,,,,0.06558334736179613,0.1500913249922772,-0.016268858130413115,0.02309453886783349,,-0.02762114502456766,,
PDAP1,-0.02656714627572402,0.02944068428703573,-0.006750360166554166,0.06986709012193912,-0.04700186330977926,0.02153197695054798,0.025799803446243948,0.024603980326384247,-0.05288621254505384,-0.017040605689718522,-0.01880195949280227,0.03728448825544953,0.0009110765013076164,-0.048050892160070705,-0.07422219627655692,-0.03225282331706587,-0.053581951225461125,-0.07352187128902689,-0.024250994432431137
QDPR,0.05108623953731291,-0.020135930857836784,0.010132481295244723,0.039342798826014415,0.07389982654812455,0.05903266793336236,-0.021061880072537512,0.006317254260149255,-3.088280873966582e-05,0.08184080854075337,0.030836252968814756,-0.06951069251958794,-0.1639735529751907,0.024334328217576338,0.08087598030406806,-0.12634019594219753,-0.012076876229930122,-0.004747101150624191,0.02836371569428633
POMC,-0.035402962192920356,-0.01259845790726359,0.012436265950657832,0.031341490768416726,-0.012845940086642142,0.01515809932530603,-0.00041088688211105565,0.02932567905748099,0.03078909556475525,0.10664284785880093,-0.052215671102429785,0.02223564448638241,-0.05015340354197725,-0.027316732524573655,-0.0001238081696518431,,0.03840158072105549,0.05996744485568299,0.110370297847995
CCL18,,0.000557249746099304,,,,,,,0.02550518870914203,,,,-0.009660505900512305,0.000759923932866048,,,,,
CCL17,,,-0.017485938406221858,,,,0.027736077963119332,0.013812720274793829,,-0.022867274985959925,,,,-0.023485118060954838,-0.028962204643543685,,-0.017993610024114547,,
VEGFD,,-0.028573213006551718,-0.019481266351821534,-0.01795062791518871,,-0.02118358363503354,-0.005121811844041822,0.04994836050294589,-0.023650952863598376,-0.024507566878262187,,-0.049543610562107675,,0.033215742503831115,-0.03309706730015273,,,,
TNFSF13,,0.018849605966974443,0.08233504130636365,,0.008573617489704389,,,,,,,,,0.13622933275977697,-0.02314326103405676,,0.08683128310474393,-0.028663515815460006,
WNT5A,-0.03988261144330222,0.0150984091788633,0.023629222902288655,0.05572594998521323,-0.0018016941252564055,-0.06451068754261009,-0.03086347688437281,-0.02498591670305618,0.03724241756273923,0.0041269166084499966,0.08217885634693825,0.028080418498933397,0.18145331515769808,0.04941611917823972,-0.011814928480830489,0.006229841449760224,0.07638058011409823,0.024492439758859414,0.061871101685511645
CXCL8,,-0.05588165915530052,0.06165828282848855,0.016567450166053356,0.008988778083345165,0.023395453969510607,0.03899793422541529,0.055448733287163245,0.03976166445393348,-0.01812591761520917,,-0.05700960883441939,0.06940500120063345,-0.028587797361236275,-0.04841944275372746,0.016479771017508985,0.01573725894153399,0.05440903007919531,-0.04253011800469792
GRN,0.06213980040324205,0.04707889313579121,-0.0320241454323329,-0.04108424218563072,-0.017870150023666778,0.04277439652985149,-0.05810474462468375,0.008052637685509281,0.05623397569498701,0.04171871358680231,-0.007083885498561741,0.1111013536685802,0.008804791723796309,-0.002683557573722268,-0.09522752614420238,0.0512904503771928,0.09808224351046922,-0.017461412960860456,0.12481388888246853
MIA,-0.001792301024085874,0.0336687484857718,0.03276737764488235,-0.013781680441013593,0.060180344522291165,-0.02548928334155587,-0.0276873228775948,0.0005314085882666082,,-0.0335642359617778,-0.00032513472671282835,-0.020155907186802602,0.026859426798725064,0.07601866945350964,-0.08754287770402758,,0.05310467749990177,-0.031130655277792726,
COL4A4,-0.019670777853612296,0.015861798585581673,-0.004532419789206498,-0.05378277161789716,-0.02906024493305296,-0.01246060109775609,-0.01897033222543187,0.03618400179270527,,-0.03255855408581738,,-0.0149625712091108,-0.025047262908839053,0.005132859197258864,0.08829230728448424,,-0.003119075733741957,0.06462330293871142,
TAC1,-0.016985058318842283,0.005533435396471337,0.02907531880033358,0.036890838843327674,0.10237959018421496,-0.025898378495241785,0.014432730881246001,0.010394986697987649,0.02750514424952654,0.12371296685308966,,,,,,0.08061091934018146,0.045946259003088914,0.01184193732639551,-0.10825301932036051
RARRES2,-0.04474323301789695,-0.024537500349361238,0.025439553461300012,0.00438234586240309,-0.0765227475121296,0.016638332400073216,0.06908447205542108,0.03680966003678076,0.009294570648600424,-0.059431332206940246,0.024923526324193056,-0.14435241059779655,0.017781788111697706,-0.0014839181353325274,-0.007762796475754854,-0.05715016938060574,-0.02818086899188409,0.00885784087721688,0.05508844352892212
