,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.027452250893078404,,,,,,,,,-0.019505710245896472,,0.045868437641471665
BMP1,0.07697072033451084,0.017933281200604632,0.01733529206207781,0.06972265436171604,-0.024949935823592857,0.011814324155589652,0.043988867400564326,0.1173799570810546,-0.005514654250051748,0.03334725573927452,0.06019205442279931,0.04047111218080999,-0.010829593096813866,0.030958381815305004,0.038760356128784104,0.036282117228174406,-0.002776173931104821,-0.012149854027429487,0.16715368919305612
NDP,-0.0030242585769198788,0.04475903051814209,0.013600334697150362,0.0679387556194795,-0.027398338395430093,-0.07370215121740756,0.015269988702350768,0.006723593591171892,0.006207518952664375,0.021833160104756097,-0.007198931690660363,-0.054331841359958194,0.05235907542212135,0.06766561509872082,0.02780828193149205,0.02143578547298774,-0.05101743262381789,0.01203498890560576,-0.00019697051467582676
TNFSF18,0.11612461052831373,-0.00520112604227316,-0.030417245320997623,,,,-0.010165521303773779,0.0673293983653382,0.03054155730770752,,,,-0.024124922868578577,-0.046633839190441694,,,-0.020115894680588393,,0.020404261339833002
IL36G,,,,,,,,,,,,-0.021214448384404394,,,,,,,
RTN4,-0.02098952901874421,0.08935546131553489,0.019117497230187953,-0.00395579829189585,-0.02145251560007937,-0.004435402532172407,-0.08008386240539248,-0.11966717125929062,-0.02996149146460649,0.025402407943992202,0.011153729667849947,-0.06988939010084746,-0.024983605482582313,-0.06420101247993482,-0.030687416638408307,-0.008262852443891603,0.12700807113537854,0.05020499774550376,-0.013671335587829656
HEBP1,-0.009332428328005458,0.0315416213959891,-0.006965766614525282,0.015770861613945975,0.03398383268103855,-0.00931538542454401,-0.007610426953667892,0.06040227380369941,-0.03577229410724505,-0.0219420497949918,0.0157957181155258,-0.07059696309319444,-0.010507772992557497,-0.025085901851647767,0.031158281376901596,0.05356699760245051,-0.04218303577021,0.044951246188948676,0.11109364298661471
WNT7B,0.04039462229360619,-0.03411340215619709,-0.016840682740206652,0.14556947309291488,-0.005973793478269012,-0.010213779082482291,0.0548086297233214,0.0043773832851005945,-0.007298319481207132,-0.013874670776517481,-0.007860572455558372,-0.023317123557181553,-0.026559185355320498,,-0.02565596028134694,0.045167314986705384,-0.0019898226356479865,-0.014557809039194299,0.027147022899786256
PTMA,0.005125585445937246,-0.01641447868493029,0.07109125879509821,0.10681685102873134,0.012632993356416267,0.04638701830403606,0.08605146958162974,-0.02140075612614235,-0.05757343226442835,-0.012350354100949883,0.0906766018871989,0.046620839488893326,0.07342209960696569,0.002216412150544949,-0.059600001709392524,-0.06220914801199174,0.06975201191600433,0.07417354669714872,0.09631538490014768
FASLG,,,,,,,,,,,,,,,,,,,-0.02868927866176786
CEACAM1,,0.013913405975586574,0.008147867589677059,,0.016298426019756004,0.05927780989880471,,0.032320802971370535,0.014788959259727629,,,,,0.08291016725669301,-0.009637511211625972,0.009356576567430464,-0.02890444052817574,-0.024293742909523564,-0.007203151035859429
PDAP1,0.06266866118114492,-0.005709479342214277,-0.007432882774833316,0.01600654118928107,0.040511215048653154,0.0032084724022076773,0.014444500522079646,0.11785547167761867,0.01677634357783968,-0.005685126131455544,0.04801197839826445,0.049411900717833995,0.05322609568455785,-0.00800940295813926,-0.05466359459500382,-0.050602070592602834,-0.02643018793866428,0.022245046624241413,-0.009734244263004243
QDPR,0.04835226400929566,-0.01825658080509838,-0.029859314802327282,0.03255939607177265,0.0657385015388608,-0.025793099619063925,-0.0452995857200773,-0.11761075911547665,0.059481593609213707,-0.039853681477460476,0.023217151465615985,-0.014574662309859604,-0.05207318020321582,0.054261114872050285,0.00016383577424349953,0.021294914287849045,0.030603804207108645,-0.00028117790322247535,-0.022029479077616956
POMC,-0.007998779905739214,-0.0071805359346063385,-0.004719214385354113,,-0.03954222453882204,0.01940907721065118,-0.007830016535475267,-0.026198097280647224,-0.0253399691030727,-0.020499508490484358,0.0061731222978511505,0.0039527479079118685,-0.041070300315334644,-0.003712994673085014,0.08808921058262051,0.08870058702391831,0.003950128104813107,-0.0007770074133055503,0.07776659468246754
CCL18,0.04067978472377345,0.02015395601103468,,,,,,,,,0.029537130064195533,,,,-0.05573831638474714,-0.03812121258051255,,-0.025117353223074596,
CCL17,,,,,0.05953418671528522,,,,-0.005448877640146949,-0.017172952963201822,,-0.019380000877138842,,,-0.024430666205933003,0.04901445681994922,-0.025717152211489586,,-0.026003608738046136
VEGFD,0.02488463431606944,-0.004691168171462849,0.031948202488290986,,0.0582302586578982,0.08646767645817457,,0.05514969498544766,-0.029018916317290235,-0.012596568678336553,-0.01699307612641988,-0.02077014720332328,,-0.04457933026267348,,-0.024678024279951045,-0.027123658001609884,,
TNFSF13,,-0.0006121447560686174,,,-0.016976413763675327,,0.06706692718046701,,,,,,,,-0.04687877890682352,0.100784570064888,-0.027578319924709195,-0.0006329547464841161,0.09662162317834344
WNT5A,-0.0012184378018074513,0.024026637317617824,0.01803897325687085,0.08099395205246843,0.10095787259820892,0.05731614639101949,0.06879048321331206,0.07201600667732061,-0.0003898518452267349,0.04456108107291028,0.03352688825451331,0.053580984043646196,0.052065073618077155,0.059823716810927796,0.0811628219297104,0.0725023541986731,0.024647327580911576,0.022937657154160674,0.03159608911880898
CXCL8,0.05133037810851158,0.0009299216462523918,-0.017953415037640925,-0.06982182522100329,-0.03599332708840445,-0.02637247932148651,-0.0010359412702026303,0.089404737491194,-0.053949533475277284,0.012239175285309717,-0.02010127636480902,-0.03337699378002759,,0.005792765519434359,-0.043749583834413325,-0.03917679034476604,0.020258681528574397,-0.04416513296344273,-0.02065121527737437
GRN,0.022694785069613664,-0.004486825805216189,-0.04637468366812749,0.06981554189798762,-0.03553742231123251,0.03069194551855869,0.04597685376465712,0.0925145449839556,0.028224072407277912,-0.04681710222975531,0.019756618810765823,-0.08254428627995841,0.0004298877457843284,0.08414130117858257,0.10016010609755666,0.024623296107709414,0.00031933289722872553,-0.0080245943039037,0.08965248583543295
MIA,0.010595272309904069,0.0024081812285619186,-0.027807998427488635,0.0044348087330765866,-0.051823415322466725,0.04836375748639431,0.06055201332180685,0.0019925379832494363,0.02365162922792852,0.06427091807114782,-0.023045664083159008,-0.02844566844012363,-0.01812966420589941,0.10679771350453537,0.1591906686990522,0.014378557778993686,-0.02215948960333194,-0.021701620778434173,0.0648525233043665
COL4A4,0.032810948471456665,0.010615103159543164,0.01634978928331164,0.026132084409490088,0.004359699243072415,0.033376718828554315,0.008321192357976126,0.001941378447889121,-0.00826593588794508,0.001358979477592112,,-0.014925459521489383,,-0.03490649355132027,0.17847602332093326,-0.00801152214580642,0.0015167150310594294,-0.0013106981253453442,-0.0010847164570874808
TAC1,-0.023471337339983543,0.0848067340853605,0.021003239789851632,0.11890079459638027,0.0820879548398531,0.03128131455397115,0.04389243189642634,-0.07482488092708468,-0.018348668851607207,-0.03894986601329532,,-0.041797203919340484,,,,,,0.0029889974235339065,0.01827495864613705
RARRES2,-0.004376591451226516,-0.0026725286694532983,0.039649001489414394,-0.010144275669304674,0.024044049187787984,0.03142404567836001,0.04015068106475595,0.11980365195822211,0.01581616694158436,0.0027926567481865055,-0.04538982951787859,0.03209298007226254,0.07342640080868483,0.007514789480052477,0.007287489019514412,0.0421599718197149,-0.03875494043838712,0.004769408614753395,-0.07521515519730156
FGF7,-0.02306669216515717,,-0.01732337647473993,0.018938306030843587,-0.04362604362993937,0.06161911540770799,-0.018942905977859758,0.08974247030902548,0.016217443550752556,-0.04354006081621507,-0.026228189327420857,0.021400803712419172,-0.009115060294026376,-0.020830902440382316,-0.01678807821433773,-0.00016316695008156953,0.005147736131226435,0.05208657801944596,-0.023397196007518342
EFNA2,,,,,,,,,,,,,,,,-0.023454810548769994,,,
HBEGF,0.00021694283984595873,-0.0011574720962735589,0.05452846418784059,-0.011931138762424331,-0.018701687529131126,0.010155660358379032,-0.010844814538210722,0.07449941619462853,0.02904881525709837,0.05288853745663994,-0.0276088759438051,0.029023264471283183,0.04288099222968076,-0.033579858680269484,0.0516291675995152,-0.015464532091577993,0.04979387314168142,-0.008892938259195732,0.04312352294829138
CSF3,0.10654982274390008,,,-0.033693554388921396,0.010561368211250895,0.0009357015844583187,,-0.02928747426560952,,,-0.02552914415023176,,,,0.0161115496404869,-0.013603654474352838,,-0.012928668390096213,-0.02737778847103868
PI3,0.015468543058828601,-0.027978961027252953,,-0.03778847524837806,0.05444142316880166,0.01111985869421635,,-0.009967011825664977,,,,,,,-0.05526982585259651,-0.06861521358245445,-0.021850915176426997,-0.014189788745471846,-0.052489927277700646
