,UKF251,UKF259,UKF275,ZH916T1,ZH916bulk
IGFL3,,,,-0.01960713188707825,
BMP1,0.006443826970390921,-0.002357325295780348,-0.007859479635373935,0.0782281551983502,-0.04836104829598312
NDP,-0.029504904159381753,0.005101933681950688,-0.008212902311663514,-0.01079821872564839,0.036583958667572955
TNFSF18,-0.01269343599637134,,0.0038293800669435586,0.05474272311321328,0.10405067300209882
RTN4,0.024017426885763887,0.047281232581398984,0.003643623458917285,-0.05148807469421108,-0.0779426734795325
HEBP1,-0.02090398746393835,-0.05760522433739423,0.012808690544189432,0.009593931190580591,0.026643903382397797
WNT7B,-0.011482266875716678,-0.022423415378701413,-0.03528063342254372,-0.0418497702459435,0.029394643975671004
PTMA,0.06792517145862685,-0.03014755553085094,-0.013553543772577925,0.047455867020802865,-0.04247287421647278
FASLG,,,,-0.017005258796593266,
CEACAM1,-0.018822265510726233,0.007521884558936037,0.0007014236168537453,-0.023660319997563937,
PDAP1,-0.029874595711429953,-0.039733572112683115,0.020839454211652775,-0.038615834406844546,-0.06895765971863221
QDPR,-0.011204872962955201,-0.03927929072413525,0.006774349604491585,0.0016271532060231878,-0.041405543772220305
POMC,0.03469231917061574,0.09709684134405702,-0.017167356449244605,0.09591807266597444,0.1402819715552662
CCL17,,0.061135330471566336,0.04158613212571171,0.12111761833083191,
VEGFD,0.010960993731732892,-0.016720213397451188,-0.019659774570495173,,
TNFSF13,,-0.01035196214349223,,0.07601777819024944,0.11145175412565837
WNT5A,0.027188717000849842,-0.014436201273586177,-0.014822980069333736,0.012347351631428945,0.05442694893745376
CXCL8,-0.025242921155714027,0.00675161667640504,0.027158906750429205,-0.023271898301025017,0.033312250432621156
GRN,-0.033128408423483885,0.02809708800784393,0.026153399214260187,0.09477523439354521,0.02435309653785195
MIA,-0.023975555151235943,0.024542385674998397,-0.005225791778500113,0.016069895635282203,0.06740264419598738
COL4A4,0.017350170214714675,-0.000850464913085951,-0.019265173505113066,0.047358373260190274,0.13604396096257615
TAC1,-0.0372502076749867,0.04891092624917015,-0.005615792431784569,-0.020262425171102726,-0.03216489756861573
RARRES2,0.024620575739316735,0.08001842577905185,0.016617770927377633,0.00865847172588883,-0.058384366930484245
FGF7,0.12200023310666207,-0.005103846691321077,0.022537845345263846,-0.052189772592548686,-0.019598118302794388
HBEGF,0.04188430647414719,-0.004409235461142915,0.0811134252813029,0.02093145218468148,0.06531901040135579
CSF3,,-0.01788784661909202,,0.009855987139168665,0.053535770010823165
PI3,,-0.03086902275560002,,-0.03525780771797516,0.026447009590585352
PCSK1N,-0.013606836916040987,-0.022610603630418048,0.03525680703587116,-0.018498643821838936,-0.030349639820223588
NTS,,,-0.008893850412943688,-0.006668719737139169,
SFRP1,-0.05014699301999981,0.030217402934777052,0.009852096480515188,-0.023472861848333526,0.020037957046814135
CXCL13,-0.04551385282761102,,,,0.01623079539133876
MICA,0.04066755477403523,-0.004243772455160961,0.022515327761229047,0.050595969171700596,-0.0020066302306413443
TG,-0.0005389176767859275,-0.014131343746771068,-0.018590381305781577,0.0196426139279043,-0.026970983405643047
ADA,-0.039393449351603035,0.0029548858136657285,-0.001871019483113529,0.07602735761369135,0.0003490787708622226
LAMC3,-0.0007910983880652314,-0.00783968925180226,0.029751610882686814,0.12051543159135523,0.032210169788339155
CCL7,,-0.010216938950853445,,-0.017005252749726217,-0.0510928452038972
NGF,,0.038742179425247346,,0.030178965178818882,0.02406045986927851
TNFSF15,,-0.01137706122585827,,0.04183017303641807,-0.03339392529940006
HMGB1,0.02285077141516596,0.008998066292756011,-0.04437350541299131,-0.0701671801870522,-0.10795406693806596
ITGB3BP,0.005778267948235953,0.04402764263641294,0.03574339979377198,-0.0047033127789459445,-0.0032955198091064873
AANAT,,-0.010351963248337445,-0.0004969477567433744,-0.01799226656529078,-0.01842364179947757
RELN,0.07461882642537504,0.0498538387090909,0.02734230423862949,,-0.06259019973968587
IL15,-0.03260698703540714,0.006468820105914789,0.012410817085836898,0.028015329395901983,0.04126703224375184
BSG,0.026784897932080567,-0.061664234838448635,0.00414511785845074,0.02752056459709948,-0.02251351119996864
ADAMTS3,0.013976087787249802,0.04979051136408687,0.010497677967817408,0.03665986486802936,0.073627179345841
CD34,0.07253236269619369,-0.0117324367040097,0.0013804991729029531,0.10454544421062918,-0.04174227200052131
PLAT,-0.025181493836398488,0.03790656289798839,0.02734718915759934,0.03193476453383485,-0.012478562598280799
LTA,0.0326663387562547,0.07491596973024667,0.001452792759386329,-0.006336661613265655,
CKLF,0.011088877389857742,-0.0007230899912003382,0.004662548143074278,-0.00020397542151606553,0.053119988166781824
CD24,0.01893440498848433,0.023345445014614222,0.0395141280291546,0.009292412237658244,-0.006688610059446808
HSP90AA1,-0.027377317717694603,0.03621707915931316,0.09591073452890378,-0.11215744616166573,-0.11198515517719587
BMP4,-0.003901700615801987,-0.030551695441883114,-0.025413245384436976,0.07305649333987765,0.022273654651112796
SCGB3A1,,,,0.11218705559308591,-0.037022415006937544
IGFBP4,0.050020725153427474,-0.003273007117588903,0.031607606048478475,0.12116607684303281,0.05137785084026655
RSPO4,0.03483898394786042,0.09782143970587018,-0.01872713947988545,0.06150642546672738,-0.023231482532055855
LEFTY2,-0.01905343352399671,0.055042983459548625,0.00725516038358874,0.05393187700860432,-0.06390659957434443
PF4,-0.01712141045241685,-0.00891407794892009,,-0.024214873693731105,-0.01819853481357223
ANGPTL2,0.04008281563483924,0.009567677129436654,0.03773678967073535,0.058000942208367975,-0.06979141617309104
LRIG2,0.02636625476287218,0.01492206353607671,-0.02764403476640306,0.044134282506132924,-0.04289267560131549
ICOSLG,-0.05328881913472742,0.011471141645198007,-0.011669910281611923,0.1227730357173519,-0.04236947530080406
WIF1,,,-0.014451289971546382,,-0.03339392255892693
NPPC,,-0.01382793316767458,-0.02818987502851671,,-0.04373528278520685
LYZ,-0.003240618542082075,-0.01102219359096125,-0.014628941169744811,0.11156435236878326,0.053295232136429976
EREG,,,,0.010429038925731092,0.07288957631538454
SPTAN1,-0.027947438846098356,-0.0041836004837718195,-0.06331058398186656,-0.02959641013092884,-0.007992368359450965
LIPC,-0.0012620274735924298,0.021144039808475967,-0.010141534505632387,0.1388997972880632,-0.028379525696295444
COL8A1,-0.04159548511069852,0.07408878946184214,0.015948509897915172,0.04737973911742102,-0.10416516063767858
GSTM2,-0.0002826029405291173,0.029889783261882595,0.08296245765080462,0.007905176903261103,-0.004281769966289602
SPX,-0.021615886594261457,0.041451912143033974,-0.023948317314640356,-0.006754446387841563,0.04831839360834535
MFGE8,-0.03507704585662836,0.014182658871633126,0.0005523147775038485,0.10741093493773259,-0.024239805189136446
TGFA,0.0283866238636434,0.041151041197478457,0.03364528630268634,0.038057606968955236,-0.05490656467334739
SLIT2,0.015834693289779496,0.10326490429409578,-0.0359929992013784,0.040872413281081654,-0.07234226854204112
PLTP,-0.06506357155446374,-0.027152911186842245,0.04133705350515191,0.04671863635839205,0.03264417420946498
APOD,-0.00586011321875073,0.0019183544764377251,0.04270482794978326,0.011298420999354455,0.14723805084486272
B2M,0.029115371125212907,0.06252589762305882,0.059487285471653134,0.10232069617800293,0.038576567578923186
OMG,0.0016247103651340744,0.005053013484481527,0.0025386332924146253,0.04073228192769918,-0.06684966139792164
