,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
DCN,-0.005590506643875045,-0.040519481553695724,-0.006628221463427904,0.05876173008820801,-0.013180078991798586,-0.012690754468094548,-0.015325731278809466,0.04260949563229924,0.01847831858610553,0.09269694159084181,-0.028354753465952242,-0.042200823051029256,0.10793022336127782
RARRES2,-0.03325841806742283,0.03043091571858858,-0.1114405040749893,-0.046683426183526895,0.11591892227362854,-0.04530425351447494,-0.0019574496589292965,-0.06225438835101201,-0.003382776317569638,0.0111130145826156,0.006577973376727445,-0.05773315662019559,0.08146051152087566
SEMA4A,0.007452993036272089,-0.03403050813488661,0.11431332979655745,0.04296993219687885,0.031013460019773047,0.04114486788005191,0.023429468185776077,0.07737097645719584,0.10488389299427481,0.08741459824121547,0.04974646658221395,0.021475854645688318,-0.022508630320358793
GDF11,-0.026114214382607664,0.009058108756824196,0.068783313627926,-0.008656528718112856,-0.0005537099123531831,-0.009223927093082531,0.006334593867710418,-0.08885206126195347,0.017112973412891135,0.009158264670403074,-0.004579989463233773,0.041291580949092285,-0.008845621397044428
GPC3,-0.020896886759307724,-0.016074249833873424,-0.041519203047890516,-0.019424730325889646,0.021825692257312172,0.06272763524778659,-0.031977754110909105,,0.01202330609478437,0.086724377157113,0.052000353717049294,0.054232015477350265,
OSTN,,0.12405968489652403,0.06988525038930303,,-0.007570052167950477,0.004820467660544183,,,,,,-0.031863029264895947,
GRN,-0.055316721458334814,0.03183080857958246,-0.013588040139220313,-0.015893919199331336,0.016515761600183913,-0.042400596874133736,-0.08732304941364079,0.06622239174195442,0.030488936707364106,0.07547152692551884,-0.0784411714307804,0.06942612618240199,0.014739000888402777
CALM1,0.021086463974542686,0.004073842564861455,0.16279440526788272,0.035465700604854544,0.001951778188182512,0.014908388656772,0.185090705350031,0.05730442006161782,0.047654795162693935,0.07957703077295893,0.05385772366806487,0.1887436121605954,0.08331758920909618
ANGPTL4,-0.0023919403882696863,-0.032170094995438776,-0.08123771334599242,-0.004561517876033153,0.025355597781857583,-0.04324320722173281,-0.04597578714955857,-0.054041632336858485,-0.0436388581920429,-0.1547858677152635,-0.09644150387040898,-0.09478977703886055,-0.05084662268479083
BMP8B,-0.018376933880583632,-0.015874902121751498,0.04484640650439081,-0.03214258978279871,0.07797620267665623,-0.011953084059867017,-0.07877049031861548,0.06213442703063042,0.03607596450925515,0.06307486859315327,-0.01849112724436118,0.061842853269099884,0.038880898176815996
TNFSF4,-0.02140808827241919,0.023193921127101967,-0.03417416934464054,-0.027566513749373054,-0.004208182659738148,-0.01617821274443154,-0.014172186547213837,-0.023630110353454747,0.024834185176780384,-0.021421396195224793,0.06455580214126577,-0.07397918037509721,-0.02541673876944903
RBP4,-0.019202095878469237,0.00896077442915192,0.06715845694204964,0.034273084087387336,0.11700434868785183,0.017308069430627675,0.22909587111845658,0.06159140746346025,0.2296608499352936,0.12611065557363227,0.06986446183732205,0.11032530969532353,-0.00801774418149909
DKK3,-0.015362856173889597,0.05955349497443886,0.1339611213492089,0.03525878920754644,0.0966098250962776,0.05069611421673214,0.14018721741406504,0.10093616036363505,0.09045126399806852,0.06128887653981316,-0.046666471704302034,0.14779675222662955,0.06954694652020757
COL11A1,-0.0031145970743928237,-0.006827863888509806,-0.056485898281292926,-0.030859442077373123,-0.030237853544757994,-0.012836870338103728,-0.03573990475491476,0.007113845886379409,0.027648089276809323,-0.010366407349350116,-0.01852626161471675,-0.050728758176036684,-0.007547898440402652
COL5A1,-0.01050303422116576,0.004430963211533861,-0.022333981077611604,-0.01672587115270185,-0.0842004169516335,-0.025814056742756233,-0.0863828905554246,0.02968243435480172,-0.06340248541391906,-0.10222448038852279,-0.07856290607145819,-0.1230813431935483,-0.03880309696943101
KISS1,-0.024270334117433904,-0.01617308779204437,,,,,,-0.013997649711750113,0.07151219934632864,-0.002651858943337275,0.055052326148283044,,
MEGF10,-0.008667329192352797,-0.004422478459762635,-0.009803855296973082,0.0319215495860452,0.010892907694750174,-0.016948561415797134,-0.009066409149676009,-0.009428725031616882,0.032693023737714925,0.17624351410077535,-0.01193247142229595,0.12432009331348812,-0.026961931887150934
CEACAM1,-0.01458975426964421,0.028899407574496057,-0.0177096270488916,,-0.020955275542031176,,,,0.019013275196164203,-0.009871696466934013,-0.012555831201266071,,
EFEMP2,-0.023804770184140782,0.03674207609369717,-0.07877186811663829,-0.008953921355605302,-0.06197693817440372,-0.022268538545624758,-0.09733982780785058,-0.02336765838651107,-0.046265498053526095,-0.10663401109956058,-0.06710296512363746,-0.09829020217232383,0.09098756393873138
IGF1,0.09160734793934092,0.019198243970228693,0.0594662785096456,0.025163333377049128,0.0864703307225107,-0.03534826932403424,-0.09229531645988544,0.03231131278218493,0.040475866133717654,0.007502695090200221,0.016763900800198225,0.040216140498774824,0.033374231910272376
COL6A3,-0.020506003934031795,0.014051372767573272,-0.01802901158649412,-0.01235737472100193,0.09029057732695443,-0.015519497146274703,-0.021372853913411875,0.05317573667310561,-0.03562332868790115,-0.04980766383999857,-0.08706627329208774,-0.06918755688158115,0.07938887813620671
RLN2,0.03109662803256161,-0.013153013972143489,-0.02314175827675766,-0.021020359142562416,-0.0218474441412332,-0.04147045481000939,0.02757680233642942,0.181182766869874,-0.01653153630324558,,0.03891059430435342,-0.017013507746661334,
WIF1,,,0.09463903233963283,-0.021057045449848467,0.10019020946595923,0.08640055877496805,0.023682922503314607,0.056889724395507726,,,-0.007975126799877967,-0.008092776593632278,0.2199382353338851
IL13,,,,,,,,-0.01658944306331979,,,,,
PLAU,-0.0010653268863315293,-0.04274420415197222,-0.016975115208066688,-0.030406030966461425,-0.08912470169758527,-0.01623170212480967,-0.06687244587078316,-0.08583600369255007,0.04121217177389767,0.04701026088097549,-0.06647631856889337,-0.03616865123097419,0.01014341914309194
CXCL12,-0.0501322736897191,0.014870213049078387,0.048849348025873644,0.058641200731621906,0.033699023993628154,-0.05671833716637038,-0.05441970681845315,0.05684514821524959,0.03997901390280373,0.030366727189440685,-0.02940581904934328,0.015594278632835003,-0.016613294116116832
MMP9,-0.013271367190659545,-0.02053721405220573,-0.0795854401834031,0.04519906067538564,-0.009224205181119194,,-0.0014289574411819389,0.0075429062862883605,-0.018509473801221577,-0.07802889816926677,0.011189582962487165,0.010317363229057833,
