,MGH258,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,,,0.04427729546495853,,
BMP1,-0.01579672193450486,-0.014190788717235543,-0.0064253109203671645,-0.03404233446730815,0.060539485208749674,-0.08172981771292274,0.09342393530730596
NDP,-0.03338988099380813,0.0008808299285210556,-0.02714820013435988,0.025486993099533187,0.029894937613686366,0.04540164942964556,-0.047935183094550506
TNFSF18,-0.02115380653898456,-0.047829179071119034,,,-0.030474886134451814,,
RTN4,-0.02258950504987455,0.03467959318650843,-0.06333928351526934,-0.04433797167896746,-0.09069842814217395,0.04746188627846682,-0.037223245886611044
HEBP1,0.002760487936300381,0.08691083294904489,-0.08163664499656673,0.02637156153729051,-0.003077683295192259,0.06826574490197979,0.07991499202193854
WNT7B,-0.018635841005200295,,0.07645070437356077,-0.03771679522677779,0.018946407527261455,-0.022338912311980718,0.023896379035567197
PTMA,0.014504052860698438,-0.023609001859948124,-0.09354748377914837,-0.026155153858216162,-0.036501705461460573,-0.03192115716889756,-0.052793875410957675
FASLG,-0.018635846273504803,,,,,,
CEACAM1,0.0461616790541673,-0.033632030186094286,0.11014916799384132,0.004217010565507251,0.059841630829747104,-0.014826660991910582,
PDAP1,0.08058025517719394,-0.034737962613904216,0.05013679779674786,-0.06174626127308925,-0.03695331278065375,0.005404681444293984,-0.009238366809699427
QDPR,-0.04110956404903718,0.00603765271937536,-0.16505696388346344,0.046497791724567264,-0.04973273601600352,-0.023528772921822462,-0.04450697004466158
POMC,0.03815666535051934,0.1353470177307578,-0.007676658256743592,-0.0023987607633831004,0.05239396177785037,-0.024254469669081048,0.024854249183839078
CCL18,,,-0.02726601375129332,0.0025602684383671708,,-0.013979903889351062,
CCL17,,,,-0.026376824339766493,-0.00013169562980012696,,
VEGFD,,0.23319786277982854,,0.02568145231542678,0.10307935203133262,,
TNFSF13,,,,-0.028670706262392716,-0.04178020281126334,-0.01664934657350659,
WNT5A,0.0038139668382442893,-0.059007896145416364,-0.039569506345369335,-0.004909689302554749,-0.011697680440645414,-0.032800204899005425,0.026436569804365886
CXCL8,,0.016026518099704876,-0.03270554685342643,-0.11407674008814205,-0.0080564882847391,-0.04738160956514397,-0.006630935720311917
GRN,-0.09394327605220577,0.05945315901644799,0.087594538439419,-0.048192094017883914,-0.01591991074731988,-0.07439742109289199,-0.005782155388468322
MIA,-0.024392715390146757,-0.045302504825073024,0.02044976382210984,0.17578505361283728,0.0012133468640977997,-0.10370825387276539,
COL4A4,-0.02158258075049148,0.0178719574679763,-0.03447276073683159,-0.029256379162187852,-0.005779523097191602,0.07025916416252301,
TAC1,0.057053076157745734,,,,,-0.025580214067182718,-0.0601741955897883
RARRES2,0.04826731217224786,0.015761198276522614,0.11122750006105515,-0.04982390023794491,0.0019788675096043193,-0.07035452223696954,-0.0043682885128012655
FGF7,-0.008796271340178675,0.1270419581304242,0.017366111516142944,0.030111833494824373,0.0178080207202769,0.021842973729635947,0.048580396032063274
EFNA2,,,,-0.017366342963295492,,,
HBEGF,-0.00846497801283973,0.11185603248659631,0.061124516494048826,-0.005895631391481646,0.010341836846714457,-0.06938662749346489,-0.10033089558935562
CSF3,,,,-0.04613181481186388,,-0.02125604383401487,
PI3,,,,-0.1335851760363543,0.032503350184598594,-0.09710180532128067,
PCSK1N,0.05211697160523904,0.054323762013087404,-0.03150118473169353,0.06579127990498272,-0.014802664832790366,-0.028932579448696965,0.13587455232678375
NTS,,,,0.09491768439415399,,0.11319878254891484,
SFRP1,-0.009620988675877368,0.017187432400330088,-0.0635337370782146,0.01732324773969869,-0.045995222307845425,0.07622168150121232,-0.032444542613886025
CXCL13,,,,0.02946367441583968,,-0.03467303078819964,
MICA,0.023057041167761933,-0.042977056600660084,0.03444210922671089,0.04015117980398721,0.057934529109765286,-0.0016892954511916478,0.12035835538980795
TG,0.06555474757693895,-0.003622804661156652,0.019701439718787548,0.03592444052707491,,-0.0174940507081097,
ADA,-0.025901067499422895,0.05945373588147236,0.08931135455875276,0.07420413387728607,-0.056739082681971434,0.055252618508292106,0.0789365670829059
LAMC3,0.04565239237866332,0.0023701681516430178,0.08896483576336658,0.04790434158088926,0.056577448680053884,0.014518030202728469,-0.052865774340595396
NGF,,-0.07939874479867284,-0.02320542705565475,-0.01713291009698552,,-0.03649198220382081,
TNFSF15,,-0.05144859121604784,0.045317242435402555,,,-0.013199638299676601,
HMGB1,-0.025763455898623524,-0.055239650571896094,-0.06324360127942227,-0.005648027181047153,-0.018427704195422466,-0.011082737223459994,0.003273012585138424
ITGB3BP,0.009174054784945792,-0.004463136405263854,0.06355511318095249,0.0017402990578926736,0.04974126290073613,0.024759639393963015,0.013975790483215384
AANAT,,,-0.02839869626256269,0.028985642080671503,-0.014475676993047635,,
RELN,-0.017892527610674832,0.01629990036333834,,,-0.04344283238054945,-0.015943732590478505,-0.006588676227942752
IL15,0.03179736059240331,0.061088706276714276,0.028722164210885786,0.08005884360680492,-0.04096663907387212,-0.03219798027753523,
BSG,0.09074791738871067,0.14442765817990189,0.08913935981481086,-0.0003539355677348876,0.07884141727944867,-0.10768658787898608,0.009528423292457636
ADAMTS3,0.002122235332964652,,-0.034004547667297505,-0.017514978171497605,0.016682573093340192,0.02346460530610539,
CD34,0.01794182156889631,0.0473627844525885,0.0686817981244332,-0.005968989006673582,0.1048213300390788,-0.022417806554128724,0.08856234329510121
PLAT,-0.028598921437828672,0.04368108265126452,0.08026733095067577,0.11278002695650736,0.1136377154023295,-0.059063225240308756,-0.061068796999986706
NTF3,,,,0.12630555691141787,,0.026661789728284216,
CKLF,0.006456796690794626,0.02197464208252764,0.05228211451811459,0.03974286644652122,-0.024578453929671045,0.06075706403118098,-0.0642893925871058
CD24,-0.0034921539290932047,-0.014244042372112894,0.08596775556617282,0.045291235150805714,-0.0312545617544903,0.10709487888680176,0.10014386922463162
HSP90AA1,-0.09540205242261461,-0.0211474456652347,-0.06594636858828193,-0.13525836692712018,0.011812345656909385,-0.010020925576698158,0.01144349888015891
BMP4,-0.022211603846258383,-0.03905518190755365,-0.028502310491556115,0.021769923723852457,0.07513920846009128,0.046615723240147226,
SCGB3A1,,-0.04905868271237167,,0.09173751764766587,,-0.013953850228132572,
IGFBP4,-0.013172289277502336,0.060050291057292114,0.03625666955612702,-0.03489106294498901,0.11887252667141682,-0.0871001634926775,-0.059784213077315934
RSPO4,,-0.044856993275189785,,,,0.06095810186042053,
LEFTY2,-0.021369182951294582,,-0.0362911270387915,-0.019968174246363945,0.011407261396189392,-0.009456296905708704,
PF4,,,,-0.015917455653794692,,,
ANGPTL2,0.012172018267217671,-0.04310359226739551,0.02220738541612947,0.0692377440824337,0.017264121754680006,-0.04094917203625618,0.045792986757651546
LRIG2,0.005096756722881922,0.0320765397755473,0.0004072005425224907,0.0765652921192467,0.05699928301874569,-0.02851530877784643,0.0301097730666466
