,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,0.0024867577104538013,,,-0.008843304734221553,,
BMP1,0.005048433291625516,0.0134351874307138,0.04444390837539008,0.007534561094939719,-0.07046650428453578,0.053709109202136125,0.022099674756241198,-0.04149802734155562,-0.045443519320979536,0.041836525179298645,-0.060803714752698225,0.029904754553248026,-0.018769936138295182,-0.08154447146231752,-0.03837867440510418,0.048269477431614714,0.147633581029002,0.07733505382672712,0.050764662706353554,0.04544923244778211
NDP,0.012448584094945899,0.020950575419894958,0.01576061395073476,-0.012478683785616002,0.02610185318538825,-0.015088817198404629,-0.0394296959813385,0.10060724092768987,0.06092021597801781,0.008316648700430924,0.013361469224507759,-0.0006373918827089947,0.022043520234805176,-0.0004925480286848683,-0.02508897410066729,-0.0307160978885661,-0.07880907773759228,0.01967849169551233,-0.013261327219926681,0.0556120557917939
TNFSF18,-0.029214552998867768,-0.013996871348867134,0.026496491243526817,,,0.012352100034054273,-0.015129094590365622,,,,,,,,-0.032662486539550166,,-0.031128573025711828,0.007381419429276449,0.02499878594050525,
IL36G,,,,,,,,,,0.0767364463750403,,,,,,,,,,
RTN4,0.011421784462044378,0.0947990502903494,-0.005859524148958898,0.03619752574212237,0.019642614521212215,-0.025442207264231586,-0.01178295935914869,-0.0382253557975137,-0.026698412617503855,0.03404701454628805,-0.024244169506309407,0.014581939944371916,-0.07209273028636766,-0.03485057897712198,0.05463592864021441,0.014702509859740028,0.10315342124421317,0.02937490414785703,0.03220216337348953,0.011359157576548103
HEBP1,0.08416274079127911,0.03608194306334383,-0.028450374483831767,-0.018128688829106537,0.009846875832883647,0.017315853952438127,0.005853037578467202,0.0920901470320115,-0.04079566016589308,-0.012112795202043248,-0.0522986813607025,-0.05429007229482247,0.013519895871674195,0.05224566129353736,0.005191833750648796,0.06871267683778864,0.061334686081480974,0.012239930535746254,-0.011028345095616033,0.0592844367109715
WNT7B,-0.06818709145323233,0.06584499026481501,0.004919568845077366,0.07749395819220095,0.020545721749644162,-0.009226953029510309,-0.03608302169111121,,-0.05524232825067802,-0.01637661953836467,0.07796517991633892,0.0383254796471002,0.05367480740463502,0.040833429329773414,0.048146020294600037,0.01156656545930133,-0.031128540747719976,-0.02148391078188509,-0.07050043745387187,-0.0406276774891296
PTMA,0.01991143067340844,-0.05640298954137037,0.008434087510274602,0.03895484611595219,0.034104049099028554,0.0879391177234054,-0.05622864450742405,0.08648103841621704,0.01041773220883787,-0.009720578567711479,-0.04750887036887882,-0.029740878312355445,-0.07833599297482147,-0.043017564438091585,0.09528280658178505,0.05173757635875278,0.1031980289369879,0.025380451374276896,-0.009982259592853156,0.08014941697929098
FASLG,,,,,,,,,,,,,,,,,,0.14333994549371362,,
