,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.024458955660140072,,,,,,,,,,,,0.08641713035482278,,
BMP1,0.04109559839957123,-0.021357733136085865,0.008632334847990471,-0.018321961727839235,-0.015187345908830828,0.06224294215460031,0.11077846677887121,0.13003723472640577,-0.0014843701942325437,0.004143551635957988,-0.023452537170978647,0.06890139402266582,0.04447850386960391,0.006529095102110836,-0.0030037405832055793,-0.006636241983497608,0.018898036077493616,-0.07792530906662852,0.05878130170478406,-0.0025527511479991206,0.031737237305674286,-0.01699691095708756
NDP,-0.031202758900019147,-0.059267721516307,-0.04366828944512489,-0.059398946327949585,-0.042736968061759646,-0.08842545960612148,-0.013526034836931133,-0.04621658069830455,-0.04144903884836524,-0.013627306211314819,0.0017249222877208155,0.08534938735184318,-0.0010134626479619115,-0.10884855760947344,0.01546355720119427,0.035431297673632504,0.04267084531377233,0.04456613669714205,-0.025075734348576097,0.12390679937863942,0.07545777394968937,0.019613895715801195
TNFSF18,0.10375318058667111,-0.048424630579985986,-0.0035651683033458732,,,,-0.020727296774927222,0.10699078638426772,0.06345384449656877,,,,,,0.031169422486283353,,,,,0.01923156081663896,-0.01851855330002859,
IL36G,,,,,,,,,,,,,-0.019561997796612416,,,,,,,,,
RTN4,0.028705036109479064,-0.002995398912111407,-0.01729136946889467,-0.0020534454363555325,-0.024719160234418884,-0.021436012342519926,-0.10910926791068554,-0.1705169277820325,0.03635037754602041,-0.04377873224103773,-0.012094244301613342,-0.034168397322490496,-0.01866263722343609,0.08478937818650166,-0.01769121322443035,-0.05639810665062436,0.0013527291588112578,0.01263253569106804,0.07379391561727511,-0.02744421480847191,-0.01424850852905141,-0.020664436281983504
HEBP1,-0.0349539095270437,0.044077610759783524,-0.0038968150063786963,0.01332440259601711,0.01299664610037946,-0.00283184703517509,0.04617175070808712,0.10790672456038222,-0.04963288543808449,-0.010331979791456516,-0.07720606949327256,-0.014117805271105321,0.05542770682483616,0.001402049876770578,-0.022003229907170397,-0.01216681084942025,8.493937078237264e-05,-0.04024193593959019,-0.05362364313915011,0.07706022943012882,0.01931938632756741,0.06124137705717762
WNT7B,0.06622526484113099,0.0877220988832288,-0.034373708921919245,-0.03865441621092038,-0.0035940801161127084,-0.07293456303840921,-0.037631417859767737,-0.0697189161686731,-0.0007265695350535599,-0.018173875742630692,,-0.008808770822749053,0.02682376652312529,0.14283385418553102,,0.02958586530914804,0.01393240576943955,0.0008488382042870563,0.07131519630765071,0.06321982336963392,0.11152772436396924,-0.031898830631130824
PTMA,0.00784274555843917,-0.027305958023958094,0.0521983349808895,-0.08399071664514622,0.017453704982601178,0.02641619290284224,0.14819428323121495,-0.08956258545194566,-0.04124399756495609,-0.00396690777144463,-0.0521389042495883,0.08593184041372098,0.05010550828301602,-0.14147025289433496,-0.046353018424800385,-0.10010132020336436,-0.009494741880832517,-0.010663143323631795,0.03530382880954326,-0.10744310877727616,-0.05718469634013003,0.012417903408262763
FASLG,-0.016485147707189434,,,,,,,,,,,,,,,,,,,0.04561077053738707,,
CEACAM1,0.01702601643234839,-0.03082095025340559,-0.013894323955994693,,0.009234420061357183,-0.026299791498686997,,0.03673979594268875,-0.014094916156479528,,,,,0.1002288882426042,-0.005653416241138699,-0.037184033618712795,-0.020334241754943826,-0.025955976748078365,-0.01866741682636753,-0.0035422280133405953,,
PDAP1,-0.00210288571506877,-0.007623235957226994,0.040265140609015426,0.01102052317729891,-0.007510021608520195,0.0008351246172921483,0.005648504285911798,0.15504962843293119,-0.007227522978081289,0.032191060832383066,-0.021416311616305275,0.10091782510355513,0.01710576650803522,-0.0007980771296797266,-0.07796070227118201,0.005389262223620649,0.006742175158592723,0.004924018358130844,0.03425447591733027,0.05064867066558139,-0.07925139457418255,0.08580137030754875
QDPR,-0.05411816358785187,0.04954280981077305,0.035509390788832675,0.020157594310152915,-0.02080537164188807,-0.04024339782927543,-0.022381135353647618,-0.11896207754651232,0.06128655463564895,0.053583061482095906,-0.06892278840945362,0.0672027367163311,-0.026974314615824817,-0.0590572730444756,-0.014479980146409346,-0.1436172620291478,0.018209750960253176,0.03257049974094562,-0.02888562273663012,0.06181926128688862,0.01487816028793205,0.10702798486436398
POMC,0.031169159273824958,-0.0025056820730937914,0.0350203594622826,,0.03824120502249692,-0.052921399663195964,0.03195119285706471,0.043399628229989475,0.025540237013360192,0.016461464679306596,-0.015494952924931488,0.0038955546250791628,-0.04191178994734445,-0.04885247964547986,0.06065505974050805,-0.03764967213089727,-0.029869705817409303,-0.025548734614378867,-0.030537441670936867,0.011444491241454208,0.06464626666060577,-0.022810415411703963
CCL18,,-0.01956194966998766,,,,,,,,,0.009658135909815572,0.0826997955397054,,0.01365335736286322,,-0.02636409119982589,-0.0372114129796562,-0.04166730731033192,0.010024165764053863,,,
CCL17,,,,,0.020106671741444374,,,,0.007869617080326923,-0.02249416352390077,,,-0.01787044035213459,,,,-0.0144261603201664,-0.026262333749832178,,0.06705079358420164,,
VEGFD,,0.09845349687017046,0.02686651223928271,,-0.020290570349377698,-0.025162151460179073,,0.0742328792304038,-0.005920604832706049,-0.016499740976272943,-0.018886351665780426,0.03548681945416354,0.05019761069815824,-0.04666808047754313,0.019545818218229125,,,-0.009613185829121117,,,,
TNFSF13,,0.019880164431423465,,,0.023613965249349635,,-0.020101153913657636,,,,,,,,,,-0.027681634811875737,0.010149612481833081,0.015400842581687828,0.04945487246420775,0.08099839946837956,
WNT5A,-0.0013817197618691305,0.017225152039396636,0.00740198759331974,0.061022424921642816,0.009603812260305596,-0.0023208659643101175,0.09511563350315516,0.11008219292817807,0.03282194600620282,-0.006174587376277647,0.008098240034109225,0.04815472817902498,-0.03969145809515764,-0.07380288248808349,-0.022240274040308358,0.021741767452445552,-0.011507546323881736,-0.01127421099531214,0.0077952423054556035,0.008275991573522783,-0.0411193308007607,-0.007887612968564313
CXCL8,,0.014307869903920752,0.005270882765598111,0.04695038176771413,0.03565945948703075,-0.052963224320962426,-0.028592587698308688,0.06353671114369804,-0.04986784689788204,-0.015365276229694257,-0.0430356804118223,0.026044393317584815,-0.01384426697981646,0.058110881732938005,-0.029667909484251787,0.06871589004106696,-0.03502396481133594,-0.10259230273106598,-0.043398862029194615,-0.020675870625760543,-0.002373927131650148,0.04464917735379855
GRN,-0.055142145421371455,-0.02809172992658593,0.03423383303717064,0.007618484007473889,-0.045989228667718825,-0.037985387299809985,0.04994037680714589,0.09770482735374991,0.02911689362651019,-0.00019615537605848705,0.04711994530396912,0.026301316589794174,0.030791400318813902,0.047391380289547175,0.05513133875622898,-0.07220993740870968,0.015012556220671273,0.03025492026266175,0.0026730931693226645,-0.03449929729814694,-0.00937468146797868,-0.06942010203318198
MIA,0.0628975632329962,0.01931426035971996,-0.014265579791345646,0.036383931249005554,0.006715870947627993,0.014952835753654997,-0.01532667985296802,0.002257657274599076,-0.019164793839863182,-0.0187649805474158,,-1.6301320839728962e-05,-0.026229958623762182,-0.0687008345184829,0.020483714441282434,0.03411609341531128,0.05929993525869368,0.05785831185846041,-0.08434247583082585,0.09683290160073998,0.019867964887600547,
COL4A4,0.05437565900083557,-0.0008764379661699174,-0.0047767929597918425,0.03190092789775384,-0.012210781093328228,0.046240556191982564,-0.01912535987150615,0.00789854683677208,0.04042344047845999,0.0064509152434149486,,,0.053688050503475845,,0.0045814605148483244,-0.03333244882312493,0.04826707100031909,0.021978137467300703,0.02353591697597697,-0.012218221125803733,0.07798556209632124,
TAC1,-0.016485138738298866,0.07929679434423108,-0.0035030392525193556,-0.020705827753795647,-0.027188126795680365,-0.04913198722114331,-0.08069288163206877,-0.052025902761169536,0.02256743620108759,-0.04668183476432432,0.04406395917867298,,-0.03702203813194141,,,,,,-0.03220661204571567,-0.03255891789532128,0.04592076049455792,0.08072179181052284
RARRES2,0.06513653025428669,0.02887445613652585,-0.019668849610722367,0.08523442334110877,0.03389128907065772,0.0560967954817128,0.07328543077759936,0.17402133311232099,-0.05084350226632462,0.06071248135589071,-0.012119430722245132,0.024151468702425582,0.04111969973730112,0.08171771500966483,-0.03434845922637019,0.11815245660135489,-0.011497402412998287,-0.033056744159373666,0.047405418231071236,0.05398377919776467,0.004114017911889015,-0.03754395634760004
FGF7,0.06993021090713097,,-0.019223722582173624,0.050330449090475016,-0.0038992944507606946,-0.04817820218873464,-0.01628692428354191,0.07594036694165407,0.04966321148083922,-0.048026883157287974,0.05469271531319008,0.08000864995805994,-0.022759904444033762,-0.017481562215823893,0.1206754974893599,0.05906676085327187,-0.031223310415500534,-0.03568103246218804,0.004810977512851471,0.12950384353236674,0.07774407079284266,0.019294973829563456
EFNA2,,,,,,,,,,,,,,,,,,0.07911753442190603,,,,
HBEGF,0.054536619033829156,-0.026754847730191617,-0.0007508773220940369,-0.04729007920453224,-0.008912126541618338,-0.018594729455696648,0.1096947989589012,0.05055073829799454,0.007444293876456529,0.00037622595491806996,0.003500913991799896,0.007583151555702423,-0.0416031207213626,0.03637326999632757,-0.0005739825273535341,0.030255703571107337,0.07857367941068957,0.014111430174042186,-0.043817219661492685,-0.13502459916054457,0.0024898895450994885,-0.0064440376243818384
CSF3,,,,0.085418905390249,0.015268113081486595,-0.03722477064355996,,-0.010673156696402154,,,,-0.02707030192813865,,,,,-0.03463941052267385,-0.07747601202507817,-0.02676229196483189,-0.0042470970993206646,0.024291163505680606,
PI3,,-0.0035836273574742757,,0.05683926380957813,-0.026691366054055976,0.023776148508365052,,0.026785323793870844,,,,,,-0.06630802016311596,,,-0.06979901980346279,-0.05708175834061879,0.020126255887637265,-0.032631254065592766,-0.04883475741497466,
