,UKF243,UKF248,UKF259,UKF334,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.022546131213419435,
BMP1,-0.013959064054946938,-0.01486680136054019,-0.0156999995293578,0.0626158023596185,0.0879271951877378,-0.01880517828327635,-0.031488067860891665,0.04481662539760885
NDP,0.04387539304128038,0.05222472285411264,0.05218908577953422,0.0006508746703929491,0.03133441759694432,0.013375139626361228,-0.03905264607883539,0.026649237741782374
TNFSF18,-0.01987259320188411,-0.035578226780281615,,,0.0581502392961539,,-0.02697827288701722,0.003975588822156001
IL36G,,,,0.008010606022813437,,,,
RTN4,-0.03716401106888121,0.05558799997577419,0.0110883014078004,-0.028126575638125317,0.004887165325962255,-0.039825025080700606,-0.017443044951494815,-0.18886759354519347
HEBP1,-0.045353690231858784,-0.0400943069917322,-0.022856397689864538,0.04011068961523417,-0.03599380584470656,0.03292447655509446,-0.0021881889819841253,0.005645286924182625
WNT7B,-0.020187803909716213,0.006348578488158349,0.029339565871794343,0.004062138936614896,,0.029368827254520623,0.03679713906905364,0.112359781280059
PTMA,-0.082851337358056,-0.03887122384763894,0.00047117026107085366,0.011967844417172673,0.02042164622825267,-0.04653313840068859,-0.10493939595914424,0.022359232812275476
FASLG,,,,,,,-0.01955425190967487,
CEACAM1,,-0.007061062194713363,0.011008287233490207,,-0.03321399649466393,0.019980436439146085,-0.027206869535473913,
PDAP1,0.05029404469189128,0.029654101963731652,0.07437940589791342,0.008447901127657628,-0.014199798640965836,-0.003952943264491952,0.012644232257545006,0.021285477790584487
QDPR,-0.013696995985876741,-0.015676151335218873,-0.024239686099186118,-0.0461254321504288,-0.05415107673931465,0.006221175555220421,0.04592274282118952,-0.09354389738876481
POMC,0.05762900799775864,-0.053670151567974736,0.007363025579803478,0.021796066287690246,-0.012113967843851972,0.03738883936794961,0.01768768089571233,0.06314706801863511
CCL18,-0.026650781492332506,-0.0032561596509122397,,,,-0.005086228497474245,,
CCL17,,,-0.02000991909007993,-0.013611407510729812,,-0.0152966426714272,-0.017723733029997468,
VEGFD,0.008930269513418444,0.13318449460685725,0.030491144712702107,-0.01458776701995775,-0.04515370038869541,,,
TNFSF13,,-0.005284747503240921,-0.013802394353124038,,,-0.029351959695490124,-0.02887934363249345,-0.008897748415113226
WNT5A,0.012858224714546044,0.04576083473395358,-0.031214205932892897,0.05200146814457524,0.09342807056203607,-4.6524406067083825e-05,0.047268810516079215,0.04489195407269283
CXCL8,0.018043849304039017,0.05560206241368004,0.029717872899368742,-0.04385983362366777,-0.09851580927531435,-0.027416428001979732,0.04058260929017187,0.053784814789867894
