,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.02637801821497564,,,,,,,,,0.0010596618660490102,,
BMP1,-0.002540733238634096,0.018054330749753184,-0.026074905641933373,-0.04756964081680668,-0.1794748035580562,-0.010665059670437491,-0.03174703086847283,-0.03423433973043213,-0.06360316384517056,-0.04847586654294336,-0.01615465967247035,-0.027254844160154387,-0.05447642923456818,0.02777885461214257,-0.004702200531851981,-0.031675751914711295
NDP,-0.016449537047807876,-0.00023860999849988868,0.04890171516150009,0.024282362661013406,-0.0786061808467101,0.04133428855179028,0.055795206616127295,-0.0019415263823442466,0.05771687224861743,0.0779279056255171,0.0364229975743262,-0.01092698155581437,-0.048056331621410986,0.04458845729473006,0.03274707275973779,0.01933621716473553
TNFSF18,-0.018372684664363495,-0.026329533386903387,,0.028834594799465405,-0.03917056515943183,0.07239102147206199,,,,,,,0.0312901553683285,0.040157485038015237,0.020478579797112487,
IL36G,,,,,,,,,-0.013752905082732221,,,,,,,
RTN4,0.009662101201135866,0.00489267627769993,-0.02063977953654313,0.11716775224213745,0.24116773371159006,0.12177101884622327,0.03553690276456547,0.0815109498074839,0.09787751905405566,0.03116435747979986,-0.0013404734758185035,0.08876527338750229,-0.06960224729140803,0.03821503091790999,0.07741684405118548,-0.01666118621798415
HEBP1,-0.07032203828847787,0.03204072993610793,-0.05369083568767229,-0.02631013155955417,-0.08686976382788578,-0.0002463057405673345,0.036612241071543185,-0.02355808897215162,0.025141538995827474,0.028366634489175566,0.0424746355003257,0.037491865012373414,0.04902335055729913,-0.023235534408950393,0.007022778475879207,-0.047435435172724555
WNT7B,0.07747828183867647,0.026834952202468683,0.03618001858664278,0.04673011868354803,0.13376726482911883,-0.02249541796974063,0.008732269363432356,,-0.015116027589951432,-0.013950860548241552,0.033305582353039806,-0.04361882911412045,-0.031128501754568175,-0.05556686209576103,0.039789292977717716,-0.006975546749121722
PTMA,-0.020084674883851183,-0.012339805300264866,0.020341051208669674,-0.12789694493272127,0.0896589716194585,0.001037622483310835,-0.06677356099359681,-0.05417557627122279,-0.0836280554575623,0.04578519609712873,0.016173674684593096,0.0382898168720183,0.014077926736558265,-0.014228599204740032,-0.06179476514068385,0.039372052399276956
FASLG,,,,,,,,,,,,,,0.02343204370850597,,
CEACAM1,,0.023130215397699147,0.021170488394546213,,-0.051546232761237855,-0.02430884147330856,,,,0.0327730044073011,-0.008776035924991285,0.0061941208011928525,,0.12037253396176137,,
PDAP1,0.0008425200387410148,0.036114693776768264,-0.029502721591666305,0.007505561408903864,-0.15035342355546175,-0.025470933500304067,-0.02309774190246415,-0.01240939462574078,-0.06555904688933156,-0.0010082016046765114,0.005360305466831705,-0.008641518891994712,-0.04108486500181134,0.025975233677572547,-0.08640629914326342,0.04871881152194848
