,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.025621882781577558,,,,,,,,-0.021110096120507786,0.031257688824203135,,
BMP1,0.03994887527578359,-0.03723314277197244,0.09083599766205942,-0.014980533521664207,0.05636606653213871,0.05625976474404419,-0.031148375592913582,0.08000101366159869,0.004793125713207822,0.014391014277415343,0.019425734129016544,-0.1260670399641622,-0.03491403733793064,-0.08293807223968166,0.016431385593462775,-0.032244265978823135,-0.00029680837898442844,0.029205851985692394,0.05659495540101483,0.06496040491152016
NDP,0.029351168824468084,-0.040440015269401115,0.013030507899790267,0.009857102164214208,0.021329773839447022,0.03574484841924644,0.007193567059931433,0.008426540600896629,-0.03943351849382522,0.0417329619939594,0.03170669290794567,-0.07809329178747028,-0.029402032378534067,0.03818524583512923,-0.05942256484663892,-0.023333281134183582,0.014534001696652806,0.15469142856028786,-0.023627839280055667,0.020189650773651598
TNFSF18,0.24104896930591577,-0.0418834530824817,0.005054102542694923,0.17270902600510002,,,,0.06148444854099585,-0.02185941680075632,-0.017968895890272188,,,,,-0.005682003944609045,,-0.021770469514001318,0.0283285816588179,0.006080992108613324,
IL36G,,,,,,,,,,,,,,-0.021346935151740038,,,,,,
RTN4,0.05098950125106214,0.015555040474210875,0.007066330543515349,-0.00022706639429087225,-0.030790301408396826,-0.016515908371565483,-0.04802128598036379,-0.056179138113421165,-0.014024939668628729,0.12146333582873642,-0.036853492082818455,0.2797071015457276,0.05189892607646889,0.15590251197290705,-0.04254058346777298,0.08969456049031793,-0.025311808921869332,-0.02850322108404284,0.1012109793737064,0.08507189987303619
HEBP1,0.027346037838496137,0.05233673892624269,0.005953478411691136,0.004023931444653458,0.06225300561714739,-0.02727323307305064,0.06555408126054618,0.055657440354495755,-0.015906152081503047,-0.02583441751724276,0.009719885645416147,-0.04404344898164172,0.02059900669680471,0.018341504720144983,-0.02521664995312053,-0.07162091664891375,-0.04018274853570313,0.13599189235464787,0.06285918060656033,0.05685371762698954
WNT7B,0.05492957409072142,-0.027602794696823082,0.002091870503649672,-0.013659372509742782,-0.023196114748264867,0.017790338651140217,-0.02234369630500558,0.0951072912441596,0.03675871788204693,0.02007077146035886,0.01068993562042202,,0.007130992586520804,0.1091805378553067,,-0.03732866675125415,-0.0455238129389338,0.036516207377114515,0.0781110103442396,0.055083447474942926
PTMA,0.11737966792949166,0.10687158757269473,0.04880936274006265,0.08521376479906337,0.03137501805055387,-0.013369952598733878,-0.00275744175617066,0.14760167150220535,0.00765987930920747,0.07254503275675005,-0.03782513022751195,-0.2668078538035344,0.020659558833012084,-0.13900705849674364,0.03373500402613619,0.07729994735400535,-0.016549810261408743,-0.09701712628629103,0.008148959407683525,-0.1426825604167471
FASLG,0.08158873826811341,,,,,,,,,,,,,,,,,0.027546199210233505,,
CEACAM1,0.06293139014454924,,-0.026087350014410933,0.06335465734044027,,0.0290448372596228,-0.006244441055721909,,0.004542760680189099,-0.02826079243278224,,,,,0.08162770991077696,-0.03347694624877905,0.0016505327824988102,0.0360166819771908,,
PDAP1,0.03359728329764988,-0.002052120370828671,-0.010513944040381196,0.022509150821680278,0.04326433809807316,-0.03214423989444035,0.03267873806667293,0.05624924520753951,0.020351060691454828,-0.007803259147737434,0.014599443887974996,-0.02792839620982034,0.028462948953176567,-0.040021848378627545,-0.007638055532986677,0.0670617920250816,-0.02096231342446631,0.03615471827729469,0.01806939081878713,0.05935751170716469
QDPR,0.1392682904473882,-0.0006685902816530142,-0.003606917126037862,-0.02895607939426809,0.022007269030863558,0.0353773583167951,0.04270011820796535,-0.019506820453373326,-0.03550143130554367,0.06535991903830811,-0.053063667324851696,-0.20492796393088789,0.08315703161934933,0.07448488930402024,-0.023616710496300895,0.018633661181579678,-0.059680472357802654,0.028101782922533257,0.0014579384004606009,0.05579819907014908
POMC,-0.0437453626027756,-0.019168921602983176,0.038807053205211446,-0.005978463149740788,,0.047669653823181064,-0.017721929292920168,-0.044421598295914605,0.031243617368558702,0.03390424578623785,-0.0451638434813465,0.0006723781930447397,-0.044805558346363364,0.06076664810589403,-0.02761203037996892,-0.011489240401165005,-0.003918055514629862,0.07040330585438195,-0.04764817261393075,-0.02932648985904109
CCL18,,0.0023705872748555593,-0.0371171841631055,,,,,,,,,-0.07848951701314691,0.006554120466243288,,,-0.023735705304179774,,,,
CCL17,,,,,,-0.02178976978655623,,,,-0.009865609928287663,-0.005545814955384482,,,-0.019501031300398,,,-0.027832442309783916,0.01434066945316549,,
VEGFD,,-0.02435002506460874,-0.008058901693845264,-0.008585182042466648,,0.016273644795545265,-0.017151237692270182,,0.06415801698999123,0.04855728295277701,-0.00643883226972641,0.018615959130817136,-0.0033960302310801324,-0.02089985925664618,0.06785852807926367,,0.0049893852889990285,,,
