,UKF248,UKF259,UKF275,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.015610219779152789,0.05642829616111033,
BMP1,0.12259966183419624,-0.03522522879867683,0.04369754477696896,-0.013892302400916063,0.09167526121769032,0.05525093458853257,0.11958510671585458
NDP,-0.027472368509452748,0.013977705712560433,-0.052181612724699775,0.03638149907809129,0.0912345336266012,0.09682579380782533,0.010916668199020891
TNFSF18,-0.02690150846137071,,-0.010647509681371023,,-0.016098544121680273,-0.042993062538125286,-0.003847735915340718
RTN4,-0.03771592153101951,-0.011434091490208128,0.021811166751323767,-0.020078356890654646,0.002858164894205632,0.009105162629682771,-0.15407098190155769
HEBP1,0.07893625778008283,0.05213880924069,-0.0014910738869235963,0.04829365167473246,0.051845509251006075,0.06031624096175407,-0.017966845607438893
WNT7B,0.018805438277221396,-0.004827964731595583,0.03944090995467277,-0.007904528210051859,-0.01877232947278101,0.027474286507590734,0.1397675280014801
PTMA,0.020058654530321157,-0.0025830029591273557,-0.04331351983833518,0.008039477582058615,-0.07641427985469168,-0.0412359862589191,0.07390093882738126
FASLG,,,,,,0.07172705522124688,
CEACAM1,-0.017122072881071346,-0.002232089910485878,0.049059916316571174,-0.01876378306021843,0.1514461279848936,-0.030756426243262604,
PDAP1,-0.01847318341642368,-0.035616465734771036,0.029348075243008767,0.02196796676819023,-0.003595334547716836,-0.022798531573018577,-0.04635200987607269
QDPR,-0.028583880473773516,-0.005515402296892031,-0.07082889214088922,-0.032895897313870555,-0.0530514672527545,-0.004837288853566798,-0.1085972082297826
POMC,-0.012180386338276814,-0.0448570697606371,-0.012354528249030876,0.04632555309325736,0.05204080686398615,-0.04734480978038473,0.059257681720099646
CCL18,-0.02136672919317777,,,0.041714315633452105,,,
CCL17,,-0.027919436914172004,-0.013279517579130084,-0.013311995888596209,0.027161408046014187,0.14727678963779453,
VEGFD,-0.021366735978115045,-0.031105335858001765,-0.014148202783512946,,-0.021706785207105228,,
TNFSF13,-0.016124024623621225,0.01090261405201391,,0.061868082692521,0.023384638792995918,0.05882400818289153,-0.02644443158509638
WNT5A,0.05218590181492668,0.01551127429043399,0.06747533395047858,0.014717998676967783,0.037516232266458976,-0.017823099318794146,0.08962866734436509
CXCL8,-0.01531114931918977,0.018715869488856625,0.022312369232432044,-0.045535422277769036,-0.012426732278483996,0.00872727521630824,0.04442632110480323
GRN,0.08715783760054183,0.03994452637418293,0.05536339717389308,0.07676872844628409,0.07825363482213774,0.02753455087372231,-0.018505408594465943
MIA,-0.0007821568860127264,-0.024541423295416028,0.018983679237524583,0.04785800517307875,0.14786122383550723,0.002551431437319588,0.12630282603014917
COL4A4,-0.025661268161331508,0.035889001176650205,0.06553146513824816,0.02975092446817856,-8.449396601510586e-05,0.019403431448109982,0.004589422968293195
