,UKF251,UKF259,UKF269,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,-0.021805318602871795,,,,,,,-0.013284719836667186,,,0.0029563088814651725,,
BMP1,0.07348724673245803,-0.06731214490168506,0.06091096353124225,0.05833175402351423,0.019407748502364285,-0.025620861898438207,-0.04779229879379063,-0.01378448273407094,0.05833375788193972,-0.0024719067686774228,0.010102458125465341,0.07151788096312821,0.05806392541266136,0.015784687014799376,-0.05232662917283486
NDP,0.04486571987150684,-0.08773533229921121,-0.011479828152029744,0.010924431802817661,-0.04756817438794105,-0.01780739922113323,0.014944075631603593,-0.009977916754900748,0.0345978367098686,0.0022112392837654233,0.019229071223965114,0.09366275772666187,-0.01966791697290705,-0.0008369095032361907,-0.005495616694884045
TNFSF18,-0.03143334530736427,,-0.03238024351166176,,,-0.04352269688758497,,,,-0.015920327201835408,,-0.0045269541116534015,0.03361872197431675,-0.029753370923993907,
RTN4,-0.03793737605188894,0.038832975454719344,-0.03780935402145189,-0.0940088177421401,0.061313585469330335,0.019647812047723832,0.06445639666866233,-0.06570315611314868,0.0008098095561650276,0.06618523492174505,0.05915934735567948,0.038203592099086345,-5.0098827888670806e-05,-0.05067410175624166,-0.04757263895820298
HEBP1,-0.028658813051746737,0.005107476449401448,0.06369748655814385,0.08886794741179997,0.037979107927667975,0.04540316075733514,-0.04480507147836593,-0.019757079903437627,0.0806255513740166,-0.0016294887581644224,0.014802888835214108,-0.0005698810027398661,0.015185938467895992,0.030739167042920755,-0.009854158319825059
WNT7B,-0.007893559497989354,0.027519889180742874,-0.07102634614960053,,-0.029677803620481686,,0.015538483558529497,-0.024513391831618853,-0.02227465213506774,-0.034195419653602635,0.035069951354510846,-0.02370165174242176,0.03135307241115578,0.07836700212053402,-0.039292408493155816
PTMA,0.0019132684775888943,0.03837471902219625,-0.023351543253253497,0.1285130900234966,-0.026971757644877123,0.03369949741978847,0.014979458659662928,-0.02106224652010469,-0.011726247654547866,0.007186805406873429,-0.057031434716440926,-0.014253353120417082,0.09513616101423067,-0.034255669657317626,0.0025372799553234266
FASLG,,,,,,,,,,,,,-0.02404986303587546,,
CEACAM1,-0.02697730778594631,-0.031149753427538326,0.042918059779883916,,,0.09406803152171847,-0.04178726918050056,-0.02033423677896542,-0.016479390596500842,0.08175452675644257,0.07177929130863238,,-0.03346185213249408,,
PDAP1,0.09370862406308271,0.02781051026787334,0.03995753385698716,-0.05957238462928056,-0.029776301805206882,0.01517302573328965,-0.004213162527934648,-0.019151965993704032,0.03448965266346427,-0.010223468354228065,0.024847887457691703,0.08273910133175824,0.0031482580066092844,0.03199079626491622,0.11636748233649616
QDPR,-0.07535370008178577,0.009115946544341919,-0.02053939902531658,0.1320132472134335,-0.02963522728024455,0.11896952610043628,0.08458350909919453,0.0328646884780612,0.007996853104102912,-0.02223271710376492,0.04277619287808474,0.10321629900942371,0.008995791639124203,-0.03714206009201813,0.07484879417496311
POMC,0.057044424393744825,0.021396872420903372,0.032777873971575014,0.054376407639726156,-0.02422257515012017,-0.03870718264480423,0.05619102301258946,-0.011264660474938949,-0.03860532847789923,0.04835417615582386,4.58162594632316e-05,,0.012663559458232894,-0.002643538732164149,0.011039916542598106
CCL18,,,,0.06167265271134697,-0.028658293001747364,,-0.029627860897586174,-0.03721140387367676,-0.0402415805775515,,0.030275437324310213,,,,
CCL17,,-0.018054782359879236,,,,,,0.1057468894698494,0.08349543872427019,0.012916469683018102,,,-0.021798499570569792,,
VEGFD,-0.03863958096320747,-0.020115021333474647,0.09341004827679406,0.0018952266934077282,-0.016365750931549364,0.005603972854777585,,,0.08491950602224715,-0.04346379515460155,,,,,
TNFSF13,,-0.012453784793883699,,,,,,-0.027681628037921797,-0.02585786760731338,0.0012700329339861388,-0.01927393595506983,,0.0005129246213373528,0.17325694749905624,
WNT5A,0.025562971397434273,-0.027138737963898353,0.004548097184039547,0.05547006163069599,0.022216934063434675,-0.01744858729673558,0.06254093955643583,-0.010184109692624206,0.08510071180496845,0.014415920789319194,-0.01112373611697531,0.000602006168571119,0.012519690351824797,0.0052949567913983565,0.12347329817572496
CXCL8,-0.03617981337294385,0.11608346606481347,0.004496772522102696,0.07904622810995907,-0.021850512088761785,-0.044660780369201854,-0.038782079394125896,0.04013638255890861,-0.03870464398300184,-0.04084846938293698,0.042235792875961034,-0.02152747864761197,0.04086221242017004,0.037456681651580635,-0.023857988842688003
GRN,0.011475908878678305,-0.009560083814537773,0.07870532640312848,0.12102839047812498,-0.028074108494814346,-0.023151822887852936,0.05196285588679987,0.03539642204080185,-0.015587867421931625,-0.03854029424561252,-0.05129579001718335,0.05587356059808051,0.021993539325619003,-0.025950608660513828,0.06354455618212879
MIA,-0.014355386958412306,0.04460744355909425,-0.0008602811739901349,,-0.022194898418112,0.022999509514808652,-0.042214852177051856,0.04196957520338994,0.03642546963202689,0.027159029248050984,-0.04541383533740463,,0.08615259806516555,0.04091222649812602,
COL4A4,-0.027638297660361508,-0.011934615789370658,0.1201558583776692,,,-0.002340277925988878,-0.03745887349661335,-0.015719072575600748,-0.02638608104459304,-0.01331886942948034,-0.03459123867392729,,-0.008902235252911228,-0.008787129066265185,
