,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,0.06491833259534409,,,,,,,,,,-0.00963520896348693,,-0.017544607495775657
BMP1,0.02008679194192875,-0.02113825826759769,-0.02252327018186148,0.026296151778651373,0.05663979115533869,-0.019238568860664024,-0.03154999500584919,0.04767195353416201,0.08424731281226666,-0.07394684554659546,0.021457039121847404,0.04555222279400231,-0.013165141926130485,0.07901254930132036,0.11136270168298874,0.10649387169326766,-0.026093681187437663,-0.022565104463625023,0.016110184290542392,0.01097206746664406,-0.0033508361368121565
NDP,0.03608150246673874,0.07242525258157509,-0.049280753461847376,-0.04771686074505953,-0.00770051048796317,-0.00994860833037101,0.011669826550375642,-0.02020962655451896,0.02429262152713685,-0.028271153387759443,-0.0013303477769889688,-0.014283656893838906,-0.0023713986607223495,-0.025799238148641157,0.022529358778345304,0.04589069407622947,0.046538645154814214,0.03991412561725199,0.002807173291022114,-0.02542713412248988,0.017469551567323986
TNFSF18,-0.019279976810484146,-0.029214540623875945,0.046650665192898885,-0.024569837615568538,,,,-0.01363303928808082,-0.02776509083251528,-0.024553603854644626,,,,,-0.055583211685125894,,,,-0.011120838483372093,,0.029494860140077954
IL36G,,,,,,,,,,,,,,0.05282412598566232,,,,,,,
RTN4,0.00263763346785533,-0.04361938460336751,0.009664845856321744,0.028908739516487113,0.0498676276957752,-0.011287939705298174,0.04927610185154787,-0.058595401433830394,-0.04138813260822385,-0.001578801737610954,-0.04567349555612429,-0.03118038998349864,0.01069084577519337,-0.007488510535713805,-0.013848769627933615,-0.10280122582642334,0.016620639775121546,-0.017283000091129805,-0.04404457539758158,0.03200507824545469,0.03451137680548924
HEBP1,0.002782014777990516,0.05484505717238479,0.02378782866709388,-0.014847082463572739,0.028726823529383987,-0.02693181532104942,-0.009246876652214185,0.00439207394958966,0.03523924816986238,0.04033739234070713,0.0063821558249348,0.013722309881100153,0.024414454331329653,0.02410739800594578,-0.03071084413629156,0.07482282105534903,0.032351927485152,0.01732674396942899,0.0064755471584261965,-0.005028723300494961,0.0734991376255674
WNT7B,-0.016985055704370575,-0.013482039052439653,-0.017194419351467375,0.009852174845942314,0.026220180104600074,0.0334797643875434,-0.010580967235589956,0.021013044340147537,-0.05684394459190934,-0.043678954151474256,-0.01108347869080762,,0.03333629988377389,-0.028138280209111726,,-0.035174957872615736,-0.03201365932247514,0.02468161586250155,-0.0038045640068281213,0.008849131024726679,0.03038334918404713
PTMA,0.058770786935921776,-0.039146573629987594,-0.0821773897845245,0.03922877858026315,-0.0798356373019557,0.016728348056457606,-0.01010088116959861,0.08892260922960485,0.01663150361096569,-0.025975689344562545,0.04053857592625874,0.10189935946997038,-0.027102339268485934,0.11497189231554168,0.05717991804009588,-0.06062083879742198,-0.0710949320907155,-0.08576264311322017,0.0296947724480761,0.0118930274615513,-0.04175107707072981
FASLG,0.011240591062845962,,,,,,,,,,,,,,,,,,,,-0.015216432095656892
CEACAM1,-0.02358390516052096,,-0.022315900357306757,-0.016246414353785214,,0.0608269503518659,-0.009227623507360356,,-0.0154292279137985,0.02188687198777624,,,,,0.058543411550003324,0.019562419402924223,-0.02427223507028402,0.08836799566591107,-0.01580521282592519,-0.015355403709017543,-0.021171430374030534
PDAP1,-0.04853995094262317,-0.05873934949692916,-0.04722124875885327,0.005713678426187166,-0.008806724905710855,0.018887795926695608,0.03930545992569275,0.053525515791536665,-0.009134401912445498,-0.045576391212592576,0.058272117137005565,0.005046592483259046,0.021845300921418842,-0.017855324818743447,0.03178483800895538,0.004417225612477726,-0.03933255179490899,-0.006330482787087308,-0.0423896722205382,-0.039862458666717955,0.05180443293161876
QDPR,0.02108612543278138,-0.005439407496974745,-0.03603774383343866,-0.05262443390529861,-0.04628652081082142,0.00841406180688774,-0.017544094379615138,-0.049331976602972415,0.05397162122275116,0.009430843762917562,0.03515541839815449,0.10367520406665925,-0.03969390935011617,-0.019500900163894747,0.056524462197109236,-0.11919151688534829,0.01133418999345459,0.04660402331952911,0.014383026609792264,0.019566137624994522,0.054846403338594314
POMC,0.08598048771238137,0.010184073171007125,-0.004707111282270993,-0.028867286311529045,,0.0173551025183203,0.06968738834998528,0.09602410037620562,0.023038973665692533,0.03052302349311444,-0.001128602564218064,-0.0519413963778766,0.06405362364101722,0.027556620350032087,-0.005327501963254579,0.09027226858610733,-0.036214439101820275,0.09524937111141249,0.022366780563717912,-0.025119423295647085,-0.03166426957947207
CCL18,,0.01991250524227893,0.05966025859847857,,,,,,,,,0.0963800755327871,-0.020788326537417686,,,-0.03184645208647806,0.01645091184749211,-0.005182240842363115,,0.011310461790413324,
