,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,0.007419368517050195,,,,,,-0.018656933959357268,,,
BMP1,0.06896746362914413,0.010379218489603348,-0.037134080225678816,-0.0938362586410274,0.016999545851265323,-0.05846445621928883,-0.07873506867481068,-0.05014602753620509,0.0893085213450509,0.023254089291224054,-0.05980073531555301,-0.022543203620178254
NDP,0.00418410553269042,0.03443806874052109,-0.02282463353011824,0.005423117731095669,-0.050552496814619007,-0.01866405618232138,0.02230415800000607,-0.028053167157628938,0.01891088871580616,0.05643955361299849,-0.04414582388041108,0.021703395915088672
TNFSF18,0.02107073517397171,-0.025553871496758536,-0.0029614753024592706,-0.02036821991879846,,,,0.07688740199153055,0.007084998484477284,0.06584341243205884,0.014010178191114157,
IL36G,,,,,,,-0.011367921125779843,,,,,
RTN4,-0.03387819104074195,0.1536931030988392,0.06130290219377707,0.00653228662579633,0.06805007528104567,0.11886064293257768,0.11689061690814563,0.07203838922331218,-0.05325579059038923,-0.0706799975745039,0.12631975943368962,0.026167036033811403
HEBP1,0.025857881082363754,-0.020627607834038043,-0.040293149978626513,-0.005485134185652992,0.009049110508959889,-0.09126559021682612,-0.01266501508453805,-0.011072479266185537,0.01044229126653989,0.03324397755179488,-0.03648523881045448,-0.0056658584814258655
WNT7B,-0.005315573167497499,0.041584120793671416,0.012748080003327176,-0.04765791858853136,0.11368626970523975,,0.014242170898263663,,-0.040233581445170204,-0.03947951017887548,-0.026742271718701582,0.1729917530240188
PTMA,0.05174072041556928,-0.11263516490824722,-0.0012022134177601016,0.04904912910485769,-0.10329286751761661,-0.12835240414442664,-0.11294658527807569,-0.04226653365397874,-0.09757817219078319,-0.038162707547874763,-0.020129613828433746,-0.06440714553880643
CEACAM1,0.031454210118253896,,-0.0031879575600988344,-0.032034357529003674,,,,-0.03834491423762506,-0.027646685574025352,,,
PDAP1,0.05452411137603256,0.006489903256454866,-0.06974130519875658,-0.018178803971120764,0.00477552567070897,0.0018855243339865827,-0.08478852562145359,-0.03395975431543583,0.01902844699212755,0.0607304772778472,-0.06753489969209137,0.05166654979741018
QDPR,-0.013522827615533336,-0.013609389255275089,-0.0013227495525982567,0.05991051857291595,-0.021816239277789893,-0.09649353737031577,-0.004847372445303302,0.015104618333136848,-0.08606786718019252,-0.10688435475350708,0.1748554081829077,0.05362430558859866
POMC,-0.006946851028180885,-0.00570819526705948,0.051937924944384525,-0.011471828876774042,-0.021936454382724752,-0.04875576178968422,0.09493079556773776,-0.01643574354356251,0.023789819177169044,,0.009165561789515225,-0.06559749278556046
CCL18,-0.03984089783409976,,,,,-0.013943224280091093,,,,,,
CCL17,,,,0.05350935140470825,-0.021713218399769293,,-0.010384918683571222,,-0.024598089707266048,,,
VEGFD,-0.03984091048545086,,-0.019985187521560435,-0.027064892578077624,-0.015926908283420797,-0.029151242040846542,-0.011129839008766894,-0.05212907062220311,0.014268517707849893,,,
TNFSF13,0.016123557839483722,0.004652085985367349,,,,,,,-0.026378270109573172,,-0.0318260835902164,
WNT5A,-0.03311505875029891,-0.0443389484549978,-0.04182375271126013,0.020773313346853128,-0.05105209046873266,0.09121199216027424,-0.0634996796521688,0.1096405622289162,0.04105896214425651,0.18095527604869815,-0.042319469425762424,0.08123622818571569
CXCL8,-0.033929369156948413,-0.03525068028582538,-0.0043848349483734915,-0.03896155532475915,-0.014831829518516792,-0.029936729738482763,-0.02269240677261273,-0.0003161515446797244,0.035932638923639515,0.13589760555578673,-0.1332286151410705,-0.0391465440563509
GRN,0.031248741672095976,-0.060290366352473056,-0.02434561268388268,0.03815294469465619,0.005253376536247386,-0.0815891056526001,-0.022632899042621384,-0.026211245585972417,0.08522821091636489,0.01414011562788788,0.07143582048694867,0.08032047168521403
MIA,-0.021544525025030726,-0.036709482083133065,-0.0063657910426302205,-0.031692915224252924,0.013454871529984385,,-0.015242824575874026,0.0014030280020176816,0.06598988690246946,,-0.06178761086374367,
COL4A4,0.008018160130733861,-0.02357890629891106,-0.023665352624737165,-0.01588486257387432,-0.011438633844210478,,-0.014786105333646753,-0.04081808893916581,-0.03789136880682467,,-0.05015909341908588,
TAC1,-0.031150542953854166,0.11975938702923898,0.0647890113195519,0.07317654138277348,-0.01144505891530186,0.06683231423583835,0.1525497637730045,,,-0.026662829303612655,0.04219996281016237,0.0055868721871511545
RARRES2,-0.058484592953304784,-0.0702399935305932,-0.04606509100817456,0.08131148371804439,-0.030878420688573046,-0.04606912766272865,-0.077341584712032,-0.07494137752115215,-0.013361221609446724,0.06739623156257281,-0.08863381762934727,-0.07633903204047666
FGF7,,-0.021659839502820133,-0.02456706854122363,-0.019214410584103326,0.011227985041920512,-0.012198344290710894,-0.03977873818545263,-0.007716289088184657,0.07479554953603,0.076155038284896,0.07482836140656826,0.008742369452658745
HBEGF,0.06725060895857855,-0.10130892808997019,0.02825902807960741,-0.08417136656868528,0.0038489993121348983,-0.07031578897542834,-0.01582124430521752,0.10563530722784598,-0.014104297106306916,0.047955868396665935,0.054048921303365256,-0.08165700477900209
CSF3,,,-0.025037487575496797,,,,,,,0.11194029978595953,-0.04397021373073385,
PI3,-0.033909191115943565,,-0.028192541469076307,,,,,,0.026092146328761966,,-0.043794643600844334,
PCSK1N,0.002778676003487439,0.10344278530837055,0.06236636658620596,0.02320339725213484,0.051584487473556935,0.1376916143043273,0.09771649821366768,0.06339042857930065,-0.025269029817954935,-0.052296249741421864,0.1753881652396873,0.11455184432881273
NTS,,-0.0020469691029992854,0.10887692756128123,-0.020678004540201023,-0.041314525358146795,0.055211924186512426,,,,,,
SFRP1,0.0006921892070925345,-0.007921658729627181,0.010556220797081956,-0.009114298149433396,-0.02171321861843924,-0.10255345243104112,-0.029653542191663166,0.10828269824224107,-0.01616817774627321,-0.04283723752697181,0.007111949825219544,-0.0031360328752316527
CXCL13,,,,,,,,,,,-0.027655989334087,
MICA,0.0763077288957045,-0.014876404904082229,0.03624245534055614,0.021877216390571334,0.011822463686509736,-0.007607507486271503,-0.013272469654415362,0.021385224985579404,0.08424045207333783,0.00672123758961928,0.018526407241172212,0.007538127301058668
TG,0.0812013197162885,-0.02118846325834202,0.01948097948420952,-0.02559269798452261,-0.015713761863632048,,-0.015599613205269328,-0.03049306359690708,,,0.02615230707855082,
ADA,0.007868051089583527,-0.021621698119924287,0.0029958878912950304,-0.05335912769159293,-0.025520412968108617,-0.07759001250930332,-0.04753660304088083,0.0861528461162234,0.029416404553288845,0.09633948418172655,0.025390325210339834,0.04032908674294365
LAMC3,0.08736869718366842,-0.012101516680419675,-0.039298543696538804,-0.04845450536265627,-0.05483394419558371,-0.0013053294824222933,-0.01832214567328585,0.07724342726513928,0.06292438469088957,0.038214946142218216,0.04090459486433799,0.010458598610264408
CCL7,-0.025342176692500995,,,,,,,,,,-0.04137931059540393,
NGF,0.00798222439694998,-0.03170545299435272,,,,-0.005453951946258516,,-0.035556690111810806,,,0.0071008759092729655,
TNFSF15,,-0.03849737081854638,,,,,,-0.05865812461840818,,,-0.026912425644529493,
