,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.014513723234040956,,,,,,,,,-0.016603064049238135,0.07378267588167084,
BMP1,-0.027918909684156782,-0.0020766646452683836,0.030175903846148253,-0.010998724214870068,-0.058646089194602645,0.04858237259819163,0.0041277532673239,0.04845558422368017,0.07927107077224405,0.08374847601842345,0.011947826272900497,0.04164232177727999,0.027607530062315314,0.04751698473553367,0.022384503099213467,0.037453556322158896,-0.04335076573898379
NDP,0.019965015409045463,0.03469130156928792,0.04562905667846795,-0.025179843697670817,-0.00947410481254681,-0.020732267722840467,-0.0034587208582820346,0.04640332737522065,0.09717789313113472,0.19383103250831996,-0.0010466051356338153,0.0068805845571538625,0.03448981760653438,0.030802299653466612,0.05835860075455114,0.11768130570011778,0.021015508001020162
TNFSF18,0.11737003176545559,0.010566770070077326,-0.025289796944407413,,,-0.021552443288639454,,,0.13537929816586075,,-0.02227012617918124,,,,-0.01712244689268878,-0.033816395197594606,-0.004089510423424128
IL36G,,,,,,,,-0.01452708715662383,,,,,,,,,
RTN4,-0.08579393028591296,-0.00237872365253464,0.001685280954587691,0.009074530871260804,0.042326460801502624,-0.04326877734929831,-0.03386500234209872,-0.02928076385591006,0.0032899732428824245,-0.010858172816072079,-0.06033579534628007,0.04855767861492348,0.03645267594033303,0.039072451975117106,-0.023173455105966946,0.0014414927237154454,-0.16420760415657432
HEBP1,0.039807315151683065,0.021795620126566554,-0.05294075179982097,0.026453346527049098,0.022055901388275182,0.02360945910569719,0.04785078625635451,0.009108603851063286,0.07942406977756006,0.0595974339009413,-0.07823030832800852,0.006448321580316783,0.016909461994344854,0.011604204175480274,-0.005110492943808872,0.07391872736259023,0.015437908424763865
WNT7B,0.008274876008759313,0.04763313147836425,0.06659915016666544,-0.015285670904871073,0.023476458856972405,-0.027564218488838853,0.0536413559683131,0.0051407104199578104,-0.00012378063942946357,-0.0144695068407233,,-0.0028522717260859604,-0.017611487788480432,-0.03570514984003975,-0.03580442162252327,-0.06777531865690077,-0.04404504458972772
PTMA,0.027025595184436996,-0.020725226171717803,0.016687068751034262,0.03524069150965897,0.007966133321647301,-0.017106462778508334,0.10981477270864684,-0.007730345574378315,0.080993255267728,-0.04956219732245084,0.08681160267596194,-0.07777147443778382,-0.043394977039030676,-0.04863727919061352,-0.11539363074468402,-0.08524643183615371,-0.07216892765980766
FASLG,0.04094000350130299,,,,,,,,,,,,,,,-0.03180894867728136,
