,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.010767773950659356,,,,,,,,,,,
BMP1,0.04000328362157955,0.029557908537814693,0.017964702375547648,-0.030180232809848426,-0.0662386986171072,-0.04988618543422438,-0.03803336499096248,-0.07106913801076171,-0.006717306183027757,-0.020567550484021365,-0.10587432697790485,-0.07579060554352246,0.013768840169252162,-0.03991454716256027,-0.06948913760017729,0.01677923331181079,-0.07339508463647283,-0.0021431044024175423,0.07324446805875198
NDP,0.12545727668927845,0.034309735296722814,0.05676980038951445,-0.003385760798089731,-0.03555945859305573,0.10682685801339345,-0.011831389423102714,-0.016796866314659407,0.00991576937056732,-0.052439413798857616,0.002766704616207788,-0.02192676558359265,0.046300628769532975,0.025879807818363267,-0.0033802876251890837,-0.01904155662388151,0.06718663517298588,-0.022064014088485195,0.046121416239495186
TNFSF18,0.004090456529327852,0.0022658202525181544,0.018714804769568095,,,,0.06556426808844211,-0.03886240903251483,0.006461161344739633,,,,-0.02450776059992633,,,,0.05806575098211972,-0.05640302450657183,
IL36G,,,,,,,,,,,,0.07692296775526575,,,,,,,
RTN4,0.017078042907118954,0.041065837969762535,0.058772362947709524,-0.03370019925285882,0.014235793177697053,0.0690935369023048,-0.05204294320121503,0.09093892291128237,0.022415315826077566,-0.04231759448657052,0.13147798462569021,0.16401609686298993,0.031334641104164056,0.016688319847338484,0.05774644793555885,0.0062128195498542295,-0.010653124451987947,0.13618871809479094,0.0037903005727637877
HEBP1,-0.03150215958817604,0.01691055600030458,-0.05716732762945066,0.07807032523954058,-0.008938354346081742,-0.022911133316085706,0.052888000936805644,0.01587963104073641,0.024254016298684032,0.10272321588376589,0.009724104363761097,-0.03459114069205426,-0.04290361651838604,0.0336934933078869,-0.001096477393770008,0.03855610863417151,0.029508714007470658,0.03242917532196546,0.1840535066689017
WNT7B,0.008376710466949886,-0.027369739335988838,0.022462177612972187,0.0040414539409233405,-0.030648734824504732,-0.008776381406640357,-0.022950810151762157,0.10538036266981109,-0.025060654443173836,-0.05593597070744397,,0.004413439898863422,-0.026980652330500697,-0.004292849983738422,-0.034221693456456356,0.017658283390918007,0.0011960834330638592,0.03978200955578454,-0.08594631203972519
PTMA,0.07113186486114531,-0.01008856756336768,0.055910727815576294,-0.0357928296418174,-0.026645412847453462,-0.1023166540717455,0.04321823634494944,0.06034271451045411,0.03483689637344491,0.1647847859844034,-0.13902733050811036,-0.14601062802773757,0.013116278246642805,-0.043120110734789954,0.09855483848938874,0.005599638084939423,-0.0701924008950156,-0.06647731322713654,0.04920787508489537
FASLG,-0.017710106728820018,,,,,,,,,,,,,,,,,,
CEACAM1,0.01238194571527949,0.027227641215213122,0.011052142457013983,,-3.766265868352721e-05,-0.015199081451249596,,-0.04276590650287578,0.019735590842972238,,,,,0.049361738246949026,-0.02180725908345233,-0.012012285850650322,,,
