,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0723585713277343,,,,,,-0.0009523910836876364,,,,
BMP1,0.005234383580518428,-0.05609088797421166,0.02792064897721833,-0.03759271090991931,0.14184406377649814,-0.051328669801372365,-0.13357382176949714,-0.2088717234584042,-0.5545435347474672,-0.2076610690119785,-0.049518463882055906,-0.2174424663890977,-0.3615601139414356,0.07247949406043118,-0.006169457905125885,-0.13729022781719574,-0.084327039183931,-0.14324822510231539,-0.043939006074275144
NDP,0.005324455367287887,-0.019223062614444675,0.06179073136461056,0.013725878930064411,0.08059910672896282,-0.028864547157020724,0.18082365105715267,0.08815349166323569,-0.1234757420145337,0.10537717099475154,-0.0176435131387297,-0.12501508345868803,-0.0775414042940864,0.01343691814688507,-0.0471487813167218,0.13310200548188475,-0.05728158680781013,0.024556253094819784,-0.035405816389771284
TNFSF18,-0.03750732386215725,-0.07674327091754428,-0.025848883762309614,0.022962050561079316,,,,-0.055881302135089496,-0.12559172968998497,-0.051665807724383,,,,0.010123212560140725,-0.024060952851201446,,0.06439388156921823,-0.1406508438870433,
IL36G,,,,,,,,,,,,,-0.04402909878545028,,,,,,
RTN4,-0.06217266733041328,0.34670853493837805,0.1122545719303862,0.1699290948809866,0.030266173263341484,0.1316774418115297,0.25188221405502587,0.5793265888525059,0.6992968287802414,0.30009976608751476,0.3126775546615572,0.603338065049181,0.592486580753525,0.06528274731255768,0.009915006712281273,-0.011984814874948855,0.13887907130740254,0.6478718705217296,-0.010106405270960395
HEBP1,-0.015338748470019436,-0.07196860538231718,0.014061168426992347,-0.04353367672218447,0.07981934347070879,0.0010281400186147947,-0.0483200370840683,-0.20025072006171074,-0.2433122457527925,-0.013942854164925932,-0.07429425678603963,-0.26382234748682304,-0.05494817142890304,0.010491845804370535,0.11469447525044305,-0.04402343454086112,-0.0008704227659011882,-0.0794336729971433,-0.14414009463382518
WNT7B,-0.033042777560509475,0.3771005477705177,0.023080996005355858,0.05848424331059463,0.03702278661742469,0.05912441809932214,0.13048400089828194,0.09079647836892593,0.36435624543727274,-0.0026691727788610143,0.07481885213366433,,0.14461645510625074,0.04567448178916855,-0.05031339889229981,-0.04275507959971556,0.12051074729294611,-0.02049590706415709,0.05222238180658749
PTMA,-0.053461152922615315,0.058982864007587954,0.05681117308901487,-0.15360279035904048,0.11713222739194712,-0.040863640017573484,-0.218274115060309,-0.6265003548034762,0.07201306636367577,0.23699424714570563,-0.2366647106043146,-0.7598397210073241,-0.5706332571329845,-0.011491514982238934,-0.003921718624504411,-0.1811993638013857,-0.15903269028262498,-0.25124921625696367,-0.21109376041161113
FASLG,-0.017466403193582704,,,,,,,,,,,,,,,,,,
CEACAM1,-0.0027284651404256193,,0.0005399400051486325,-0.005947578840094722,,0.04132792068307493,0.024283307516733143,,-0.14244629732602987,0.010119780876213732,,,,,0.025769196583792845,0.10447269571531621,,,
PDAP1,0.07628683851881256,-0.15996497323913983,0.028771089235410087,-0.04941804411584488,0.024648946911207305,0.028483633743210748,-0.1485182183601592,-0.2595240255877167,-0.4160808198567035,-0.016028160405737853,-0.04626934235182596,0.009809091657083217,-0.2832850071745496,0.017693637779846436,-0.03614481036773076,-0.06041579346131222,-0.1212604708822458,-0.078828663806623,0.011054683606746203
QDPR,-0.10406131955792794,0.2249081684919261,0.08084001562866945,0.10939692191238871,0.08481302216421824,0.08364734244760981,0.3524819929402322,0.22070327114225202,0.2749174465167211,0.2074626488335868,0.05263989776163649,-0.5027554750176754,0.14171868273050062,0.08889983338529962,0.01612442886207837,0.09722009848869366,-0.11624702371816867,0.4137582937136353,-0.054913836140758066
POMC,0.006439707291800854,0.1441870146758233,0.03628452917157462,-0.01306225549788303,,0.015301274543156013,0.15365860208961016,0.06828753207147029,0.007622363053360145,0.003416745395746153,0.02125598909688783,-0.11843731084729055,0.11335551061017386,-0.03144831222546116,0.11340675310110275,0.007294549568001068,,0.024462045987180832,-0.07828876795789101
CCL18,,0.012451720921521981,-0.09137460065468961,,,,,,,,,-0.285107522572034,,,,-0.04174521039660785,,,
CCL17,,,,,,-0.02024498078617947,,,,-0.028052793271477697,-0.04882378633544263,,0.041025449702442124,,0.03846450618801371,,,,
VEGFD,,-0.007784285855069778,0.05005175499880718,-0.01073131881658547,,0.029554737820026312,0.015386203408011742,,-0.10885392335987773,0.05551724728623637,0.04841812467717729,0.07404988125955377,-0.001201309788002378,,-0.0324430539477133,,,,
TNFSF13,,,0.0451914252713605,,,-0.06261178935205876,,-0.05439704369038413,,,,,,,-0.017985805727811274,0.0326392183822943,,0.008280512776373641,
WNT5A,0.005483686530848544,-0.08626026282119029,-0.015675982052757678,-0.07316131936542662,0.11073935101969169,0.15088898542594256,-0.10814739510500049,-0.42103448073251376,-0.43132351620324205,0.002375389858480086,-0.10804628885638308,0.045699613801191925,-0.16081826029810734,0.043872428607594785,-0.015549481410934884,-0.06583416777947304,0.032727713801427354,-0.28768226490810916,-0.0437734483583347
CXCL8,,-0.18040325530933585,-0.07290336261587634,-0.03452022615518277,-0.15921645427925973,-0.038339169947152404,-0.232689972849481,-0.0603267523428987,-0.17228188295636976,-0.18244977563346992,-0.017247501404155857,-0.27418576718503357,-0.18190820670109262,,-0.006724088679152547,0.002076017977237059,0.04245217373862082,-0.37870108982389955,0.058247958584170714
GRN,-0.1393848441305078,-0.11068895246382056,-0.07088453792490228,-0.05142938308084982,0.17133927045855527,0.001223862198319662,-0.13173441439460473,-0.33738877146534807,-0.5561257572426933,0.006905704859559923,-0.08137562126925449,-0.4827478664932377,0.08270579182650752,0.0774895849949453,-0.07885811892055401,-0.057543954225375345,0.024009401924478643,0.19188861817984715,-0.08284855173129925
MIA,0.014303096901846581,-0.03652434459053558,0.05695469142037658,0.009690427556986958,0.021342226127150886,0.009667767856441882,-0.0675922229837619,-0.089693596144387,-0.18816747504981898,-0.13010973739704304,-0.058635767793358835,,-0.036755627304314156,-0.02509921276930787,-0.02983887045882855,-0.2124114313208163,,-0.16077500584412902,
COL4A4,0.01367262795445587,-0.06175287345805803,0.030234722501642282,0.06324833185315729,0.043699385749063825,0.04984997423943623,-0.1161985326285091,-0.0672994706944089,-0.04219089014459823,0.05685090616128943,0.06609398956135545,,-0.09156087060112002,,0.011967673323141853,0.054623379704970464,,-0.16631275698873335,
TAC1,0.3612131100415126,0.38592414916994516,0.28201779882397626,0.07552493305152391,0.2819763132962361,0.39226546466763995,0.4719055085016169,0.5151319322535126,0.6282788277895293,0.49050794142113685,0.23135307947266354,0.45175318267346737,0.4921552159746787,,,0.31368921976571745,0.025110146767137465,0.4537693681599164,0.24466267702013345
RARRES2,0.15041163288302214,0.12766552837293152,0.0625154578388827,-0.11681892615727633,-0.0908245486302736,0.09191463794693096,-0.32901317728615176,-0.3011665765252199,-0.6204694965190338,0.2694913339847166,0.003570041980495451,-0.22259978517403212,-0.2834438521828351,-0.011887152609939139,0.05753347862658127,-0.005306395690353114,-0.12622337742678938,-0.35939786843842325,0.03664890586934044
FGF7,-0.0059049906331547445,-0.043984172541577875,,0.034649804488465774,-0.04256193096036144,0.017461160030173572,0.13011416452469776,-0.02976462995734206,-0.12235397462418256,-0.015125157577382477,0.027398601107457638,0.039591057113900256,-0.048401670171048204,0.04694191449917715,-0.00018539629415729322,-0.03489859853750836,0.026943435535001135,0.0647060527035952,-0.07378190226451606
HBEGF,0.08383733351095574,-0.08735118990607585,-0.10005433597502816,-0.07333069227470772,-0.043559401262850427,-0.0011538730244724056,-0.18226362726935066,-0.31584169670331946,-0.23489399708569267,-0.44893043808087635,-0.016822481881494773,-0.31227372338315773,-0.12276833684040182,0.03720053410337361,0.01934377591620881,-0.10602258404410456,-0.01406214006582549,-0.322692603432557,-0.025323957317055914
CSF3,,-0.052263842509063026,,,-0.0588114813602118,-0.04099827633001425,-0.06899600142709379,,-0.04333444793584227,,,,,,,-0.033516150694552084,-0.06487244052513345,-0.16340230932535135,
PI3,,-0.11729206910267326,-0.10639643227700095,,-0.06531470045600606,-0.08805324654260004,-0.13236911156123243,,-0.08816936196906386,,,,,,-0.02613623943472713,-0.168628784703901,,-0.22455326915973509,
PCSK1N,0.078297537773368,0.4446327187313554,0.16009395158363246,0.20173581509637495,0.15350644692288296,0.01711904421326502,0.10160462172024144,0.2555086318656529,0.3293435179001827,-0.21918392875820422,0.27063139709714124,0.7457777083599985,0.5389820223435149,0.07736336031260865,-0.0017842123549707625,-0.04639608510266203,0.24352509032734723,0.5943573277512473,0.20361911423630238
NTS,,,,,,,-0.15867799255083656,0.06020424204910783,-0.11502129967109072,-0.05986927871105606,-0.09806458207198308,-0.11681977468006345,,,,0.02440649778685151,,,
SFRP1,-0.0374516546719496,0.08385267244101315,0.11222891602391337,0.014783054117861835,,-0.02642988444740316,0.12514376109667838,-0.1518675826535567,-0.10361934244846839,-0.06339949552145763,0.07614711750720012,-0.22666610259472222,0.02000674326761523,0.06690529331517447,-0.0211975678608009,-0.041083991239542934,-0.11412183654031499,0.01863876854942898,-0.04203292737897385
CXCL13,,,,-0.012269310087473664,-0.05350095000233001,,-0.011909146200322306,,,,,,,,,-0.03622600170401457,,-0.081011350594135,
MICA,0.020579785148597114,-0.1667318953879176,0.011846900763242347,-0.0361209329800887,0.003666126957261102,-0.02121918689691497,-0.04053146189869236,0.016658988669118285,-0.2272446100072676,-0.06455148459577953,-0.029541864038602546,-0.0487275814777075,-0.20695628530001323,-0.02130513932192517,-0.06967702160752073,-0.06430670326126757,0.03364046876539549,-0.12049213714369145,0.009404249142348808
TG,-0.013739320451021941,-0.0051089647286898625,0.031070453089759885,-0.058070622722265805,,0.005125853231383642,0.003414458461171913,0.02101044190215392,-0.05868534611021509,0.0035406964960289955,-0.008756055259972974,,-0.046398994147845395,-0.0070199252923197645,,-0.045209967437905126,,0.027558063410821055,
ADA,0.015185194036878763,0.02315967753452855,-0.024757082160985364,0.0038591590151996476,0.019990491412305085,0.016752452582560237,0.01208987548912022,-0.106086949487504,-0.42748074405021586,-0.045090734104772344,-0.005717125951075298,-0.27012343145259843,-0.11529825665210362,0.0030524246358581584,0.04310598170112231,-0.012190265534760603,-0.16552551132221202,-0.021510781522386103,0.08634160550494847
LAMC3,0.07218866259458104,0.06769559793028496,-0.04466135956963399,-0.01544573670772971,0.1522665248602058,-0.05946034381445491,0.03157537290832774,-0.21900576617770967,-0.30783986337241503,-0.15758831604222798,0.009012737243843544,-0.13206994362832394,0.08450000118306147,-0.007165869981347268,-0.03602687348123588,-0.0840337587348246,-0.02746493450632271,0.08968858572361176,-0.06903054186578236
CCL7,,,-0.04013851623184966,,,-0.003514550061604375,-0.056151447730199505,,,,,,,,,,,-0.20908122145641453,
NGF,,-0.0672535195157846,-0.016362443194704417,,,-0.01722152133361519,0.030247790985606822,-0.020326606010189836,,,,0.11034210966620846,,,,-0.08582762001301242,,-0.01353486305447745,
TNFSF15,,0.0021727731431445273,,,,-0.004690269005124842,-0.012667493989818675,-0.10802270490447262,,,,,,0.07805659924854022,,-0.03411189481941236,,-0.13274914323071504,
HMGB1,-0.05252829657886243,0.17446547382461047,0.12226022621700056,-0.05204251511644319,0.1675301438738699,0.06661787951225304,0.06341117659019214,-0.26702015534446216,-0.5364933473031572,0.23314488019711876,-0.14703253614976267,-0.31697882195617905,-0.019564381984763325,-0.005438465978623355,0.06594956515502964,-0.08654697464144964,0.009296124107680987,0.1444900181618467,-0.085902039291951
