,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf
CXCL10,0.008529218014614924,-0.058240138528809396,-0.0007972816213002805,-0.03081189863062811,
RSPO3,0.08833651964150827,0.03802400993787847,,0.03344255684959817,-0.032283279641081804
CORT,-0.02526848472390718,0.027172339331744875,,-0.005616734131933746,0.0412028498214259
NCAN,0.12859749935323908,0.1822639148005924,0.18503025733213993,-0.08713691644422711,0.15877883847901114
PRG4,-0.027180758494414058,0.056593755779448314,,-0.05082552300215994,
TGM2,-0.012878934379428513,0.0037450972516055872,0.0853499745538284,-0.045563898864161116,-0.051060375103093775
VEGFC,0.013886198985809853,-0.036228039695804536,0.08364355157430806,-0.024594451375944723,
WNT6,0.0062084806239631925,0.04898276348078894,,-0.000561245500826083,
NRG4,,,-0.039071250810658924,0.06030058569106625,
PMCH,-0.015374168279361555,-0.010136443256006414,,0.010659044130247033,
COL9A1,0.11254826945316597,0.18720351583795633,0.009016087634649075,0.0215546114590669,
GDF11,-0.02698754321263671,0.029248246614606097,0.026668563969720768,-0.04488890595745271,0.05200262426172155
IL24,-0.04430360166381079,-0.0028254466140197163,,,
SORBS1,0.03768389703637662,0.13677184496126665,-0.050156331655035656,0.005630879340246772,0.016177303764967302
DLL1,0.05331963101019292,0.12419095239590418,0.00030665988763403114,0.03775187415833064,0.11450741708540134
TLN1,-0.04242457666134454,-0.02360561366191989,0.07225755294170078,0.021481447238293195,0.06617926970496882
COL2A1,-0.008993265224875695,-0.11600193630742436,,-0.009491167539566003,
SHH,0.049168880777710075,0.12167618663904942,0.0742934249392875,0.06614739661171413,
PON2,0.05254688422352494,0.06087481359163776,0.10374572521608541,-0.20409101534763235,-0.055034734535440014
ICAM5,0.05222592875834984,0.04615631111657333,,0.04455421142053263,0.002280583182132045
HPX,0.02849907536499983,0.1388257187301943,0.012656040722319134,0.03206881713789301,
SFRP2,0.047143850083096385,0.1361283885606341,-0.0329204942752891,-0.0049740974892334205,0.002196993098764189
CD70,-0.0075143973323649315,-0.009786822178498085,,-0.02030601340906514,
HP,0.03875490591093421,0.07916686981773183,-0.02216364738892463,0.07484859991392144,
CXCL2,-0.015242276613811775,0.03214521604619781,0.05001877001655263,-0.0263915351415432,0.008618171962879754
NPPB,0.058743528914845494,0.011551153650906447,,0.07316399101578752,
CCK,0.05773722456876206,0.07779049019547638,-0.030538760847717464,-0.018661792131314033,-0.0679091411517125
SEMA6A,0.07866674760270846,0.02397366942594051,0.027183734249891407,0.023322936311392404,0.10000347399156133
IRAK4,-0.02155960587761945,0.1459356258652872,0.06061354904105644,0.0463614997511402,0.012443873907928567
GSTP1,0.10876933747570877,0.1965266749499467,-0.04100626176225787,0.05936185258248365,-0.01806802779245319
VCAM1,-0.02086352395576194,0.03967525561229964,0.09994499561613805,0.006958846233054336,-0.0015930834819262547
NXPH3,0.12701777636196676,0.12710352162731287,0.043109332471148544,0.01857809155832853,0.11145512444552978
MTMR4,-0.030639180384169896,0.08643213282179324,0.08461895256568225,-0.027960236289035482,0.05435188819858495
LAMC2,0.01813425250385787,0.027007783292991538,-0.015858740201696437,-0.061340270443326954,
IL10,0.05616570533555705,0.014790291448038494,0.02662770131020869,-0.03049302781164836,
SEMA4D,0.06749697203984037,0.10217635205940939,-0.1209483033279821,-0.032850873892332495,0.07277625933153103
TRH,0.04529848178658374,0.03812065047964468,0.20478579616919584,0.042778620133342035,0.0715102576223864
SEMA6D,0.033109569472083114,0.11477346546775043,0.06288642992660465,0.06260517154495872,0.03680830597828442
CEL,0.04413520289549721,-0.029254202371226064,0.09645878403441592,-0.010385485928653772,
PDCD1LG2,0.004701216021022367,0.07608983929527366,-0.005164708026085681,0.01522777955157161,
SPINT1,0.08650523540609506,0.0868379538608809,0.03854487614559777,-0.008050972220256365,
CTHRC1,-0.0051839022221478225,0.05406155813462578,0.1260668035374156,-0.026668712647932566,
PODXL,-0.05408620218058992,0.03433283847825813,0.14514858693449006,0.05841980405382421,0.03280811255754829
JAM3,0.11041413178805558,0.0861771280587162,-0.06733511864326042,-0.01387415850547911,0.005979083168623346
TGFB2,0.1141979202851122,0.06042663105449369,0.1303549568029084,0.002596895891193707,0.09831678858578256
COL18A1,-0.031143185197796346,-0.01875332424059399,0.12221547908541781,0.0418055019765128,0.07119023207309569
NODAL,0.01187031971953182,0.0969262371117102,0.08684050962153347,-0.017494132955658905,
INHBB,0.029014564161980057,0.1032065673831738,0.06800531191032871,-0.008714943688195545,0.07031618605824866
LCN1,0.06420975125164752,-0.03148358256883123,,,
ARF4,0.059499634233505024,0.20421358183568947,0.05544023367671909,0.05158158122435635,0.06498231647660896
CXCL14,-0.09218677230625914,-0.10332339235905044,0.2055883588811745,-0.09693888613065249,-0.037362750223258544
LIF,-0.10217467882501005,-0.03235329808942932,0.07077061036128686,0.06389402681229135,0.07120864165225627
IL17B,-0.041342443738557826,0.041213374259684174,,-0.045241729616248165,
MMP1,-0.1521528541843522,0.015549656291820133,,-0.024044001853399413,
MATN1,0.07657475969262195,0.037528521977018434,-0.010315719515664757,-0.010327203254024954,
ADAM28,0.05783735373911046,0.04146241142887734,0.044192568915619644,-0.06206874929843297,-0.008375908390969376
TCN2,0.029229782806886147,0.0853867629611255,0.0693058138443065,0.0159306679862063,0.06223769880732434
THPO,,,,0.05625012536465876,
CUBN,0.028525393843657244,0.07678857611548084,0.07015817465316461,-0.02938922711854766,0.04025487376878595
TIMP3,-0.04202955677567537,-0.0037699931241755953,0.1167698624073719,-0.07867788538691725,0.036445524682129055
PIGF,0.04124288109619313,0.15598450104600242,0.04799873154801887,0.04549603156840523,0.10013915191652227
CRH,-0.002485400331582776,0.07748962168621758,0.10246015227757711,-0.012151052349578853,-0.04501698501140607
BDNF,0.03749606877986867,0.08035508047167324,0.16393864780258355,-0.0024363526835353244,-0.04163676629387622
CCL5,0.0022651876927106593,-0.02025132796675077,0.05350230997289487,-0.020945341723666185,0.0012083954856539627
GAD1,0.05187357740536134,0.090706012115548,0.1321442819881705,0.06879568494510081,0.11433119788535981
COL14A1,0.020393927049008675,0.02824235499655671,0.029789102109612192,0.039237107694046425,
HLA-A,-0.08183309296519245,-0.11683360604388261,0.23520316229128668,-0.014773816169832393,0.14828844779600003
FGF18,-0.01627809543863545,0.016041070548744596,,0.06830135995878851,
ADM,-0.03395673327773586,-0.09916215863512545,0.10024139622587211,0.08726404648713951,0.07357172583365883
GNAI2,-0.03673259313013025,-0.0150072625664115,-0.04398600762873639,-0.05054044205178553,0.0032601500128019685
COL11A1,0.09627793223440777,0.08821761321522648,0.0280918034163976,0.04444110621469886,
NUCB2,-0.006163268231902954,-0.059337174506902464,0.0029031063838059756,0.15158899037116405,-0.0035163939980366377
CXCL1,-0.045042263052054055,-0.03329009037076246,-0.026845069023782284,0.0210184251455528,0.07019727071520637
VCAN,-0.023962422442640567,0.06493037726571942,-0.07770396892483797,0.08512441040635604,0.09551793819198272
MMP7,0.004658453890587918,-0.05784389950674952,,-0.01059231173483246,
PTPN6,-0.0007640050466181561,0.17314554442574487,0.04310936134024588,0.02549338918408646,-0.07636174329428211
PTGS2,-0.07941599887444292,-0.09620086799759398,-0.011702342929561918,0.030029320985618942,0.009985913865207426
CD58,0.12299989270593265,0.09921032580891515,0.050476835481578254,0.020421564584106808,0.06966592912427641
TNFSF14,-0.04555743080226536,-0.03161275435832553,0.13604171812932153,-0.0028073343437798534,-0.0466288598396734
CNTN4,0.06427991638714652,0.024727260343278688,-0.01917640146877286,0.036443077821305785,0.11457520533400772
INSL3,0.04590291300027304,-0.010797412810332429,,0.03614293310822334,
MFNG,0.07391757722965862,0.05680767088695754,0.011831295475334111,0.05788315876648184,0.1309329462855809
ICAM1,-0.015168850244766736,-0.02767303160636224,0.09127867540900747,-0.013290646290233797,-0.042902093310284696
PROS1,0.02881423237780489,0.016845823912716426,0.18819245664059234,-0.01168767652643763,0.03432503369140682
CLCF1,-0.019412893793607333,0.05500237151972514,0.03854124601348196,-0.0028306603396874635,0.07581098979159355
PSAP,0.038261565681185834,-0.03764508746164048,0.054525517980698,-0.026986829199373924,-0.008806524516629806
EFEMP1,0.06584298932141558,0.059189738102448285,0.11622479066448312,-0.01713301173713879,0.035727035103965334
C1QTNF1,-0.015603737265793683,-0.06150768308113733,0.21211372945894175,-0.02871708299590534,0.029237493632440593
ALB,0.06699161722551632,0.013690087956618245,0.03224979193066134,0.010443813370615219,0.08535283907097656
CCL13,-0.01897063608315834,,,0.05784664346508199,
EFNA3,0.10510427006326524,0.17213038846230333,-0.016606231166118354,0.12133623571675727,0.016095962088257885
DRAXIN,0.0512257152374516,0.015431538250565625,0.10309209534730795,0.04767231555943293,-0.029124399736001384
RAET1L,,0.009246960024813082,,0.0651024484969677,
NPTX2,0.0036129655703292427,0.09824422316463634,0.05994752546033406,-0.0017860926960196726,0.011095038842495296
FGF11,-0.041356608551114574,0.14820382100666796,0.06283715460682875,0.019350763168970643,0.036219575734599364
CD59,0.035475021107343116,-0.0016611348558580328,0.11631750819467261,-0.12303630195500272,0.08402710317837697
COL9A2,0.0925033254988735,0.15300636944719276,0.06962699504018542,0.01260010438653475,0.07463662664052235
DLL3,0.07366647698627103,0.13951768725656738,0.0006550480657275854,-0.006661594616083236,0.07384323514014611
LIN7C,0.07753425839150405,0.043811091510301756,0.039864283639944195,0.07703529927182304,0.013475002631910277
GDF7,,-0.03096723454604995,-0.0348985773263514,0.011723066239487106,
PSPN,0.07251667798683817,0.014091581861920123,0.023175962271703883,0.031035578268799723,-0.002084364253765144
ANGPT1,0.07972501828086133,0.14942534568979562,0.04211023662102582,0.06367128433303061,0.08312500744554174
PNOC,,0.010382326156467921,,-0.08534780072151749,-0.041636788806523405
L1CAM,0.1715509043476667,-0.01894798413215861,-0.03910687933904087,0.0994319164092761,-0.024430002753919093
APOA1,0.04932461907752143,0.06051957416993854,0.0949033540458532,0.0687688889100538,
PSEN1,-0.052245353038530326,0.09090001645332826,-0.06778429074797841,-0.014082328781838467,0.018237053691698993
CALM2,0.14225977952951427,0.14316854132348245,-0.046861463834161454,0.05014902676605539,0.03146854688798939
CLEC2B,0.007814861135260207,-0.10779387310914289,0.041807165962525025,0.007756626445511173,-0.04966960136295798
NTNG1,0.13803829088731767,0.13975548334207394,-0.07160672709504215,0.0681998538997098,-0.056854478288424506
LRIG1,0.07978585444599877,0.058485759833680886,0.19335038678919048,-0.10004265869780311,0.0013827094285998375
CPAMD8,,-0.028962119242541336,0.013548341702359709,,-0.04609668558637848
GHRL,,,0.07957412681703402,0.008247389552277832,
NPY,-0.05832641850485051,-0.005209922791729084,-0.06899613483419054,0.00915537695953187,-0.026918834981635234
MMP2,0.008825901943869641,0.07444850172704058,0.17264349708718163,-0.08618200169100075,0.128331071312908
PPY,0.03546680018047729,0.07827297153522196,,-0.01726887684045676,
ALKAL2,0.07226874327362741,0.018420365743335092,-0.011516369304873205,0.05772936509281599,
CSF1,-0.0054377532781593185,-0.009447475960485768,0.0794356290124974,0.013999220945336056,-0.02111183483389023
SEMA4C,-0.006420721720991561,0.0914627661037349,0.08444171627732251,0.03986370359129556,0.005843526282522333
ICAM2,0.10797726646777622,0.1406535215523309,0.07907326811613143,-0.011399623006508168,0.28706287538797315
