,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.04451335931633096,,,,,,,,,0.09089428872983633,,,,
BMP1,-0.0999224858724996,-0.033495212909654834,-0.019489979761826447,0.03609472575281965,-0.002337742186529336,-0.10354577122936269,0.12065117329846539,-0.1333843108649755,-0.005379197947554112,0.016141492044190124,0.058057173338083155,0.0696770141907373,-0.1410464415807272,-0.1474532085578937,0.01224816784017102,-0.049912822084626975,-0.20934367363616366,-0.10280166057120191,0.06638229459840223,-0.034758892394817185,0.11583774740160863
NDP,0.05451176359038956,-0.02320691144141199,0.022851104363799155,-0.030439652209636493,0.010807345556529315,0.08700027844998429,0.024892936221422562,0.028364112668728167,-0.014935975912047653,-0.05390107700105478,0.11963483754733435,0.07861408531703229,-0.07211010445954584,-0.0276762688331803,0.03799621535524857,0.03872441548916715,-0.08302485025758487,0.076807504273274,-0.03680626839985741,0.1028458307901057,0.18574696749522443
TNFSF18,0.105913613673553,0.08991094901515291,-0.027882240274463094,0.029147789975175444,,,-0.015972367475732562,-0.0479792817624313,0.004636463559241766,,,,-0.07310934116579842,,,,-0.07989992005410954,,-0.05078718508467475,-0.07143322214727096,
IL36G,,,,,,,,,,,,-0.02378922891173299,,,,,,,,,
RTN4,0.20396750628262558,0.15540848279210118,-0.025398017132451014,0.011604646329218116,-0.045302301959675696,0.1435560979538044,-0.165775189978295,0.14114901263519258,-0.024453952703387447,0.03319768611703467,-0.2662305663072099,0.022998540890946845,0.12611974518107838,0.2002897030972472,-0.024179736429706354,-0.04320567593830839,0.2914269924975968,0.0631619113785101,0.008650595751815647,0.22108324400475055,-0.01131621167692431
HEBP1,0.08367310410774718,-0.033638262671384936,-0.04015651956836519,-0.025542737604839938,0.007654404315224066,0.029497466354634627,0.08616079252414827,-0.08252162979498419,0.014785583122821177,0.005969132852851459,0.1662710451087749,0.009837797564924144,-0.002649393155688136,0.01085961914652641,-0.0024253449632570916,-0.005842265998564683,0.1077176644441982,0.044354553260457855,0.1314808870350162,0.003326391519047231,0.14581295971980848
WNT7B,0.05269989091890698,0.1606738985798464,0.01376522008284174,-0.02414274819870884,-0.03014978891814587,0.08243827315245326,-0.014996439185459278,-0.047707103638726024,-0.023784675572645044,0.00021945018410041468,,-0.020050504014569478,-0.03615522380904374,-0.031652295243168614,0.03397392696375796,-0.024127176030879792,-0.05603990039047399,0.01212663910863921,-0.015704322864899912,0.005797766539112897,0.021113832016349764
PTMA,0.15710693184246968,0.060446752760315026,-0.09171185712693064,0.05613376198408461,-0.026098535723540175,-0.12689448148572324,0.1961098723250438,0.2613799530693178,0.007023235499436442,0.14910679431704102,0.4462238009751779,0.1507338417692726,0.014899627792890014,0.19550281975059405,0.013329546063708139,-0.022998631298791927,0.39997081811863916,-0.08864063559010296,0.18955115758224259,-0.16191742843556595,0.19626538151496953
FASLG,0.05135057786562549,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.020931701629929016,,-0.01774628180246569,-0.006325463093493446,-0.017015867492338126,-0.006893316284844023,,-0.04270936409443334,-0.025398500452405205,,,,,0.032654864460781,0.1236253665777054,-0.020076961839649268,-0.09559602899004628,-0.032945171347467404,,,
PDAP1,-0.09463320952206308,-0.08613689659310286,0.0024934691569061538,0.07168537262176278,-0.051348449992778336,-0.05069711250666459,0.07296375227643058,-0.1758518085762822,-0.01750127195086398,0.017377973043935614,-0.006618690664325231,0.042609163683612984,0.03479686271979591,-0.07715393149285328,0.025997410488072,-0.038192071268571964,-0.01977345345356005,0.0016981105756029625,0.04669458471180097,-0.09705567399449831,0.09514049657326963
QDPR,0.4593417796275145,0.11020591785256327,0.06006016723914024,0.09032792613927186,0.017807027496660306,0.18145722211221846,0.09261051984534878,0.3431781372635273,0.04531878476536929,0.20170532289536666,0.5837066513019353,0.1283842995604206,0.008996872924229363,0.45723239311317027,-0.017161548927394573,0.14263119929732124,0.3485698231377553,0.061460702659666015,0.31326506797074194,0.2921845699279789,0.1566310529023217
POMC,0.018457432666402006,0.039180470113120494,0.05678717535567007,0.06135103063249818,0.005905708001875833,0.06847604276996012,0.029008574013785975,-0.009295414866005948,0.053231649120944156,0.049613446013679965,0.13353237683299954,0.07446070463745995,-0.09076363318676843,0.0016682662612521792,0.007293558359870869,0.0194840235233097,0.004541331599833122,-0.003657121157784457,,0.03248530401615501,-0.03935385152187795
CCL18,,0.12632977799406198,-0.022145682949305228,,,,,,,,0.09418679714048522,,,0.034394130322157865,-0.009552203525916682,-0.03516821791413631,,-0.05390558460462623,,,
CCL17,,,,,0.05404600465832198,,,,0.009553295822484697,0.0032233388255101495,,0.03769421313408012,,,-0.0350644413173271,-0.05912709183941545,-0.008040121317660878,,,,
VEGFD,,-0.03131437043703939,0.04279459717812842,-0.02820597824626416,-0.022481450576807803,-0.0025247558594238854,,-0.008730594627429715,0.0013910611575684282,0.0055218780913781264,-0.04269131853664366,0.035217526680042105,,,,-0.020280151275125162,-0.03374370046102093,,,,
TNFSF13,,,-0.016711848311135903,,-0.013918908794392696,,-0.006928506205471477,,,,,,,,0.032013932271508526,0.09135845876183492,-0.07879722118053137,-0.004294119250092446,,0.0790854043958039,
WNT5A,-0.10470161204669585,0.04335360802071754,-0.010834269618438648,0.007996738299538108,-0.03259519220023865,-0.04397712393166333,0.14515843766341,-0.07053682684531822,0.05434219515335097,4.619281043149586e-05,-0.018347332479321146,0.006991410728045287,-0.05769335124959085,-0.07923639126720933,-0.007665573574839683,-0.014566894256560962,0.018527957524684942,0.02630474053601946,0.0779185046087068,-0.12370319512987475,-0.02462994277237389
CXCL8,,-0.0728188281172822,0.006937179026975304,0.07487379139881808,-0.051922414357543266,-0.13411987641365117,-0.009832981883449653,-0.0687925961310599,-0.03852057424751069,0.02750254269860939,0.06890676954421687,-0.004009133309046826,,-0.14305153910280996,-0.11344392382211256,-0.19256269352687602,-0.04119198167517258,-0.07995277747843976,0.007679319496321583,-0.1849776873706295,-0.08752285242214455
GRN,0.2879258360498858,0.023353776386016295,-0.012382540999050666,0.03508892247677704,0.01626235836334274,-0.020938171370072128,0.10619016610184674,-0.05119395397375404,0.11761038840512639,0.06905165968808814,0.20181149633951062,0.05319262004430883,-0.1958997416031714,-0.10764371063441416,0.026431230921405608,-0.008219599063387576,-0.3448695473777039,-0.03276748136699646,0.014596110173052864,0.14061227425116005,0.031831752259687665
MIA,-0.005697307254915747,-0.006672694030533244,-0.0019765241510576407,-0.0020534923911374346,-0.027126710724473386,-0.048953195793649505,0.049739816086754575,-0.11637516148260325,-0.009799825581824307,0.015318258524689668,,0.04372992271999398,-0.13765377715472088,-0.02592053596043598,0.08509472497227766,0.1552909323547982,-0.12416606175237842,-0.1574163098608621,,-0.06296810792541248,
COL4A4,-0.020184280937825275,-0.011701718239877791,-0.0015978661180232963,-0.03648194216020916,0.04676675203471455,-0.036936470608410384,-0.007739444945294673,-0.013250268362626631,-0.017902600328999763,-0.05384379443392232,,-0.0072481389774153235,,-0.028590980543448625,0.05481710975881657,0.04144098973248046,0.0723779942298971,0.008803966802985947,,-0.033400619247861967,
TAC1,-0.07231196913750258,0.26351499969792996,-0.0184923587324042,-0.04546692076060743,0.07314997296644976,0.2506120948398187,-0.06360371573738784,0.0039213893816798994,0.008250401795087264,0.03253898866137562,-0.24459876295652225,-0.05938738368830121,,,,,,0.10222402863745983,0.006814141002493375,0.09582083244527004,-0.027283182236517625
RARRES2,-0.365048623677664,-0.0006975089986403642,0.05591358025813187,-0.0298576359781812,0.070587000495371,-0.17506933626195917,0.1327007337460898,-0.13609350595069303,0.05674657417898744,0.015926112911335808,0.05239893157366983,0.05239600846138113,-0.006536140660844124,-0.05004723322150871,-0.058045412383239965,-0.10873539695029207,0.0635573510410072,-0.07408457963591578,0.13906452893355287,-0.14360347158044912,0.03810163297737155
FGF7,0.05705740792512819,-0.004403092815433881,,0.010397325979040717,-0.03576885735694158,0.04732971718034364,0.010057614598850023,-0.053555294722222486,-0.01719481220869516,-0.006421401833441378,-0.004240040388107209,0.05672073587823625,0.027740443372953987,-0.06818111589810044,0.05455606998309681,-0.03806120894099133,0.0557349608328395,0.013068891309763577,-0.02862948890078813,0.12217290106647336,0.035596936110516
EFNA2,,,,,,,,,,,,,,,,-0.03892892268147277,,,,,
