,UKF248,UKF269,ZH916T1
IGFL3,,-0.032369243085883244,0.029927164978600544
BMP1,0.0073036333486370805,0.19714788031112668,-0.0031057872623409914
NDP,-0.04564656485737493,0.017799601677796116,0.04774036722945347
TNFSF18,0.032223503519106515,0.017960014349527917,0.07203818261509812
RTN4,0.050736793757646725,-0.26366631222079795,0.012577570483517103
HEBP1,-0.04325353820621099,0.06671515299714899,0.042269388987058745
WNT7B,0.017638684138785023,-0.0760016801723698,-0.0030507371735176694
PTMA,0.04348496930537374,-0.12797975421282437,-0.07108138843263444
FASLG,,,0.09706214343724122
CEACAM1,-0.020778482886297318,0.15113879499050717,-0.020907437218051075
PDAP1,-0.04454350675458652,0.1700789667514154,0.041988227328957205
QDPR,-0.039411250377848706,-0.21689672942684904,0.054106914376046485
POMC,0.050943309311159854,0.03344633740353118,0.03845410645684386
CCL18,-0.025929583407357508,,
CCL17,,,-0.013620010016625217
VEGFD,0.0409862866692181,0.10067906242987122,
TNFSF13,0.10509413477278495,,-0.022192669506045853
WNT5A,0.03562815205345013,0.13807188112056423,0.010884178696947033
CXCL8,-0.01710163620282013,0.07489812330742239,0.02056020334068318
GRN,-0.016212051875698328,0.16107242644426897,-0.06631165077061749
MIA,-0.03795984624167111,0.014198319050995518,0.0398362975043413
COL4A4,-0.031141219000438564,-0.03189748644865998,0.004903583905959185
TAC1,0.01752681001643973,-0.11573097392763217,-0.01790488810776462
RARRES2,-0.0006626551775092703,0.18094077475026343,0.06956663181053163
FGF7,,0.04188450994651099,0.08364206302347625
HBEGF,0.08456837997274577,0.12299263657178205,0.003636729032819349
CSF3,,0.06368906005402879,-0.01433976941296692
PI3,-0.027279014981262284,-0.005278860320508792,-0.03115555501301669
PCSK1N,-0.017151426610727806,-0.06738589091021137,0.031417785289391174
NTS,,-0.0414790323932969,-0.0016241626771426973
SFRP1,-0.04542991808229701,0.03005272659770988,-0.02074178986051532
MICA,0.042079403321590284,0.06766913139262173,-0.01254266834842965
TG,-0.04083280334743647,-0.030844211263744408,-0.027965285557024756
ADA,-0.041260910772493165,0.09721602205373055,-0.004017986432945705
LAMC3,0.030368005460939793,0.12256216581534396,-0.05604619204745497
CCL7,-0.01649340552033882,,-0.01502668832368274
NGF,0.020555828480055396,,-0.007834068163971177
TNFSF15,,,0.09562099940094208
HMGB1,-0.06618936021112745,0.16701576515157104,0.08319125729355109
ITGB3BP,0.012849972425839231,0.16218502771054916,0.042214139669260936
AANAT,-0.023929422113555327,0.021448187291062695,0.11476355287566654
RELN,-0.030547844043805145,-0.07982452129789835,
IL15,0.04188841113988445,0.01507139451779183,-0.026185274685064104
UTS2,,0.10138913045380112,
BSG,0.04013977305782208,0.03421619101906647,0.027151179481661777
ADAMTS3,0.022954415032016087,0.2355310243394091,0.057310228184343524
CD34,0.02828238813943691,0.11249102694229618,-0.12255171797062506
CCL23,,0.12704343058876444,
PLAT,0.03938516965121933,0.18736985860893313,-0.028182419532704193
LTA,,,-0.021397473436611407
CKLF,-0.014030034861280734,0.2205679526802003,-0.011529381277554833
CD24,0.007605374675751209,0.0646203175707988,0.06162189902210574
HSP90AA1,0.018807400256279517,-0.1749111325161981,0.09947074328274692
BMP4,0.05910828783290959,-0.03939627289290637,-0.015888113188153093
SCGB3A1,0.00405491289912636,,-0.031506947916166254
IGFBP4,0.027058546307203432,0.15990262377526257,-0.05540052611455717
RSPO4,,,-0.028221027640852884
LEFTY2,0.042318785851184225,0.15469363662962587,0.05913892711447737
PF4,-0.017109258937594317,,-0.02139746848507734
ANGPTL2,0.04650335049708681,0.14281314676543405,-0.003522313915713947
LRIG2,-0.012146974824457939,0.08285508799004057,0.024731677471537154
ICOSLG,-0.006960011131359088,0.06950107388828906,0.054940513972942626
WIF1,0.02715328789442666,-0.13125634813192952,
NPPC,0.00405559106820594,-0.035790039008462754,
LYZ,0.028182466747817454,0.0873502000361377,-0.04553999394216613
EREG,,,-0.005626911058628126
SPTAN1,-0.01185510009529713,-0.031540576285392474,0.026936071064282675
LIPC,0.029668389175237727,0.10408369828330687,0.03614287892286401
COL8A1,0.012204365528360668,0.0879768194556071,-0.07799877439472298
GSTM2,0.005030685064768325,0.13493471340039778,0.0313496037959848
SPX,-0.013381840324098915,-0.04158162342007986,0.02685803864526628
MFGE8,0.026504675563347978,0.06097902169357396,-0.0694723034215969
TGFA,0.014697381121277773,0.040027857230345965,0.06725556913439788
SLIT2,-0.031047969970483143,-0.05974562249155211,0.059930410473740946
PLTP,-0.014793706833708578,0.16597721692454878,-0.01914735650829383
APOD,-0.040297979446003766,0.07427993410583543,-0.04018409649736722
B2M,-0.010960600780625263,0.22561738230622536,-0.08019176376255262
OMG,0.01119258487070225,-0.07390128696067852,0.06251484335409968
CXCL3,0.01993271087304727,0.08140794927000432,0.03312510716601402
CXCL10,-0.04030362448687783,0.1666149278466456,-0.0025104504385093404
RSPO3,-0.0224041935059909,-0.04998514686619058,-0.015249150323011088
CORT,0.03451429529624613,-0.045066422339154096,
NCAN,0.02985913147202348,0.12261387228581179,0.06856091479613534
PRG4,-0.024804112169129144,-0.005777861344831849,0.056375462117276884
ZG16B,-0.022871373142033153,-0.01254323898675092,-0.01901404934104878
TGM2,-0.004867172832317,0.04212254324597046,-0.043187109353764006
VEGFC,0.011278494841241984,0.09693973672078667,-0.005979918487850592
WNT6,0.07853796337882372,-0.03276991662923581,-0.0047338008083453054
NRG4,-0.015191005527049637,0.03649248776581089,0.0945011735930716
PMCH,-0.017508451387968253,,-0.03288296478395558
COL9A1,-0.007573843767632652,0.1372911999747621,0.0952126610474154
GDF11,0.07164650551051802,0.18206493035021634,0.03128176536945918
RAET1E,,,-0.01672821143104066
SORBS1,0.01478525522347702,-0.00802463425092258,0.016882340985243632
DLL1,0.008700761270820133,0.13067005638675572,0.05110275366881614
TLN1,0.014722424242946047,0.1457541350779443,-0.05177874673300129
COL2A1,-0.00492928632137195,0.0005103678317018437,-0.022192667790475875
SHH,,0.02081188333549301,0.07296712355334345
PON2,-0.01999635978763455,0.20471341863549428,0.02022749425583601
ICAM5,0.03516805497503255,-0.05753122534078682,0.021448178063134694
HPX,-0.004880892719916677,0.1431047608032167,0.04871093458563745
SFRP2,-0.005867210815726483,-0.03189747705600915,-0.0643915451462425
CD70,0.03249044854900081,,0.048820034911550875
HP,-0.04099047449693937,0.01916811677423806,-0.02281106357483916
CXCL2,-0.020738109502030488,0.06002275136788727,0.02051851171895491
NPPB,-0.021278087301300732,,-0.015468566435119228
