,UKF269,UKF296,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,-0.013231782459339776,,,-0.024203505428126586,,0.016597379769297024,
BMP1,0.04002907230810495,-0.04249796635860004,-0.019182003993390716,-0.025320005286117584,-0.014564868068641492,-0.022114157127328733,0.02107886797887768
NDP,0.05733048194542152,0.03856462655658896,-0.01782511373887314,-0.03581631890138082,-0.0013273523533689601,0.11431365723405626,0.005699883613648272
TNFSF18,0.05944700145880798,,,-0.004666794194428417,,0.015546306413610394,0.04490664353359479
RTN4,-0.08281186836179166,0.030637431560963546,0.04831283550954661,0.021244162364546203,-0.0004593244922746971,-0.011131764928542296,-0.013170112333146633
HEBP1,0.04154533823676155,0.07599440967785072,-0.012353912081304855,-0.044143924130319694,0.02023926842375455,0.0961572189759904,0.06248114391429767
WNT7B,-0.004827944443320503,0.006714601484695984,-0.017829198129512207,-0.02213633018685028,0.010424771626652143,0.01783218246566682,0.11232979724927232
PTMA,0.02273921168571054,-0.009515883910938782,0.04650937377909177,0.08959770109014324,-0.07876451622889187,-0.08771501285413824,-0.008489365728274034
FASLG,,,,,,0.05756007771476139,
CEACAM1,-0.02585670132367911,,-0.015175142219476858,-0.035865845150029343,-0.014826659356958415,-0.0016235313097512799,
PDAP1,0.06158996151842,0.008486375357304522,-0.013307806217467914,0.058872384611520286,0.0034341821439552505,0.05787466309660006,0.022149569133341714
QDPR,-0.06281877059851741,0.028416977418266764,-0.0012059791279404254,0.03953677203982226,0.005006197172021125,0.0804675362434996,-0.056626285112729345
POMC,-0.02001180591290147,-0.008142195652254141,0.03343145794755185,-0.030073580253587414,-0.024254466994514078,0.03346328293806634,0.04877629968569247
CCL18,,,-0.03705669240770037,,0.028626216103865874,,
CCL17,,0.07621427915856331,-0.021906270480652627,5.8428312698088435e-05,,0.09395376487515775,
VEGFD,-0.022166784962534145,0.0419269651750981,-0.015175142219476858,-0.033656175314647825,,,
TNFSF13,,,-0.02381136706090965,-0.03422033894596249,0.07318162518944625,0.03866424878125867,-0.002303883646424225
WNT5A,0.04325782577911078,0.019484419675459868,0.04289247352179339,-0.004149531039463422,-0.02088444283658124,0.04312225243244348,0.0046194234905923125
CXCL8,0.04613528959413967,-0.017969825011565417,-0.03842849738240659,0.010667019900015413,0.030302806467425725,0.06188276011033512,0.06876460253309045
GRN,0.04385166118232406,-0.015338454996251551,0.025633412057166717,-0.08288480239433564,0.0002251509208394346,-0.07711865518979638,-0.026480927950242608
MIA,0.07078004175623107,-0.021945808961821755,0.004557004766499428,-0.02581271494791051,-0.02878319058675325,0.027079406282057863,0.02813967549528607
COL4A4,-0.013038939482414861,0.01933499354936843,0.11162410367199478,-0.016239198798450847,0.03388362892531041,-0.005650464436331519,0.09903395423030725
TAC1,-0.032885918458099295,-0.01437796614244041,,,-0.010870541970231216,0.021747635608089518,-0.014058546153817169
RARRES2,0.058464320421869075,0.024665257323958748,0.003002619962049814,0.0011122162125462292,0.03708343045934531,0.05445239787444485,0.0964757118799249
FGF7,-0.03715899223797108,-0.002552046572264307,0.012187782301608628,-0.021241321663471553,0.020397763780152442,0.06410301238762711,0.017119103744806113
EFNA2,,,-0.014422957112398821,,,,
HBEGF,0.04301437836875683,-0.025277396749297527,0.06567156951573551,-0.0022641530498672493,0.04973519597848672,-0.0485277550758463,0.04162089942657348
CSF3,-0.013794947003974442,,-0.02484686489391399,,-0.02125604149008761,-0.044768256796343,0.15457938637371485
PI3,0.009236036873033458,,-0.013006312875912083,0.08266389611848604,0.023235175516155993,-0.06731456492590937,0.06566153307706325
PCSK1N,-0.02261187214032838,0.006274270598763641,0.0005479779347098897,0.004241604401282135,0.05954530912446948,0.12758133724219908,-0.11180812757207433
NTS,-0.016955649280886987,0.0006109486866036805,-0.017571636291734593,,0.0512157906120552,0.07222855401019425,
SFRP1,0.09132008488063707,-0.02630712135169123,-0.007630167179665629,-0.014396255874374774,-0.03798712475794795,0.010529890920150496,-0.021780367481440906
CXCL13,,,-0.037056688374894606,,0.03387651975878845,,-0.011811956500191465
MICA,0.0059491468681736265,-0.04400046473280348,0.009933734205583156,0.02449870825680862,0.008551096198866523,0.059467462308087124,0.11101396044939266
