,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.012644893364242316,,,,,-0.019712689914571924,,-0.034309988155223105,
BMP1,0.05037606560458596,0.04645183995751714,-0.007877372394678032,0.0007641710035945887,0.07428504741587777,-0.001680248839043722,-0.0016826648143852202,-0.03325340686394111,-0.07994557469146299,0.03602577684837279,0.0006674106608746954,-0.02059521965727166,0.048706927926788664
NDP,0.07846326514282351,-0.020357749012616267,0.002792273920124924,-0.06488242991315303,0.015577969672593131,0.037529071764051035,0.09977135783309914,-0.02249753602337158,-0.0034891021024902355,-0.01294584417528704,0.006664981641768458,0.08624784239650587,0.022505425641109043
TNFSF18,-0.027528054858271665,0.027779741157044045,0.019363957819370836,,0.06584932881751639,-0.021196036828932098,,-0.01771392746036224,,-0.02032934915948769,,0.07096863496234947,-0.0346738147745018
RTN4,0.04091180393128498,0.007003067516971363,-0.027372880999545577,-0.03204335452165414,-0.05921100130872545,-0.0012726634285567353,-0.015772881243926846,-0.021434358933273754,-0.017369632140630985,-0.03573546105902305,0.05171896129385071,0.02586678152852591,-0.007864028699007873
HEBP1,0.009904199748197876,0.0077870706547315165,-0.0213276291800406,0.02501925549429226,0.057375785219479905,0.04050110067549351,-0.08426588745671126,-0.0030794072170129525,-0.03100367743268144,-0.009961086848360426,-0.021661082227602012,0.053274876626730513,0.048473791466579486
WNT7B,-0.005980366969500539,0.020296510317864672,0.020568328897794967,0.06223411355984737,0.0065877282423529755,-0.005698643133861271,-0.025442641299563484,,-0.014121041667114751,0.0062901539089500625,-0.00824978055270382,0.029765282248964544,0.06039182184725552
PTMA,-0.07250084651839052,0.013139849186244229,0.008622834436966067,0.007575139387495848,-0.06212364131154753,0.012635470486497989,-0.0018523572986407016,0.034972694976453715,-0.0019608762322652195,-0.01816975232017451,-0.025447309331812534,-0.09771644144146968,-0.0036658802278180876
FASLG,,,,,,,,,,,,0.07026820935114197,
CEACAM1,,0.024088334190306933,-0.013221175199477332,-0.010008855851542615,0.020938635979426825,-0.01599212934288325,0.04855561024335652,-0.03834489180012173,-0.01749642543351695,0.004386474071668868,-0.01586763450586445,-0.04140255206832166,
