,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.0610829284549227,,,,,,,,-0.028066028790890547,,0.14385081270242808,
BMP1,0.05587730151925587,0.13667469507819305,-0.03052782049153829,0.05105993573347286,0.11752816474099731,0.23934427212098291,0.26582756261399454,0.07464608020895801,0.3174367416672866,0.24072975501550054,0.22878497295848205,0.2254414984530002,0.0015810483516100946,0.026863973439573932,0.15091386617981117,0.025468644831440634,0.10074026642313738,0.012358110877045688
NDP,0.05303267268109116,0.027689590491537668,0.04966657572382921,0.03690462139532348,0.019315449069217797,-0.011140549249153532,0.06775677840440195,-0.016215807734484434,0.1268583517264062,0.13252517090103433,-0.045220009533150675,0.015965204101090025,0.027855521639231655,-0.010806527880527984,-0.024781555121999463,0.017898077141951015,-0.028278508123980795,-0.005283037580622651
TNFSF18,0.021856517848954683,0.036664218264127545,-0.026712699725950972,,,0.14254102661032175,0.12727725260010897,,0.059357874567392915,,0.09496922698099956,,,,0.045032021113045835,,0.07995000339512133,-0.07006817604591668
IL36G,,,,,,,,-0.007576371657700382,,,,,,,,,,
RTN4,0.00043434004376787156,0.006192022612949531,-0.010690001831486686,-0.04093427661404807,-0.01822918655039522,-0.21373024340418392,-0.3394666911902914,0.05874672319005287,-0.035024863577936875,-0.0486226093149061,0.07454563810860712,-0.07601373088942891,-0.03051283650557896,-0.06131958965694988,-0.11683959376957095,0.011870291912955576,-0.028974146718090187,0.19142309124222692
HEBP1,-0.03265670922481694,-0.02586996815796472,-0.028007501462270015,-0.033391332072040356,0.00883051956200079,0.041063494497502184,0.08748288211611066,-0.015456163923661594,0.12202213798968566,0.09039228440077776,-0.04117052755583814,0.049020949330452104,0.0034801904719084105,0.07692791559965885,-0.03898171071404971,-0.03551787864024628,0.01094223501572354,0.007416723193357852
WNT7B,0.132468698581265,0.005326748195502119,0.02197258707890934,-0.028561266017968517,0.09699106784289446,0.0261611393264922,-0.055434242908525964,0.030008245766086683,0.08021415335648228,-0.08390272040576843,,0.08546525948003153,-0.014816098069435344,-0.013790018720680848,0.013256149078836418,-0.005405884282117663,0.16238377687338895,-0.05757644525855441
PTMA,0.044159296143478945,-0.008432124345844859,0.06928710270113676,-0.03408355708178777,0.03507225950572491,0.23834170187977977,-0.1089876737123528,-0.044351730947927645,0.21470494394430661,0.13947221769868448,0.06791226717936283,-0.21569307475504984,0.03725843342241104,-0.03980417722570194,-0.0919595670219117,-0.00857270200517237,-0.012055572489404332,0.04903874143589916
FASLG,-0.013871569386656853,,,,,,,,,,,,,,,,0.0533762771412077,
